Study Name	031-0301W
Sample Name	2024-02-21
Run Name	spot00
Operator	Angus+Elena
Date	2/21/2024
Time	19:43
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	65
dt	50.000001E-12
time stamp (ms)	8:49:40 PM
	
Time	Amplitude
0.000000E+0	2.226835E-3
5.000000E-11	2.192576E-3
1.000000E-10	2.209705E-3
1.500000E-10	2.278223E-3
2.000000E-10	2.346741E-3
2.500000E-10	2.432389E-3
3.000000E-10	2.552295E-3
3.500000E-10	2.672202E-3
4.000000E-10	2.740720E-3
4.500000E-10	2.774979E-3
5.000000E-10	2.929144E-3
5.500000E-10	3.083310E-3
6.000000E-10	3.066180E-3
6.500000E-10	3.014792E-3
7.000000E-10	3.083310E-3
7.500000E-10	3.151828E-3
8.000000E-10	3.083310E-3
8.500000E-10	3.049051E-3
9.000000E-10	3.186087E-3
9.500000E-10	3.323123E-3
1.000000E-9	3.391641E-3
1.050000E-9	3.545806E-3
1.100000E-9	3.768490E-3
1.150000E-9	3.905526E-3
1.200000E-9	4.008303E-3
1.250000E-9	4.162468E-3
1.300000E-9	4.333763E-3
1.350000E-9	4.436540E-3
1.400000E-9	4.556447E-3
1.450000E-9	4.607835E-3
1.500000E-9	4.522188E-3
1.550000E-9	4.368022E-3
1.600000E-9	4.248116E-3
1.650000E-9	4.128209E-3
1.700000E-9	4.025432E-3
1.750000E-9	3.871267E-3
1.800000E-9	3.597195E-3
1.850000E-9	3.374511E-3
1.900000E-9	3.254605E-3
1.950000E-9	3.186087E-3
2.000000E-9	3.083310E-3
2.050000E-9	3.049051E-3
2.100000E-9	3.014792E-3
2.150000E-9	2.997662E-3
2.200000E-9	3.031921E-3
2.250000E-9	3.168957E-3
2.300000E-9	3.220346E-3
2.350000E-9	3.254605E-3
2.400000E-9	3.220346E-3
2.450000E-9	3.117569E-3
2.500000E-9	3.066180E-3
2.550000E-9	3.100439E-3
2.600000E-9	3.014792E-3
2.650000E-9	2.809238E-3
2.700000E-9	2.723590E-3
2.750000E-9	2.774979E-3
2.800000E-9	2.740720E-3
2.850000E-9	2.655072E-3
2.900000E-9	2.672202E-3
2.950000E-9	2.740720E-3
3.000000E-9	2.757849E-3
3.050000E-9	2.860626E-3
3.100000E-9	2.997662E-3
3.150000E-9	2.980533E-3
3.200000E-9	2.860626E-3
3.250000E-9	2.792108E-3
3.300000E-9	2.689331E-3
3.350000E-9	2.586554E-3
3.400000E-9	2.569425E-3
3.450000E-9	2.466648E-3
3.500000E-9	2.346741E-3
3.550000E-9	2.415259E-3
3.600000E-9	2.603684E-3
3.650000E-9	2.637943E-3
3.700000E-9	2.672202E-3
3.750000E-9	2.894885E-3
3.800000E-9	3.014792E-3
3.850000E-9	3.014792E-3
3.900000E-9	3.049051E-3
3.950000E-9	3.134698E-3
4.000000E-9	3.117569E-3
4.050000E-9	3.100439E-3
4.100000E-9	3.066180E-3
4.150000E-9	2.963403E-3
4.200000E-9	2.843497E-3
4.250000E-9	2.809238E-3
4.300000E-9	2.809238E-3
4.350000E-9	2.843497E-3
4.400000E-9	2.894885E-3
4.450000E-9	2.860626E-3
4.500000E-9	2.877756E-3
4.550000E-9	3.049051E-3
4.600000E-9	3.066180E-3
4.650000E-9	2.843497E-3
4.700000E-9	2.689331E-3
4.750000E-9	2.655072E-3
4.800000E-9	2.552295E-3
4.850000E-9	2.466648E-3
4.900000E-9	2.483777E-3
4.950000E-9	2.483777E-3
5.000000E-9	2.466648E-3
5.050000E-9	2.603684E-3
5.100000E-9	2.740720E-3
5.150000E-9	2.809238E-3
5.200000E-9	2.963403E-3
5.250000E-9	3.237475E-3
5.300000E-9	3.460159E-3
5.350000E-9	3.682842E-3
5.400000E-9	4.025432E-3
5.450000E-9	4.333763E-3
5.500000E-9	4.590706E-3
5.550000E-9	5.121720E-3
5.600000E-9	6.166620E-3
5.650000E-9	7.776793E-3
5.700000E-9	1.029483E-2
5.750000E-9	1.425174E-2
5.800000E-9	2.000726E-2
5.850000E-9	2.774979E-2
5.900000E-9	3.778768E-2
5.950000E-9	5.048064E-2
6.000000E-9	6.594857E-2
6.050000E-9	8.402020E-2
6.100000E-9	1.042501E-1
6.150000E-9	1.259875E-1
6.200000E-9	1.483586E-1
6.250000E-9	1.703700E-1
6.300000E-9	1.913879E-1
6.350000E-9	2.108299E-1
6.400000E-9	2.281821E-1
6.450000E-9	2.432903E-1
6.500000E-9	2.563258E-1
6.550000E-9	2.674771E-1
6.600000E-9	2.769840E-1
6.650000E-9	2.852918E-1
6.700000E-9	2.928288E-1
6.750000E-9	2.999033E-1
6.800000E-9	3.067208E-1
6.850000E-9	3.132472E-1
6.900000E-9	3.193110E-1
6.950000E-9	3.248610E-1
7.000000E-9	3.297600E-1
7.050000E-9	3.333915E-1
7.100000E-9	3.353613E-1
7.150000E-9	3.355840E-1
7.200000E-9	3.337512E-1
7.250000E-9	3.297086E-1
7.300000E-9	3.238161E-1
7.350000E-9	3.164846E-1
7.400000E-9	3.077486E-1
7.450000E-9	2.980533E-1
7.500000E-9	2.882381E-1
7.550000E-9	2.786627E-1
7.600000E-9	2.694813E-1
7.650000E-9	2.611221E-1
7.700000E-9	2.538763E-1
7.750000E-9	2.476926E-1
7.800000E-9	2.425537E-1
7.850000E-9	2.383741E-1
7.900000E-9	2.348968E-1
7.950000E-9	2.321390E-1
8.000000E-9	2.299978E-1
8.050000E-9	2.282163E-1
8.100000E-9	2.268117E-1
8.150000E-9	2.260751E-1
8.200000E-9	2.260237E-1
8.250000E-9	2.265719E-1
8.300000E-9	2.279251E-1
8.350000E-9	2.301177E-1
8.400000E-9	2.331496E-1
8.450000E-9	2.371237E-1
8.500000E-9	2.420741E-1
8.550000E-9	2.475898E-1
8.600000E-9	2.534309E-1
8.650000E-9	2.595290E-1
8.700000E-9	2.655929E-1
8.750000E-9	2.712456E-1
8.800000E-9	2.764530E-1
8.850000E-9	2.809752E-1
8.900000E-9	2.845039E-1
8.950000E-9	2.869534E-1
9.000000E-9	2.884608E-1
9.050000E-9	2.889918E-1
9.100000E-9	2.885464E-1
9.150000E-9	2.872960E-1
9.200000E-9	2.852747E-1
9.250000E-9	2.825168E-1
9.300000E-9	2.791081E-1
9.350000E-9	2.751340E-1
9.400000E-9	2.706290E-1
9.450000E-9	2.655244E-1
9.500000E-9	2.599230E-1
9.550000E-9	2.538249E-1
9.600000E-9	2.472643E-1
9.650000E-9	2.403611E-1
9.700000E-9	2.333038E-1
9.750000E-9	2.261779E-1
9.800000E-9	2.191548E-1
9.850000E-9	2.124743E-1
9.900000E-9	2.063933E-1
9.950000E-9	2.011860E-1
1.000000E-8	1.970578E-1
1.005000E-8	1.940772E-1
1.010000E-8	1.923129E-1
1.015000E-8	1.920046E-1
1.020000E-8	1.931522E-1
1.025000E-8	1.956531E-1
1.030000E-8	1.994388E-1
1.035000E-8	2.045262E-1
1.040000E-8	2.107614E-1
1.045000E-8	2.179558E-1
1.050000E-8	2.258696E-1
1.055000E-8	2.341603E-1
1.060000E-8	2.425880E-1
1.065000E-8	2.508958E-1
1.070000E-8	2.588267E-1
1.075000E-8	2.660383E-1
1.080000E-8	2.723933E-1
1.085000E-8	2.776007E-1
1.090000E-8	2.814548E-1
1.095000E-8	2.838701E-1
1.100000E-8	2.847951E-1
1.105000E-8	2.840414E-1
1.110000E-8	2.815576E-1
1.115000E-8	2.775835E-1
1.120000E-8	2.722220E-1
1.125000E-8	2.654901E-1
1.130000E-8	2.574906E-1
1.135000E-8	2.484977E-1
1.140000E-8	2.388537E-1
1.145000E-8	2.288844E-1
1.150000E-8	2.188807E-1
1.155000E-8	2.091169E-1
1.160000E-8	1.999526E-1
1.165000E-8	1.917990E-1
1.170000E-8	1.848102E-1
