Study Name	031-0301W
Sample Name	2024-02-21
Run Name	spot00
Operator	Angus+Elena
Date	2/21/2024
Time	19:43
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	99
dt	50.000001E-12
time stamp (ms)	9:24:20 PM
	
Time	Amplitude
0.000000E+0	2.261094E-3
5.000000E-11	2.346741E-3
1.000000E-10	2.381000E-3
1.500000E-10	2.261094E-3
2.000000E-10	2.192576E-3
2.500000E-10	2.243964E-3
3.000000E-10	2.175446E-3
3.500000E-10	2.021281E-3
4.000000E-10	1.987022E-3
4.500000E-10	1.987022E-3
5.000000E-10	1.952763E-3
5.500000E-10	2.021281E-3
6.000000E-10	2.124058E-3
6.500000E-10	2.141187E-3
7.000000E-10	2.175446E-3
7.500000E-10	2.363871E-3
8.000000E-10	2.569425E-3
8.500000E-10	2.757849E-3
9.000000E-10	2.912015E-3
9.500000E-10	3.083310E-3
1.000000E-9	3.288864E-3
1.050000E-9	3.460159E-3
1.100000E-9	3.477288E-3
1.150000E-9	3.528677E-3
1.200000E-9	3.734231E-3
1.250000E-9	3.871267E-3
1.300000E-9	3.871267E-3
1.350000E-9	3.905526E-3
1.400000E-9	3.939785E-3
1.450000E-9	3.802749E-3
1.500000E-9	3.682842E-3
1.550000E-9	3.665713E-3
1.600000E-9	3.648583E-3
1.650000E-9	3.580065E-3
1.700000E-9	3.528677E-3
1.750000E-9	3.443029E-3
1.800000E-9	3.305993E-3
1.850000E-9	3.288864E-3
1.900000E-9	3.288864E-3
1.950000E-9	3.134698E-3
2.000000E-9	2.997662E-3
2.050000E-9	3.066180E-3
2.100000E-9	3.134698E-3
2.150000E-9	3.031921E-3
2.200000E-9	2.894885E-3
2.250000E-9	2.894885E-3
2.300000E-9	2.894885E-3
2.350000E-9	2.894885E-3
2.400000E-9	2.877756E-3
2.450000E-9	2.757849E-3
2.500000E-9	2.706461E-3
2.550000E-9	2.757849E-3
2.600000E-9	2.826367E-3
2.650000E-9	2.809238E-3
2.700000E-9	2.809238E-3
2.750000E-9	2.860626E-3
2.800000E-9	2.792108E-3
2.850000E-9	2.706461E-3
2.900000E-9	2.655072E-3
2.950000E-9	2.672202E-3
3.000000E-9	2.637943E-3
3.050000E-9	2.535166E-3
3.100000E-9	2.535166E-3
3.150000E-9	2.552295E-3
3.200000E-9	2.449518E-3
3.250000E-9	2.329612E-3
3.300000E-9	2.398130E-3
3.350000E-9	2.569425E-3
3.400000E-9	2.603684E-3
3.450000E-9	2.620813E-3
3.500000E-9	2.689331E-3
3.550000E-9	2.774979E-3
3.600000E-9	2.929144E-3
3.650000E-9	3.100439E-3
3.700000E-9	3.134698E-3
3.750000E-9	3.066180E-3
3.800000E-9	3.049051E-3
3.850000E-9	3.014792E-3
3.900000E-9	2.929144E-3
3.950000E-9	2.894885E-3
4.000000E-9	2.877756E-3
4.050000E-9	2.740720E-3
4.100000E-9	2.637943E-3
4.150000E-9	2.672202E-3
4.200000E-9	2.689331E-3
4.250000E-9	2.603684E-3
4.300000E-9	2.569425E-3
4.350000E-9	2.569425E-3
4.400000E-9	2.518036E-3
4.450000E-9	2.466648E-3
4.500000E-9	2.483777E-3
4.550000E-9	2.449518E-3
4.600000E-9	2.329612E-3
4.650000E-9	2.226835E-3
4.700000E-9	2.106928E-3
4.750000E-9	1.969892E-3
4.800000E-9	1.849986E-3
4.850000E-9	1.730079E-3
4.900000E-9	1.575914E-3
4.950000E-9	1.490266E-3
5.000000E-9	1.473137E-3
5.050000E-9	1.507396E-3
5.100000E-9	1.661561E-3
5.150000E-9	1.815727E-3
5.200000E-9	1.918504E-3
5.250000E-9	2.124058E-3
5.300000E-9	2.415259E-3
5.350000E-9	2.672202E-3
5.400000E-9	2.980533E-3
5.450000E-9	3.443029E-3
5.500000E-9	3.871267E-3
5.550000E-9	4.487929E-3
5.600000E-9	5.721253E-3
5.650000E-9	7.708275E-3
5.700000E-9	1.067168E-2
5.750000E-9	1.509109E-2
5.800000E-9	2.136049E-2
5.850000E-9	2.983959E-2
5.900000E-9	4.088812E-2
5.950000E-9	5.464310E-2
6.000000E-9	7.108742E-2
6.050000E-9	9.032385E-2
6.100000E-9	1.119584E-1
6.150000E-9	1.350832E-1
6.200000E-9	1.586534E-1
6.250000E-9	1.817954E-1
6.300000E-9	2.036869E-1
6.350000E-9	2.236941E-1
6.400000E-9	2.414746E-1
6.450000E-9	2.568226E-1
6.500000E-9	2.698753E-1
6.550000E-9	2.809581E-1
6.600000E-9	2.903964E-1
6.650000E-9	2.984301E-1
6.700000E-9	3.055731E-1
6.750000E-9	3.123393E-1
6.800000E-9	3.188485E-1
6.850000E-9	3.251522E-1
6.900000E-9	3.312160E-1
6.950000E-9	3.368002E-1
7.000000E-9	3.416136E-1
7.050000E-9	3.453136E-1
7.100000E-9	3.474376E-1
7.150000E-9	3.476089E-1
7.200000E-9	3.457247E-1
7.250000E-9	3.417506E-1
7.300000E-9	3.357382E-1
7.350000E-9	3.279785E-1
7.400000E-9	3.189342E-1
7.450000E-9	3.090847E-1
7.500000E-9	2.988413E-1
7.550000E-9	2.887177E-1
7.600000E-9	2.790909E-1
7.650000E-9	2.703206E-1
7.700000E-9	2.626980E-1
7.750000E-9	2.562573E-1
7.800000E-9	2.508444E-1
7.850000E-9	2.464421E-1
7.900000E-9	2.428792E-1
7.950000E-9	2.399500E-1
8.000000E-9	2.375690E-1
8.050000E-9	2.357876E-1
8.100000E-9	2.344515E-1
8.150000E-9	2.335607E-1
8.200000E-9	2.333552E-1
8.250000E-9	2.339204E-1
8.300000E-9	2.351709E-1
8.350000E-9	2.372950E-1
8.400000E-9	2.405496E-1
8.450000E-9	2.447120E-1
8.500000E-9	2.496111E-1
8.550000E-9	2.552809E-1
8.600000E-9	2.614818E-1
8.650000E-9	2.677341E-1
8.700000E-9	2.738322E-1
8.750000E-9	2.797419E-1
8.800000E-9	2.849664E-1
8.850000E-9	2.893001E-1
8.900000E-9	2.927945E-1
8.950000E-9	2.953297E-1
9.000000E-9	2.967515E-1
9.050000E-9	2.971112E-1
9.100000E-9	2.965116E-1
9.150000E-9	2.950385E-1
9.200000E-9	2.930172E-1
9.250000E-9	2.904307E-1
9.300000E-9	2.870048E-1
9.350000E-9	2.829108E-1
9.400000E-9	2.784743E-1
9.450000E-9	2.734725E-1
9.500000E-9	2.677512E-1
9.550000E-9	2.615675E-1
9.600000E-9	2.550069E-1
9.650000E-9	2.479495E-1
9.700000E-9	2.406695E-1
9.750000E-9	2.334408E-1
9.800000E-9	2.262464E-1
9.850000E-9	2.193090E-1
9.900000E-9	2.131424E-1
9.950000E-9	2.079179E-1
1.000000E-8	2.036526E-1
1.005000E-8	2.005351E-1
1.010000E-8	1.987536E-1
1.015000E-8	1.983767E-1
1.020000E-8	1.994559E-1
1.025000E-8	2.019739E-1
1.030000E-8	2.057424E-1
1.035000E-8	2.106928E-1
1.040000E-8	2.168252E-1
1.045000E-8	2.238997E-1
1.050000E-8	2.316422E-1
1.055000E-8	2.399158E-1
1.060000E-8	2.484463E-1
1.065000E-8	2.568568E-1
1.070000E-8	2.648563E-1
1.075000E-8	2.722905E-1
1.080000E-8	2.789025E-1
1.085000E-8	2.843497E-1
1.090000E-8	2.883409E-1
1.095000E-8	2.908246E-1
1.100000E-8	2.917668E-1
1.105000E-8	2.910473E-1
1.110000E-8	2.886321E-1
1.115000E-8	2.846066E-1
1.120000E-8	2.790909E-1
1.125000E-8	2.722391E-1
1.130000E-8	2.642225E-1
1.135000E-8	2.552295E-1
1.140000E-8	2.455000E-1
1.145000E-8	2.353593E-1
1.150000E-8	2.252358E-1
1.155000E-8	2.154891E-1
1.160000E-8	2.063077E-1
1.165000E-8	1.979142E-1
1.170000E-8	1.907198E-1
