Study Name	044_18
Sample Name	2024-10-03
Run Name	spot00
Operator	Elena
Date	10/3/2024
Time	15:10
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	253
dt	100.000001E-12
time stamp (ms)	3:57:39 PM
	
Time	Amplitude
0.000000E+0	-5.653248E-4
1.000000E-10	-2.912266E-4
2.000000E-10	-7.708732E-5
3.000000E-10	-8.565289E-5
4.000000E-10	-2.055709E-4
5.000000E-10	-3.169233E-4
6.000000E-10	3.426510E-5
7.000000E-10	3.511912E-4
8.000000E-10	5.053715E-4
9.000000E-10	4.539780E-4
1.000000E-9	1.456175E-4
1.100000E-9	-2.740954E-4
1.200000E-9	-5.910215E-4
1.300000E-9	-4.454068E-4
1.400000E-9	-1.712832E-5
1.500000E-9	4.539780E-4
1.600000E-9	8.822565E-4
1.700000E-9	9.507811E-4
1.800000E-9	5.824616E-4
1.900000E-9	1.970109E-4
2.000000E-9	-1.456119E-4
2.100000E-9	-4.796691E-4
2.200000E-9	-3.683167E-4
2.300000E-9	-3.254889E-4
2.400000E-9	-1.798742E-4
2.500000E-9	-2.141364E-4
2.600000E-9	-2.483987E-4
2.700000E-9	-3.254889E-4
2.800000E-9	-4.711035E-4
2.900000E-9	-3.940134E-4
3.000000E-9	-4.111446E-4
3.100000E-9	-2.312676E-4
3.200000E-9	-1.970053E-4
3.300000E-9	-9.421846E-5
3.400000E-9	1.456175E-4
3.500000E-9	2.312732E-4
3.600000E-9	2.741011E-4
3.700000E-9	1.370519E-4
3.800000E-9	-2.655299E-4
3.900000E-9	-6.338494E-4
4.000000E-9	-1.036431E-3
4.100000E-9	-1.224874E-3
4.200000E-9	-1.044997E-3
4.300000E-9	-6.424149E-4
4.400000E-9	-2.997921E-4
4.500000E-9	5.139624E-5
4.600000E-9	1.456175E-4
4.700000E-9	-1.199152E-4
4.800000E-9	-4.197101E-4
4.900000E-9	-7.023739E-4
5.000000E-9	-1.079259E-3
5.100000E-9	-1.113521E-3
5.200000E-9	-7.280706E-4
5.300000E-9	-4.796691E-4
5.400000E-9	5.139624E-5
5.500000E-9	3.340601E-4
5.600000E-9	1.970109E-4
5.700000E-9	-1.284807E-4
5.800000E-9	-4.539724E-4
5.900000E-9	-9.764722E-4
6.000000E-9	-1.224874E-3
6.100000E-9	-1.284833E-3
6.200000E-9	-9.593410E-4
6.300000E-9	-6.852428E-4
6.400000E-9	-4.025790E-4
6.500000E-9	-2.055709E-4
6.600000E-9	-3.854478E-4
6.700000E-9	-6.338494E-4
6.800000E-9	-1.104956E-3
6.900000E-9	-1.524669E-3
7.000000E-9	-1.601759E-3
7.100000E-9	-1.653152E-3
7.200000E-9	-1.695980E-3
7.300000E-9	-1.396185E-3
