Study Name	044_18
Sample Name	2024-10-03
Run Name	spot00
Operator	Elena
Date	10/3/2024
Time	15:10
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	68
dt	100.000001E-12
time stamp (ms)	3:22:58 PM
	
Time	Amplitude
0.000000E+0	1.070690E-3
1.000000E-10	8.822472E-4
2.000000E-10	5.567556E-4
3.000000E-10	4.454032E-4
4.000000E-10	3.597474E-4
5.000000E-10	6.338457E-4
6.000000E-10	1.036427E-3
7.000000E-10	1.164911E-3
8.000000E-10	1.481837E-3
9.000000E-10	1.473272E-3
1.000000E-9	1.636017E-3
1.100000E-9	1.636017E-3
1.200000E-9	1.593190E-3
1.300000E-9	1.216304E-3
1.400000E-9	9.507718E-4
1.500000E-9	5.738867E-4
1.600000E-9	3.511819E-4
1.700000E-9	1.456082E-4
1.800000E-9	9.421477E-5
1.900000E-9	-8.572068E-6
2.000000E-9	-1.199245E-4
2.100000E-9	-2.741047E-4
2.200000E-9	-3.254982E-4
2.300000E-9	-3.854572E-4
2.400000E-9	-5.996549E-5
2.500000E-9	5.995249E-5
2.600000E-9	2.997885E-4
2.700000E-9	1.970016E-4
2.800000E-9	8.564920E-5
2.900000E-9	7.708363E-5
3.000000E-9	1.798705E-4
3.100000E-9	5.995834E-4
3.200000E-9	9.336407E-4
3.300000E-9	7.880260E-4
3.400000E-9	7.023703E-4
3.500000E-9	1.627393E-4
3.600000E-9	-1.627523E-4
3.700000E-9	-6.595554E-4
3.800000E-9	-8.479979E-4
3.900000E-9	-8.051701E-4
4.000000E-9	-3.597604E-4
4.100000E-9	-7.709663E-5
4.200000E-9	1.541738E-4
4.300000E-9	3.340507E-4
4.400000E-9	7.280670E-4
4.500000E-9	6.938047E-4
4.600000E-9	8.137227E-4
4.700000E-9	9.764685E-4
4.800000E-9	1.173477E-3
4.900000E-9	1.156345E-3
5.000000E-9	1.439009E-3
5.100000E-9	1.507534E-3
5.200000E-9	1.790198E-3
5.300000E-9	1.567493E-3
5.400000E-9	1.464706E-3
5.500000E-9	1.036427E-3
5.600000E-9	4.454032E-4
5.700000E-9	1.970016E-4
5.800000E-9	1.027803E-4
5.900000E-9	2.655262E-4
6.000000E-9	5.824523E-4
6.100000E-9	7.708948E-4
6.200000E-9	7.708948E-4
6.300000E-9	6.167146E-4
6.400000E-9	4.625343E-4
6.500000E-9	1.541738E-4
6.600000E-9	1.027803E-4
6.700000E-9	-4.283435E-5
6.800000E-9	7.708363E-5
6.900000E-9	3.340507E-4
7.000000E-9	5.139277E-4
7.100000E-9	5.653211E-4
7.200000E-9	4.882310E-4
7.300000E-9	4.197064E-4
7.400000E-9	4.539687E-4
7.500000E-9	7.280670E-4
7.600000E-9	1.216304E-3
