Study Name	044_18
Sample Name	2024-10-03
Run Name	spot00
Operator	Elena
Date	10/3/2024
Time	15:10
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	158
dt	100.000001E-12
time stamp (ms)	3:39:46 PM
	
Time	Amplitude
0.000000E+0	1.712464E-5
1.000000E-10	2.226983E-4
2.000000E-10	5.310589E-4
3.000000E-10	6.424113E-4
4.000000E-10	7.109358E-4
5.000000E-10	6.424113E-4
6.000000E-10	3.083540E-4
7.000000E-10	1.541738E-4
8.000000E-10	-8.566220E-5
9.000000E-10	-1.970146E-4
1.000000E-9	1.284771E-4
1.100000E-9	5.481900E-4
1.200000E-9	5.910178E-4
1.300000E-9	9.422062E-4
1.400000E-9	1.044993E-3
1.500000E-9	8.137227E-4
1.600000E-9	5.824523E-4
1.700000E-9	3.768786E-4
1.800000E-9	2.483950E-4
1.900000E-9	3.940097E-4
2.000000E-9	6.681080E-4
2.100000E-9	1.010731E-3
2.200000E-9	1.199173E-3
2.300000E-9	1.164911E-3
2.400000E-9	8.908128E-4
2.500000E-9	5.396244E-4
2.600000E-9	-3.426878E-5
2.700000E-9	-4.454161E-4
2.800000E-9	-7.195144E-4
2.900000E-9	-9.079569E-4
3.000000E-9	-1.062137E-3
3.100000E-9	-1.002178E-3
3.200000E-9	-6.081620E-4
3.300000E-9	-8.566220E-5
3.400000E-9	6.938047E-4
3.500000E-9	1.430444E-3
3.600000E-9	1.644583E-3
3.700000E-9	1.713108E-3
3.800000E-9	1.541796E-3
3.900000E-9	1.147780E-3
4.000000E-9	1.036427E-3
4.100000E-9	9.593374E-4
4.200000E-9	1.079255E-3
4.300000E-9	1.113518E-3
4.400000E-9	1.276263E-3
4.500000E-9	1.344788E-3
4.600000E-9	1.139214E-3
4.700000E-9	9.422062E-4
4.800000E-9	6.252801E-4
4.900000E-9	2.141328E-4
5.000000E-9	-2.398425E-4
5.100000E-9	-6.938177E-4
5.200000E-9	-6.167275E-4
5.300000E-9	-5.139992E-5
5.400000E-9	3.511819E-4
5.500000E-9	1.070690E-3
5.600000E-9	1.344788E-3
5.700000E-9	1.507534E-3
5.800000E-9	1.396181E-3
5.900000E-9	1.113518E-3
6.000000E-9	7.537637E-4
6.100000E-9	4.368376E-4
6.200000E-9	2.483950E-4
6.300000E-9	1.798705E-4
6.400000E-9	1.884360E-4
6.500000E-9	2.141328E-4
6.600000E-9	2.226983E-4
6.700000E-9	2.055672E-4
6.800000E-9	1.798705E-4
6.900000E-9	3.511819E-4
7.000000E-9	4.796654E-4
7.100000E-9	9.850341E-4
7.200000E-9	1.276263E-3
7.300000E-9	1.276263E-3
7.400000E-9	9.593374E-4
7.500000E-9	3.683130E-4
7.600000E-9	-1.456212E-4
