Study Name	044_18
Sample Name	2024-10-03
Run Name	spot00
Operator	Elena
Date	10/3/2024
Time	15:10
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	204
dt	100.000001E-12
time stamp (ms)	3:48:25 PM
	
Time	Amplitude
0.000000E+0	1.490403E-3
1.000000E-10	1.550362E-3
2.000000E-10	1.507534E-3
3.000000E-10	1.139214E-3
4.000000E-10	5.738867E-4
5.000000E-10	2.141328E-4
6.000000E-10	-1.541868E-4
7.000000E-10	-1.284900E-4
8.000000E-10	2.483950E-4
9.000000E-10	5.310589E-4
1.000000E-9	7.708948E-4
1.100000E-9	1.096386E-3
1.200000E-9	1.319091E-3
1.300000E-9	1.370485E-3
1.400000E-9	1.447575E-3
1.500000E-9	1.447575E-3
1.600000E-9	1.344788E-3
1.700000E-9	1.070690E-3
1.800000E-9	7.708948E-4
1.900000E-9	1.456082E-4
2.000000E-9	-1.027933E-4
2.100000E-9	-4.882440E-4
2.200000E-9	-2.741047E-4
2.300000E-9	2.483950E-4
2.400000E-9	8.394194E-4
2.500000E-9	1.541796E-3
2.600000E-9	2.072861E-3
2.700000E-9	1.944378E-3
2.800000E-9	1.618886E-3
2.900000E-9	8.479849E-4
3.000000E-9	2.740917E-4
3.100000E-9	2.483950E-4
3.200000E-9	7.280670E-4
3.300000E-9	1.379050E-3
3.400000E-9	1.807329E-3
3.500000E-9	1.961509E-3
3.600000E-9	1.644583E-3
3.700000E-9	8.651161E-4
3.800000E-9	2.055672E-4
3.900000E-9	-1.798835E-4
4.000000E-9	3.425578E-5
4.100000E-9	7.280670E-4
4.200000E-9	1.567493E-3
4.300000E-9	2.021468E-3
4.400000E-9	2.441181E-3
4.500000E-9	2.312697E-3
4.600000E-9	2.038599E-3
4.700000E-9	1.601755E-3
4.800000E-9	1.224870E-3
4.900000E-9	8.051571E-4
5.000000E-9	5.995834E-4
5.100000E-9	6.338457E-4
5.200000E-9	5.139277E-4
5.300000E-9	7.280670E-4
5.400000E-9	5.824523E-4
5.500000E-9	3.169196E-4
5.600000E-9	4.111409E-4
5.700000E-9	1.970016E-4
5.800000E-9	1.970016E-4
5.900000E-9	5.224933E-4
6.000000E-9	9.250751E-4
6.100000E-9	1.370485E-3
6.200000E-9	1.567493E-3
6.300000E-9	1.353354E-3
6.400000E-9	1.070690E-3
6.500000E-9	5.310589E-4
6.600000E-9	1.712464E-5
6.700000E-9	-3.083670E-4
6.800000E-9	-2.826703E-4
6.900000E-9	-1.713179E-4
7.000000E-9	-1.027933E-4
7.100000E-9	1.627393E-4
7.200000E-9	3.854442E-4
7.300000E-9	4.368376E-4
7.400000E-9	9.079439E-4
7.500000E-9	1.079255E-3
7.600000E-9	1.267698E-3
