Study Name	044_18
Sample Name	2024-10-03
Run Name	spot00
Operator	Elena
Date	10/3/2024
Time	15:10
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	8
dt	100.000001E-12
time stamp (ms)	3:11:49 PM
	
Time	Amplitude
0.000000E+0	3.511819E-4
1.000000E-10	1.712464E-5
2.000000E-10	1.027803E-4
3.000000E-10	2.655262E-4
4.000000E-10	5.053621E-4
5.000000E-10	6.766735E-4
6.000000E-10	7.708948E-4
7.000000E-10	9.507718E-4
8.000000E-10	7.109358E-4
9.000000E-10	6.081490E-4
1.000000E-9	5.139277E-4
1.100000E-9	4.539687E-4
1.200000E-9	3.254852E-4
1.300000E-9	1.199115E-4
1.400000E-9	6.851806E-5
1.500000E-9	-2.998015E-4
1.600000E-9	-3.854572E-4
1.700000E-9	-1.113589E-4
1.800000E-9	9.421477E-5
1.900000E-9	7.623292E-4
2.000000E-9	1.336222E-3
2.100000E-9	1.447575E-3
2.200000E-9	1.413313E-3
2.300000E-9	1.353354E-3
2.400000E-9	1.216304E-3
2.500000E-9	1.113518E-3
2.600000E-9	1.216304E-3
2.700000E-9	1.387616E-3
2.800000E-9	1.576058E-3
2.900000E-9	1.918681E-3
3.000000E-9	1.790198E-3
3.100000E-9	1.610321E-3
3.200000E-9	1.310526E-3
3.300000E-9	1.079255E-3
3.400000E-9	7.280670E-4
3.500000E-9	6.167146E-4
3.600000E-9	5.910178E-4
3.700000E-9	3.426163E-4
3.800000E-9	2.141328E-4
3.900000E-9	2.569606E-4
4.000000E-9	3.854442E-4
4.100000E-9	5.310589E-4
4.200000E-9	8.479849E-4
4.300000E-9	1.250567E-3
4.400000E-9	1.507534E-3
4.500000E-9	1.533231E-3
4.600000E-9	1.473272E-3
4.700000E-9	1.464706E-3
4.800000E-9	1.284829E-3
4.900000E-9	1.130649E-3
5.000000E-9	1.096386E-3
5.100000E-9	1.002165E-3
5.200000E-9	9.935996E-4
5.300000E-9	9.336407E-4
5.400000E-9	8.993784E-4
5.500000E-9	7.451981E-4
5.600000E-9	6.938047E-4
5.700000E-9	4.967966E-4
5.800000E-9	2.997885E-4
5.900000E-9	3.254852E-4
6.000000E-9	3.511819E-4
6.100000E-9	4.197064E-4
6.200000E-9	3.768786E-4
6.300000E-9	5.310589E-4
6.400000E-9	4.025753E-4
6.500000E-9	5.738867E-4
6.600000E-9	8.308538E-4
6.700000E-9	1.139214E-3
6.800000E-9	1.096386E-3
6.900000E-9	9.507718E-4
7.000000E-9	5.824523E-4
7.100000E-9	1.798705E-4
7.200000E-9	-5.996549E-5
7.300000E-9	-2.570321E-5
7.400000E-9	-6.497430E-9
7.500000E-9	8.559073E-6
7.600000E-9	-2.055802E-4
