run_name grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2] Time[hh:mm:ss]
031-0305W-2024-02-22-03.40um-spot01-1 3.5244 5.63914e+08 3.43104e+03 0.20452589 0.0040245341 7.3288721e-06 5.0018972e-08 1.2638851e-07 1.1165863e-06 0.029351975 0.00024392445 -0.80454864 0.0054667073 0 3.6581705e-10 0.0019904831 6.0415802e-05 14:01:13
031-0305W-2024-02-22-03.40um-spot01-2 3.5244 5.63973e+08 3.46240e+03 0.20152578 0.0039513517 7.2964961e-06 5.0224825e-08 1.3589954e-07 1.11073e-06 0.028476719 0.00024218377 -0.46243815 0.0056051219 0 3.781188e-10 0.0018547475 6.0753906e-05 14:02:14
031-0305W-2024-02-22-03.40um-spot01-3 3.5244 5.64005e+08 3.43569e+03 0.19983035 0.00042217795 7.2756748e-06 2.3774927e-08 6.3898602e-10 NaN 0.028613338 0.00024327668 -0.45709616 0.0056156259 3.4760484e-08 3.7236509e-10 0.0019488211 5.114067e-05 14:03:16
031-0305W-2024-02-22-03.40um-spot01-4 3.5244 5.63996e+08 3.48138e+03 0.20251143 0.0040038893 7.2920807e-06 5.025447e-08 1.4041552e-07 1.1231116e-06 0.028745271 0.0002432104 -0.64336551 0.0055838697 0 3.739533e-10 0.0019289017 6.0813288e-05 14:04:18
031-0305W-2024-02-22-03.40um-spot01-5 3.5244 5.63994e+08 3.40726e+03 0.20182985 0.0039091069 7.2979881e-06 4.9606589e-08 1.2507141e-07 1.0973425e-06 0.028649876 0.0002399212 -0.62860687 0.005505777 0 3.7205432e-10 0.0020084321 6.0062323e-05 14:05:19
031-0305W-2024-02-22-03.40um-spot01-6 3.5244 5.64042e+08 3.38116e+03 0.20235753 0.0040196445 7.3047258e-06 5.0493371e-08 1.4357434e-07 1.1278109e-06 0.028749306 0.00024204435 -0.81874488 0.0055395741 3.4984328e-08 3.7678718e-10 0.0018680834 6.0797547e-05 14:06:21
031-0305W-2024-02-22-03.40um-spot01-7 3.5244 5.64010e+08 3.47136e+03 0.19519771 0.0037664052 7.2671101e-06 4.9811551e-08 1.5260204e-07 1.0909307e-06 0.02763397 0.00023411217 -0.27287925 0.0055812696 0 3.7914502e-10 0.0018703666 5.9248587e-05 14:07:22
031-0305W-2024-02-22-03.40um-spot01-8 3.5244 5.63996e+08 3.45506e+03 0.20310968 0.0040050786 7.3270002e-06 5.0517562e-08 1.2592654e-07 1.1160245e-06 0.028700934 0.0002438134 -0.46008207 0.0055993567 0 3.7865881e-10 0.0018594433 6.1001901e-05 14:08:24
031-0305W-2024-02-22-03.40um-spot01-9 3.5244 5.63936e+08 3.49158e+03 0.20228906 0.0040554685 7.2994482e-06 5.0953865e-08 1.3387711e-07 1.138662e-06 0.028902084 0.00024664669 -0.809875 0.005613678 3.4475325e-08 3.7656488e-10 0.002000718 6.1438583e-05 14:09:26
031-0305W-2024-02-22-03.40um-spot01-10 3.5244 5.63953e+08 3.45150e+03 0.20086577 0.0039156437 7.2932731e-06 4.9936112e-08 1.4301528e-07 1.1043014e-06 0.02854181 0.00024067471 -0.45303187 0.005557868 0 3.7353998e-10 0.0019254802 6.0264495e-05 14:10:27
031-0305W-2024-02-22-03.40um-spot01-11 3.5244 5.63936e+08 3.48338e+03 0.20082841 0.0040601912 7.3159952e-06 5.1402435e-08 1.6108083e-07 1.147047e-06 0.02841325 0.00024493392 -0.81224406 0.0056714253 0 3.8355376e-10 0.0017253655 6.1195832e-05 14:11:29
031-0305W-2024-02-22-03.40um-spot01-12 3.5244 5.63957e+08 3.47563e+03 0.19663087 0.0004178394 7.2911601e-06 2.3834444e-08 1.1665153e-09 NaN 0.028336505 0.00024016225 -0.63350589 0.0056071145 3.4849263e-08 3.6793201e-10 0.0017167985 5.0067529e-05 14:12:31
031-0305W-2024-02-22-03.40um-spot01-13 3.5244 5.63970e+08 3.43298e+03 0.20027596 0.0039727734 7.3204612e-06 5.1218042e-08 1.2822554e-07 1.1198535e-06 0.028495092 0.00024554541 -0.28153834 0.005675555 0 3.8371069e-10 0.0018639432 6.147254e-05 14:13:32
031-0305W-2024-02-22-03.40um-spot01-14 3.5244 5.63954e+08 3.47919e+03 0.20078307 0.0040808834 7.3061235e-06 5.1655906e-08 1.2322134e-07 1.1543264e-06 0.028674424 0.00024611832 -0.81008464 0.0056476176 0 3.8302947e-10 0.0021761377 6.1696571e-05 14:14:34
031-0305W-2024-02-22-03.40um-spot01-15 3.5244 5.63910e+08 3.49639e+03 0.19969792 0.003983869 7.2879431e-06 5.0709966e-08 1.4756964e-07 1.1332623e-06 0.028505705 0.00024014981 -0.64669592 0.0055605877 3.4989221e-08 3.7724427e-10 0.0018700771 6.0588463e-05 14:15:36
031-0305W-2024-02-22-03.40um-spot01-16 3.5244 5.63889e+08 3.46518e+03 0.20280183 0.0040873337 7.3109519e-06 5.1223648e-08 1.1369879e-07 1.1446319e-06 0.028921016 0.00024581152 -0.63337594 0.0056110495 0 3.796159e-10 0.0021286306 6.1718585e-05 14:16:37
031-0305W-2024-02-22-03.40um-spot01-17 3.5244 5.63936e+08 3.37444e+03 0.20143752 0.0040173772 7.3194349e-06 5.0700299e-08 1.4284126e-07 1.1317387e-06 0.028472087 0.00024130049 -0.82243035 0.0055755296 0 3.7933701e-10 0.0017399827 6.0486847e-05 14:17:39
031-0305W-2024-02-22-03.40um-spot01-18 3.5244 5.63885e+08 3.53593e+03 0.20292136 0.0041054815 7.3176216e-06 5.1434002e-08 1.3837634e-07 1.1482655e-06 0.028905304 0.00024660302 -0.63319261 0.0056321839 3.5273357e-08 3.8109822e-10 0.0018142055 6.1864531e-05 14:18:40
031-0305W-2024-02-22-03.40um-spot01-19 3.5244 5.63872e+08 3.45425e+03 0.20507557 0.0040277488 7.336158e-06 5.0712053e-08 1.1422263e-07 1.1084228e-06 0.028975931 0.00024644129 -0.28300972 0.0056028359 0 3.8318049e-10 0.0016499014 6.2024377e-05 14:19:42
031-0305W-2024-02-22-03.40um-spot01-20 3.5244 5.63834e+08 3.40912e+03 0.20352862 0.0040635518 7.3503813e-06 5.1153776e-08 1.2100013e-07 1.1291332e-06 0.029065128 0.00024701618 -0.61970094 0.0055878511 0 3.7804431e-10 0.0018188521 6.1433774e-05 14:20:43
031-0305W-2024-02-22-03.40um-spot01-21 3.5244 5.63838e+08 3.39115e+03 0.20454156 0.004021365 7.3021771e-06 5.0351268e-08 1.0748673e-07 1.1140689e-06 0.029154406 0.00024458393 -0.45109269 0.0055308301 3.5129766e-08 3.7690336e-10 0.0019756852 6.1722402e-05 14:21:45
031-0305W-2024-02-22-03.40um-spot01-22 3.5244 5.63908e+08 3.39844e+03 0.20253829 0.0040186506 7.3210222e-06 5.0438138e-08 1.2779627e-07 1.126176e-06 0.028848541 0.00024104249 -0.64486671 0.0055149799 0 3.737869e-10 0.0019862981 6.0492593e-05 14:22:47
031-0305W-2024-02-22-03.40um-spot01-23 3.5244 5.63818e+08 3.44574e+03 0.2003297 0.0039770361 7.2976302e-06 5.0854094e-08 1.3800979e-07 1.1245397e-06 0.028507464 0.00024410607 -0.44059146 0.005644646 0 3.7968425e-10 0.0018710898 6.1126575e-05 14:23:49
031-0305W-2024-02-22-03.40um-spot01-24 3.5244 5.63815e+08 3.41289e+03 0.20177962 0.0039762293 7.3211527e-06 5.0476996e-08 1.1463681e-07 1.1157461e-06 0.028795086 0.00024264158 -0.44301187 0.0055548171 3.506324e-08 3.7472936e-10 0.0019299975 6.0671358e-05 14:24:50
031-0305W-2024-02-22-03.40um-spot01-25 3.5244 5.63898e+08 3.42515e+03 0.20142965 0.0039778502 7.3118782e-06 5.0582978e-08 1.1590175e-07 1.1184839e-06 0.028870235 0.00024175055 -0.45370772 0.0055204058 0 3.7570176e-10 0.0020131999 6.0871369e-05 14:25:52
031-0305W-2024-02-22-03.40um-spot01-26 3.5244 5.63797e+08 3.37825e+03 0.20545262 0.0040484869 7.3308048e-06 5.0472575e-08 1.0369399e-07 1.1155291e-06 0.029279598 0.00024536771 -0.6215166 0.0055109501 0 3.7643526e-10 0.0019881855 6.1577017e-05 14:26:53
