Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	23
dt	50.000001E-12
time stamp (ms)	3:54:18 PM
	
Time	Amplitude
0.000000E+0	1.104958E-3
5.000000E-11	9.165159E-4
1.000000E-10	8.394258E-4
1.500000E-10	9.079504E-4
2.000000E-10	8.822536E-4
2.500000E-10	7.280734E-4
3.000000E-10	7.109422E-4
3.500000E-10	8.394258E-4
4.000000E-10	8.308602E-4
4.500000E-10	6.424177E-4
5.000000E-10	5.396308E-4
5.500000E-10	5.653275E-4
6.000000E-10	5.310653E-4
6.500000E-10	3.683194E-4
7.000000E-10	2.569670E-4
7.500000E-10	1.884425E-4
8.000000E-10	6.852447E-5
8.500000E-10	-4.282794E-5
9.000000E-10	-8.731149E-11
9.500000E-10	1.284835E-4
1.000000E-9	2.141392E-4
1.050000E-9	2.569670E-4
1.100000E-9	3.597539E-4
1.150000E-9	5.224997E-4
1.200000E-9	6.252865E-4
1.250000E-9	6.595488E-4
1.300000E-9	7.623357E-4
1.350000E-9	8.993848E-4
1.400000E-9	8.565569E-4
1.450000E-9	7.195078E-4
1.500000E-9	7.366389E-4
1.550000E-9	8.137291E-4
1.600000E-9	7.023767E-4
1.650000E-9	5.224997E-4
1.700000E-9	4.882374E-4
1.750000E-9	4.882374E-4
1.800000E-9	4.197129E-4
1.850000E-9	3.597539E-4
1.900000E-9	4.282784E-4
1.950000E-9	5.310653E-4
2.000000E-9	5.910243E-4
2.050000E-9	6.766800E-4
2.100000E-9	8.565569E-4
2.150000E-9	1.010737E-3
2.200000E-9	1.087827E-3
2.250000E-9	1.139221E-3
2.300000E-9	1.216311E-3
2.350000E-9	1.267704E-3
2.400000E-9	1.276270E-3
2.450000E-9	1.207745E-3
2.500000E-9	1.087827E-3
2.550000E-9	9.250815E-4
2.600000E-9	7.195078E-4
2.650000E-9	4.968030E-4
2.700000E-9	3.340571E-4
2.750000E-9	2.655326E-4
2.800000E-9	1.456146E-4
2.850000E-9	-1.713123E-5
2.900000E-9	-6.852465E-5
2.950000E-9	8.565483E-6
3.000000E-9	9.422118E-5
3.050000E-9	1.798769E-4
3.100000E-9	2.912293E-4
3.150000E-9	4.025817E-4
3.200000E-9	4.796718E-4
3.250000E-9	5.053686E-4
3.300000E-9	4.796718E-4
3.350000E-9	4.539751E-4
3.400000E-9	4.368440E-4
3.450000E-9	3.511883E-4
3.500000E-9	2.398359E-4
3.550000E-9	1.798769E-4
3.600000E-9	8.565561E-5
3.650000E-9	-5.139351E-5
3.700000E-9	-1.113525E-4
3.750000E-9	-5.139351E-5
3.800000E-9	-2.569680E-5
3.850000E-9	-8.565657E-6
3.900000E-9	1.113523E-4
3.950000E-9	3.083604E-4
4.000000E-9	4.711063E-4
4.050000E-9	6.167210E-4
4.100000E-9	7.965979E-4
4.150000E-9	9.936061E-4
4.200000E-9	1.096393E-3
4.250000E-9	1.122090E-3
4.300000E-9	1.190614E-3
4.350000E-9	1.267704E-3
4.400000E-9	1.216311E-3
4.450000E-9	1.062131E-3
4.500000E-9	9.593438E-4
4.550000E-9	9.165159E-4
4.600000E-9	8.565569E-4
4.650000E-9	7.537701E-4
