Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	128
dt	50.000001E-12
time stamp (ms)	4:14:54 PM
	
Time	Amplitude
0.000000E+0	7.280645E-4
5.000000E-11	5.053597E-4
1.000000E-10	4.539663E-4
1.500000E-10	3.768762E-4
2.000000E-10	1.713025E-4
2.500000E-10	2.568778E-5
3.000000E-10	3.425335E-5
3.500000E-10	1.712221E-5
4.000000E-10	-6.853350E-5
4.500000E-10	-6.853350E-5
5.000000E-10	4.281892E-5
5.500000E-10	9.421234E-5
6.000000E-10	9.421234E-5
6.500000E-10	1.713025E-4
7.000000E-10	3.254827E-4
7.500000E-10	4.710974E-4
8.000000E-10	4.796630E-4
8.500000E-10	4.025729E-4
9.000000E-10	3.511794E-4
9.500000E-10	3.597450E-4
1.000000E-9	3.340483E-4
1.050000E-9	2.740893E-4
1.100000E-9	2.826549E-4
1.150000E-9	3.683106E-4
1.200000E-9	4.025729E-4
1.250000E-9	3.768762E-4
1.300000E-9	3.683106E-4
1.350000E-9	3.340483E-4
1.400000E-9	2.398270E-4
1.450000E-9	1.541713E-4
1.500000E-9	1.713025E-4
1.550000E-9	2.055647E-4
1.600000E-9	1.370402E-4
1.650000E-9	-2.570565E-5
1.700000E-9	-1.370581E-4
1.750000E-9	-1.970170E-4
1.800000E-9	-3.597629E-4
1.850000E-9	-4.796809E-4
1.900000E-9	-4.368530E-4
1.950000E-9	-3.854596E-4
2.000000E-9	-4.368530E-4
2.050000E-9	-3.854596E-4
2.100000E-9	-1.713203E-4
2.150000E-9	8.556635E-6
2.200000E-9	1.456058E-4
2.250000E-9	3.597450E-4
2.300000E-9	5.481876E-4
2.350000E-9	5.310564E-4
2.400000E-9	4.882286E-4
2.450000E-9	6.424088E-4
2.500000E-9	9.079415E-4
2.550000E-9	1.053556E-3
2.600000E-9	1.070687E-3
2.650000E-9	1.139212E-3
2.700000E-9	1.293392E-3
2.750000E-9	1.370482E-3
2.800000E-9	1.327654E-3
2.850000E-9	1.319089E-3
2.900000E-9	1.336220E-3
2.950000E-9	1.207736E-3
3.000000E-9	9.250726E-4
3.050000E-9	7.451957E-4
3.100000E-9	7.623268E-4
3.150000E-9	7.880235E-4
3.200000E-9	7.880235E-4
3.250000E-9	7.794580E-4
3.300000E-9	7.109334E-4
3.350000E-9	5.824498E-4
3.400000E-9	4.539663E-4
3.450000E-9	3.340483E-4
3.500000E-9	1.627369E-4
3.550000E-9	-6.853350E-5
3.600000E-9	-2.912383E-4
3.650000E-9	-3.768940E-4
3.700000E-9	-3.854596E-4
3.750000E-9	-4.368530E-4
3.800000E-9	-5.053776E-4
3.850000E-9	-4.282874E-4
3.900000E-9	-2.826728E-4
3.950000E-9	-2.655416E-4
4.000000E-9	-2.655416E-4
4.050000E-9	-1.199269E-4
4.100000E-9	8.556635E-6
4.150000E-9	-1.627548E-4
4.200000E-9	-5.310743E-4
4.250000E-9	-7.623447E-4
4.300000E-9	-7.537791E-4
4.350000E-9	-7.023857E-4
4.400000E-9	-7.280824E-4
4.450000E-9	-7.109513E-4
4.500000E-9	-5.310743E-4
4.550000E-9	-2.741072E-4
