Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	208
dt	50.000001E-12
time stamp (ms)	4:30:35 PM
	
Time	Amplitude
0.000000E+0	-1.147795E-3
5.000000E-11	-8.051725E-4
1.000000E-10	-3.597629E-4
1.500000E-10	1.798680E-4
2.000000E-10	6.938022E-4
2.500000E-10	1.130646E-3
3.000000E-10	1.447572E-3
3.500000E-10	1.584622E-3
4.000000E-10	1.507531E-3
4.500000E-10	1.284827E-3
5.000000E-10	8.822448E-4
5.500000E-10	3.768762E-4
6.000000E-10	-5.140236E-5
6.500000E-10	-3.940252E-4
7.000000E-10	-7.366480E-4
7.500000E-10	-9.165249E-4
8.000000E-10	-8.394348E-4
8.500000E-10	-6.167300E-4
9.000000E-10	-3.597629E-4
9.500000E-10	-4.283679E-5
1.000000E-9	3.426139E-4
1.050000E-9	6.852367E-4
1.100000E-9	9.250726E-4
1.150000E-9	1.122081E-3
1.200000E-9	1.267695E-3
1.250000E-9	1.241999E-3
1.300000E-9	1.062122E-3
1.350000E-9	8.394169E-4
1.400000E-9	5.995810E-4
1.450000E-9	3.083516E-4
1.500000E-9	3.425335E-5
1.550000E-9	-1.456236E-4
1.600000E-9	-2.484105E-4
1.650000E-9	-3.340662E-4
1.700000E-9	-4.025907E-4
1.750000E-9	-3.597629E-4
1.800000E-9	-1.541892E-4
1.850000E-9	5.995006E-5
1.900000E-9	2.740893E-4
1.950000E-9	6.252777E-4
2.000000E-9	1.096384E-3
2.050000E-9	1.413310E-3
2.100000E-9	1.558925E-3
2.150000E-9	1.738802E-3
2.200000E-9	1.892982E-3
2.250000E-9	1.781630E-3
2.300000E-9	1.498966E-3
2.350000E-9	1.293392E-3
2.400000E-9	1.130646E-3
2.450000E-9	8.222858E-4
2.500000E-9	4.368351E-4
2.550000E-9	1.798680E-4
2.600000E-9	1.027779E-4
2.650000E-9	8.556635E-6
2.700000E-9	-1.627548E-4
2.750000E-9	-2.741072E-4
2.800000E-9	-2.227138E-4
2.850000E-9	-1.456236E-4
2.900000E-9	-1.713203E-4
2.950000E-9	-1.884515E-4
3.000000E-9	-5.996793E-5
3.050000E-9	5.995006E-5
3.100000E-9	2.568778E-5
3.150000E-9	3.425335E-5
3.200000E-9	2.483926E-4
3.250000E-9	4.967941E-4
3.300000E-9	6.766711E-4
3.350000E-9	9.079415E-4
3.400000E-9	1.147777E-3
3.450000E-9	1.319089E-3
3.500000E-9	1.439007E-3
3.550000E-9	1.541794E-3
3.600000E-9	1.524663E-3
3.650000E-9	1.396179E-3
3.700000E-9	1.139212E-3
3.750000E-9	8.137202E-4
3.800000E-9	6.081465E-4
3.850000E-9	5.053597E-4
3.900000E-9	2.569582E-4
3.950000E-9	-4.283679E-5
4.000000E-9	-1.713203E-4
4.050000E-9	-1.713203E-4
4.100000E-9	-1.541892E-4
4.150000E-9	4.281892E-5
4.200000E-9	3.683106E-4
4.250000E-9	5.396220E-4
4.300000E-9	6.852367E-4
4.350000E-9	1.070687E-3
4.400000E-9	1.490400E-3
4.450000E-9	1.713105E-3
4.500000E-9	1.935810E-3
4.550000E-9	2.235605E-3
