Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	370
dt	50.000001E-12
time stamp (ms)	5:02:23 PM
	
Time	Amplitude
0.000000E+0	1.456058E-4
5.000000E-11	8.564677E-5
1.000000E-10	6.851563E-5
1.500000E-10	2.398270E-4
2.000000E-10	4.539663E-4
2.500000E-10	5.139253E-4
3.000000E-10	4.710974E-4
3.500000E-10	4.967941E-4
4.000000E-10	5.824498E-4
4.500000E-10	5.481876E-4
5.000000E-10	3.683106E-4
5.500000E-10	2.141303E-4
6.000000E-10	1.884336E-4
6.500000E-10	1.884336E-4
7.000000E-10	1.627369E-4
7.500000E-10	1.284746E-4
8.000000E-10	1.284746E-4
8.500000E-10	2.226959E-4
9.000000E-10	3.940073E-4
9.500000E-10	5.910154E-4
1.000000E-9	8.222858E-4
1.050000E-9	1.062122E-3
1.100000E-9	1.241999E-3
1.150000E-9	1.370482E-3
1.200000E-9	1.473269E-3
1.250000E-9	1.550359E-3
1.300000E-9	1.584622E-3
1.350000E-9	1.550359E-3
1.400000E-9	1.464704E-3
1.450000E-9	1.421876E-3
1.500000E-9	1.473269E-3
1.550000E-9	1.507531E-3
1.600000E-9	1.490400E-3
1.650000E-9	1.456138E-3
1.700000E-9	1.421876E-3
1.750000E-9	1.387613E-3
1.800000E-9	1.370482E-3
1.850000E-9	1.361917E-3
1.900000E-9	1.284827E-3
1.950000E-9	1.079253E-3
2.000000E-9	7.623268E-4
2.050000E-9	4.111384E-4
2.100000E-9	1.541713E-4
2.150000E-9	-8.934876E-9
2.200000E-9	-1.456236E-4
2.250000E-9	-3.597629E-4
2.300000E-9	-5.910333E-4
2.350000E-9	-7.109513E-4
2.400000E-9	-7.109513E-4
2.450000E-9	-7.109513E-4
2.500000E-9	-7.966070E-4
2.550000E-9	-8.223037E-4
2.600000E-9	-7.366480E-4
2.650000E-9	-6.081644E-4
2.700000E-9	-5.310743E-4
2.750000E-9	-4.368530E-4
2.800000E-9	-3.169350E-4
2.850000E-9	-2.484105E-4
2.900000E-9	-2.998039E-4
2.950000E-9	-3.340662E-4
3.000000E-9	-2.141482E-4
3.050000E-9	-1.113613E-4
3.100000E-9	-1.713203E-4
3.150000E-9	-2.398449E-4
3.200000E-9	-1.970170E-4
3.250000E-9	-1.027958E-4
3.300000E-9	3.425335E-5
3.350000E-9	3.426139E-4
3.400000E-9	7.880235E-4
3.450000E-9	1.156343E-3
3.500000E-9	1.421876E-3
3.550000E-9	1.730236E-3
3.600000E-9	2.115687E-3
3.650000E-9	2.441179E-3
3.700000E-9	2.612490E-3
3.750000E-9	2.672449E-3
3.800000E-9	2.629621E-3
3.850000E-9	2.441179E-3
3.900000E-9	2.184211E-3
3.950000E-9	2.012900E-3
4.000000E-9	1.824458E-3
4.050000E-9	1.473269E-3
4.100000E-9	1.156343E-3
4.150000E-9	1.070687E-3
4.200000E-9	1.070687E-3
4.250000E-9	9.593349E-4
4.300000E-9	7.194990E-4
4.350000E-9	4.710974E-4
4.400000E-9	2.483926E-4
4.450000E-9	-8.934876E-9
4.500000E-9	-3.083695E-4
4.550000E-9	-5.910333E-4
4.600000E-9	-7.966070E-4
