Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	354
dt	50.000001E-12
time stamp (ms)	4:59:14 PM
	
Time	Amplitude
0.000000E+0	-1.714008E-5
5.000000E-11	2.055647E-4
1.000000E-10	4.796630E-4
1.500000E-10	8.651137E-4
2.000000E-10	1.199171E-3
2.500000E-10	1.336220E-3
3.000000E-10	1.387613E-3
3.500000E-10	1.396179E-3
4.000000E-10	1.267695E-3
4.500000E-10	9.850316E-4
5.000000E-10	6.252777E-4
5.500000E-10	2.398270E-4
6.000000E-10	-1.370581E-4
6.500000E-10	-5.139431E-4
7.000000E-10	-8.480004E-4
7.500000E-10	-1.010746E-3
8.000000E-10	-1.053574E-3
8.500000E-10	-1.079271E-3
9.000000E-10	-1.036443E-3
9.500000E-10	-7.623447E-4
1.000000E-9	-4.197219E-4
1.050000E-9	-2.312793E-4
1.100000E-9	-1.113613E-4
1.150000E-9	6.851563E-5
1.200000E-9	2.826549E-4
1.250000E-9	4.197040E-4
1.300000E-9	4.539663E-4
1.350000E-9	4.454007E-4
1.400000E-9	3.768762E-4
1.450000E-9	2.312615E-4
1.500000E-9	7.708120E-5
1.550000E-9	2.568778E-5
1.600000E-9	6.851563E-5
1.650000E-9	5.995006E-5
1.700000E-9	-5.996793E-5
1.750000E-9	-1.798859E-4
1.800000E-9	-2.484105E-4
1.850000E-9	-2.912383E-4
1.900000E-9	-2.484105E-4
1.950000E-9	-7.709907E-5
2.000000E-9	4.281892E-5
2.050000E-9	-8.574505E-6
2.100000E-9	-8.574505E-6
2.150000E-9	1.541713E-4
2.200000E-9	3.083516E-4
2.250000E-9	3.511794E-4
2.300000E-9	3.683106E-4
2.350000E-9	4.197040E-4
2.400000E-9	4.796630E-4
2.450000E-9	4.710974E-4
2.500000E-9	4.539663E-4
2.550000E-9	4.710974E-4
2.600000E-9	4.282696E-4
2.650000E-9	2.141303E-4
2.700000E-9	-5.140236E-5
2.750000E-9	-2.227138E-4
2.800000E-9	-3.683285E-4
2.850000E-9	-5.995988E-4
2.900000E-9	-8.394348E-4
2.950000E-9	-1.010746E-3
3.000000E-9	-1.156361E-3
3.050000E-9	-1.250582E-3
3.100000E-9	-1.224885E-3
3.150000E-9	-1.113533E-3
3.200000E-9	-1.079271E-3
3.250000E-9	-1.053574E-3
3.300000E-9	-8.651315E-4
3.350000E-9	-5.739021E-4
3.400000E-9	-3.426317E-4
3.450000E-9	-1.627548E-4
3.500000E-9	6.851563E-5
3.550000E-9	2.912205E-4
3.600000E-9	4.197040E-4
3.650000E-9	5.224908E-4
3.700000E-9	7.194990E-4
3.750000E-9	9.250726E-4
3.800000E-9	9.679005E-4
3.850000E-9	8.736792E-4
3.900000E-9	8.308514E-4
3.950000E-9	8.565481E-4
4.000000E-9	8.394169E-4
4.050000E-9	7.366301E-4
4.100000E-9	6.595400E-4
4.150000E-9	6.338433E-4
4.200000E-9	6.338433E-4
4.250000E-9	6.424088E-4
4.300000E-9	5.824498E-4
4.350000E-9	5.139253E-4
4.400000E-9	4.454007E-4
4.450000E-9	2.912205E-4
4.500000E-9	-8.574505E-6
4.550000E-9	-2.055826E-4
