Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	330
dt	50.000001E-12
time stamp (ms)	4:54:31 PM
	
Time	Amplitude
0.000000E+0	6.081643E-4
5.000000E-11	6.938200E-4
1.000000E-10	6.766889E-4
1.500000E-10	5.567709E-4
2.000000E-10	3.255005E-4
2.500000E-10	1.199268E-4
3.000000E-10	1.713999E-5
3.500000E-10	-7.708128E-5
4.000000E-10	-1.798681E-4
4.500000E-10	-1.969993E-4
5.000000E-10	-1.884337E-4
5.500000E-10	-1.798681E-4
6.000000E-10	-3.425343E-5
6.500000E-10	1.970170E-4
7.000000E-10	3.511972E-4
7.500000E-10	4.796808E-4
8.000000E-10	7.023856E-4
8.500000E-10	9.250904E-4
9.000000E-10	1.027877E-3
9.500000E-10	1.062140E-3
1.000000E-9	1.096402E-3
1.050000E-9	1.122099E-3
1.100000E-9	1.096402E-3
1.150000E-9	1.010746E-3
1.200000E-9	9.165249E-4
1.250000E-9	7.966069E-4
1.300000E-9	6.338610E-4
1.350000E-9	4.968119E-4
1.400000E-9	4.197218E-4
1.450000E-9	3.854595E-4
1.500000E-9	3.768939E-4
1.550000E-9	3.854595E-4
1.600000E-9	3.683284E-4
1.650000E-9	3.255005E-4
1.700000E-9	3.340661E-4
1.750000E-9	3.083694E-4
1.800000E-9	2.227137E-4
1.850000E-9	1.456235E-4
1.900000E-9	5.996784E-5
1.950000E-9	-5.995014E-5
2.000000E-9	-1.284747E-4
2.050000E-9	-1.627370E-4
2.100000E-9	-2.740894E-4
2.150000E-9	-3.511795E-4
2.200000E-9	-3.083517E-4
2.250000E-9	-2.740894E-4
2.300000E-9	-2.826550E-4
2.350000E-9	-2.141304E-4
2.400000E-9	-7.708128E-5
2.450000E-9	8.847564E-9
2.500000E-9	4.283670E-5
2.550000E-9	1.284924E-4
2.600000E-9	3.255005E-4
2.650000E-9	5.482053E-4
2.700000E-9	6.509922E-4
2.750000E-9	6.252955E-4
2.800000E-9	6.595578E-4
2.850000E-9	8.051724E-4
2.900000E-9	8.993937E-4
2.950000E-9	8.908281E-4
3.000000E-9	9.165249E-4
3.050000E-9	1.002181E-3
3.100000E-9	1.027877E-3
3.150000E-9	9.336560E-4
3.200000E-9	8.137380E-4
3.250000E-9	6.852545E-4
3.300000E-9	5.139431E-4
3.350000E-9	3.768939E-4
3.400000E-9	2.912382E-4
3.450000E-9	1.627547E-4
3.500000E-9	1.713999E-5
3.550000E-9	-3.425343E-5
3.600000E-9	-1.712229E-5
3.650000E-9	8.574418E-6
3.700000E-9	1.113613E-4
3.750000E-9	2.741071E-4
3.800000E-9	4.111562E-4
3.850000E-9	5.139431E-4
3.900000E-9	6.424266E-4
3.950000E-9	7.366479E-4
4.000000E-9	7.452135E-4
4.050000E-9	6.424266E-4
4.100000E-9	5.053775E-4
4.150000E-9	3.768939E-4
4.200000E-9	2.312792E-4
4.250000E-9	6.853341E-5
4.300000E-9	-5.138457E-5
4.350000E-9	-1.199091E-4
4.400000E-9	-1.884337E-4
4.450000E-9	-2.141304E-4
4.500000E-9	-1.713026E-4
4.550000E-9	-9.421242E-5
4.600000E-9	4.283670E-5
