Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	133
dt	50.000001E-12
time stamp (ms)	4:15:53 PM
	
Time	Amplitude
0.000000E+0	3.511794E-4
5.000000E-11	5.396220E-4
1.000000E-10	5.481876E-4
1.500000E-10	5.653187E-4
2.000000E-10	6.938022E-4
2.500000E-10	7.451957E-4
3.000000E-10	7.194990E-4
3.500000E-10	8.308514E-4
4.000000E-10	1.079253E-3
4.500000E-10	1.259130E-3
5.000000E-10	1.327654E-3
5.500000E-10	1.404745E-3
6.000000E-10	1.421876E-3
6.500000E-10	1.327654E-3
7.000000E-10	1.173474E-3
7.500000E-10	9.764661E-4
8.000000E-10	7.366301E-4
8.500000E-10	3.854417E-4
9.000000E-10	-8.574505E-6
9.500000E-10	-2.998039E-4
1.000000E-9	-4.197219E-4
1.050000E-9	-4.968120E-4
1.100000E-9	-5.653366E-4
1.150000E-9	-5.482054E-4
1.200000E-9	-4.711153E-4
1.250000E-9	-3.255006E-4
1.300000E-9	-6.853350E-5
1.350000E-9	2.226959E-4
1.400000E-9	3.854417E-4
1.450000E-9	4.539663E-4
1.500000E-9	4.967941E-4
1.550000E-9	5.310564E-4
1.600000E-9	5.824498E-4
1.650000E-9	5.910154E-4
1.700000E-9	4.111384E-4
1.750000E-9	6.851563E-5
1.800000E-9	-1.713203E-4
1.850000E-9	-2.998039E-4
1.900000E-9	-4.539842E-4
1.950000E-9	-5.653366E-4
2.000000E-9	-4.796809E-4
2.050000E-9	-3.426317E-4
2.100000E-9	-2.741072E-4
2.150000E-9	-1.713203E-4
2.200000E-9	5.138449E-5
2.250000E-9	3.083516E-4
2.300000E-9	3.940073E-4
2.350000E-9	2.997860E-4
2.400000E-9	1.627369E-4
2.450000E-9	5.995006E-5
2.500000E-9	-8.566464E-5
2.550000E-9	-3.083695E-4
2.600000E-9	-5.310743E-4
2.650000E-9	-7.537791E-4
2.700000E-9	-1.053574E-3
2.750000E-9	-1.353369E-3
2.800000E-9	-1.456156E-3
2.850000E-9	-1.473287E-3
2.900000E-9	-1.644598E-3
2.950000E-9	-1.833041E-3
3.000000E-9	-1.798779E-3
3.050000E-9	-1.687426E-3
3.100000E-9	-1.661730E-3
3.150000E-9	-1.610336E-3
3.200000E-9	-1.404762E-3
3.250000E-9	-1.199189E-3
3.300000E-9	-1.062140E-3
3.350000E-9	-8.908282E-4
3.400000E-9	-6.424267E-4
3.450000E-9	-3.768940E-4
3.500000E-9	-1.713203E-4
3.550000E-9	-1.714008E-5
3.600000E-9	1.199090E-4
3.650000E-9	2.398270E-4
3.700000E-9	2.569582E-4
3.750000E-9	1.798680E-4
3.800000E-9	1.199090E-4
3.850000E-9	5.138449E-5
3.900000E-9	-1.027958E-4
3.950000E-9	-3.083695E-4
4.000000E-9	-3.683285E-4
4.050000E-9	-3.340662E-4
4.100000E-9	-3.940252E-4
4.150000E-9	-5.653366E-4
4.200000E-9	-6.595578E-4
4.250000E-9	-5.995988E-4
4.300000E-9	-5.739021E-4
4.350000E-9	-5.910333E-4
4.400000E-9	-4.539842E-4
4.450000E-9	-1.970170E-4
4.500000E-9	-8.566464E-5
