Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	418
dt	50.000001E-12
time stamp (ms)	5:11:50 PM
	
Time	Amplitude
0.000000E+0	-4.539842E-4
5.000000E-11	-2.741072E-4
1.000000E-10	5.995006E-5
1.500000E-10	4.454007E-4
2.000000E-10	8.308514E-4
2.500000E-10	1.199171E-3
3.000000E-10	1.473269E-3
3.500000E-10	1.576056E-3
4.000000E-10	1.610318E-3
4.500000E-10	1.627449E-3
5.000000E-10	1.490400E-3
5.500000E-10	1.104950E-3
6.000000E-10	5.995810E-4
6.500000E-10	9.421234E-5
7.000000E-10	-2.741072E-4
7.500000E-10	-5.139431E-4
8.000000E-10	-7.366480E-4
8.500000E-10	-9.593528E-4
9.000000E-10	-1.053574E-3
9.500000E-10	-9.593528E-4
1.000000E-9	-8.051725E-4
1.050000E-9	-6.252956E-4
1.100000E-9	-3.854596E-4
1.150000E-9	-8.566464E-5
1.200000E-9	2.141303E-4
1.250000E-9	3.683106E-4
1.300000E-9	4.197040E-4
1.350000E-9	5.567531E-4
1.400000E-9	6.766711E-4
1.450000E-9	6.338433E-4
1.500000E-9	5.396220E-4
1.550000E-9	5.481876E-4
1.600000E-9	5.310564E-4
1.650000E-9	3.768762E-4
1.700000E-9	2.226959E-4
1.750000E-9	1.969992E-4
1.800000E-9	2.483926E-4
1.850000E-9	2.997860E-4
1.900000E-9	2.826549E-4
1.950000E-9	2.569582E-4
2.000000E-9	3.511794E-4
2.050000E-9	4.111384E-4
2.100000E-9	2.997860E-4
2.150000E-9	1.969992E-4
2.200000E-9	2.655237E-4
2.250000E-9	3.169172E-4
2.300000E-9	1.969992E-4
2.350000E-9	7.708120E-5
2.400000E-9	8.564677E-5
2.450000E-9	1.541713E-4
2.500000E-9	2.226959E-4
2.550000E-9	2.655237E-4
2.600000E-9	2.740893E-4
2.650000E-9	2.569582E-4
2.700000E-9	2.055647E-4
2.750000E-9	1.456058E-4
2.800000E-9	1.370402E-4
2.850000E-9	1.969992E-4
2.900000E-9	2.141303E-4
2.950000E-9	1.713025E-4
3.000000E-9	1.113435E-4
3.050000E-9	9.421234E-5
3.100000E-9	1.027779E-4
3.150000E-9	1.284746E-4
3.200000E-9	1.541713E-4
3.250000E-9	1.884336E-4
3.300000E-9	2.826549E-4
3.350000E-9	4.197040E-4
3.400000E-9	5.224908E-4
3.450000E-9	5.910154E-4
3.500000E-9	7.194990E-4
3.550000E-9	8.993759E-4
3.600000E-9	1.010728E-3
3.650000E-9	1.010728E-3
3.700000E-9	1.010728E-3
3.750000E-9	1.122081E-3
3.800000E-9	1.284827E-3
3.850000E-9	1.379048E-3
3.900000E-9	1.430441E-3
3.950000E-9	1.481835E-3
4.000000E-9	1.507531E-3
4.050000E-9	1.464704E-3
4.100000E-9	1.421876E-3
4.150000E-9	1.464704E-3
4.200000E-9	1.498966E-3
4.250000E-9	1.327654E-3
4.300000E-9	1.027859E-3
4.350000E-9	7.965891E-4
4.400000E-9	6.852367E-4
4.450000E-9	5.310564E-4
4.500000E-9	3.683106E-4
4.550000E-9	3.597450E-4
4.600000E-9	4.197040E-4
