Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	527
dt	50.000001E-12
time stamp (ms)	5:33:16 PM
	
Time	Amplitude
9.250000E-9	-3.083695E-4
9.300000E-9	-5.225087E-4
9.350000E-9	-8.051725E-4
9.400000E-9	-9.507872E-4
9.450000E-9	-9.507872E-4
9.500000E-9	-8.822627E-4
9.550000E-9	-8.223037E-4
9.600000E-9	-7.280824E-4
9.650000E-9	-4.968120E-4
9.700000E-9	-1.456236E-4
9.750000E-9	1.713025E-4
9.800000E-9	4.882286E-4
9.850000E-9	9.165071E-4
9.900000E-9	1.241999E-3
9.950000E-9	1.267695E-3
1.000000E-8	1.336220E-3
1.005000E-8	1.567490E-3
1.010000E-8	1.558925E-3
1.015000E-8	1.224868E-3
1.020000E-8	1.044991E-3
1.025000E-8	1.113515E-3
1.030000E-8	1.130646E-3
1.035000E-8	1.053556E-3
1.040000E-8	1.010728E-3
1.045000E-8	9.593349E-4
1.050000E-8	9.165071E-4
1.055000E-8	8.908104E-4
1.060000E-8	8.908104E-4
1.065000E-8	9.079415E-4
1.070000E-8	9.165071E-4
1.075000E-8	8.479825E-4
1.080000E-8	7.537612E-4
1.085000E-8	8.479825E-4
1.090000E-8	1.019294E-3
1.095000E-8	1.036425E-3
1.100000E-8	1.027859E-3
1.105000E-8	1.096384E-3
1.110000E-8	1.104950E-3
1.115000E-8	1.019294E-3
1.120000E-8	1.044991E-3
1.125000E-8	1.130646E-3
1.130000E-8	1.070687E-3
1.135000E-8	9.764661E-4
1.140000E-8	1.062122E-3
1.145000E-8	1.387613E-3
1.150000E-8	2.047162E-3
1.155000E-8	3.254908E-3
1.160000E-8	5.199292E-3
1.165000E-8	8.120152E-3
1.170000E-8	1.224876E-2
1.175000E-8	1.767933E-2
1.180000E-8	2.457461E-2
1.185000E-8	3.308022E-2
1.190000E-8	4.303342E-2
1.195000E-8	5.422005E-2
1.200000E-8	6.670865E-2
1.205000E-8	8.005381E-2
1.210000E-8	9.337327E-2
1.215000E-8	1.062987E-1
1.220000E-8	1.188987E-1
1.225000E-8	1.308990E-1
1.230000E-8	1.419058E-1
1.235000E-8	1.519618E-1
1.240000E-8	1.612640E-1
1.245000E-8	1.697182E-1
