Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	81
dt	50.000001E-12
time stamp (ms)	4:05:42 PM
	
Time	Amplitude
0.000000E+0	-1.541714E-4
5.000000E-11	-4.281900E-5
1.000000E-10	7.709898E-5
1.500000E-10	2.141481E-4
2.000000E-10	3.426317E-4
2.500000E-10	4.025906E-4
3.000000E-10	3.683284E-4
3.500000E-10	2.912382E-4
4.000000E-10	1.970170E-4
4.500000E-10	5.140227E-5
5.000000E-10	-1.713026E-4
5.500000E-10	-3.940074E-4
6.000000E-10	-5.053598E-4
6.500000E-10	-5.567532E-4
7.000000E-10	-6.167122E-4
7.500000E-10	-6.681056E-4
8.000000E-10	-6.424089E-4
8.500000E-10	-5.995811E-4
9.000000E-10	-5.738844E-4
9.500000E-10	-5.995811E-4
1.000000E-9	-6.252778E-4
1.050000E-9	-6.338433E-4
1.100000E-9	-6.252778E-4
1.150000E-9	-6.252778E-4
1.200000E-9	-5.910155E-4
1.250000E-9	-4.882287E-4
1.300000E-9	-3.426140E-4
1.350000E-9	-1.541714E-4
1.400000E-9	2.570556E-5
1.450000E-9	1.970170E-4
1.500000E-9	3.683284E-4
1.550000E-9	4.968119E-4
1.600000E-9	5.310742E-4
1.650000E-9	4.882463E-4
1.700000E-9	4.368529E-4
1.750000E-9	2.912382E-4
1.800000E-9	8.574418E-6
1.850000E-9	-3.083517E-4
1.900000E-9	-5.653188E-4
1.950000E-9	-7.794580E-4
2.000000E-9	-9.850317E-4
2.050000E-9	-1.087819E-3
2.100000E-9	-1.070687E-3
2.150000E-9	-9.850317E-4
2.200000E-9	-8.222859E-4
2.250000E-9	-5.910155E-4
2.300000E-9	-3.854418E-4
2.350000E-9	-2.226960E-4
2.400000E-9	-2.568786E-5
2.450000E-9	1.370580E-4
2.500000E-9	1.884514E-4
2.550000E-9	2.055825E-4
2.600000E-9	2.998038E-4
2.650000E-9	3.683284E-4
2.700000E-9	3.340661E-4
2.750000E-9	3.426317E-4
2.800000E-9	4.539841E-4
2.850000E-9	5.653365E-4
2.900000E-9	6.424266E-4
2.950000E-9	7.195167E-4
3.000000E-9	7.709102E-4
3.050000E-9	7.452135E-4
3.100000E-9	6.509922E-4
3.150000E-9	5.053775E-4
3.200000E-9	2.912382E-4
3.250000E-9	7.709898E-5
3.300000E-9	-9.421242E-5
3.350000E-9	-2.141304E-4
3.400000E-9	-2.226960E-4
3.450000E-9	-8.564685E-5
3.500000E-9	1.284924E-4
3.550000E-9	3.426317E-4
3.600000E-9	5.482053E-4
3.650000E-9	7.966069E-4
3.700000E-9	1.045008E-3
3.750000E-9	1.173492E-3
3.800000E-9	1.147795E-3
3.850000E-9	1.027877E-3
3.900000E-9	8.993937E-4
3.950000E-9	7.623446E-4
4.000000E-9	5.567709E-4
4.050000E-9	3.169349E-4
4.100000E-9	1.541891E-4
4.150000E-9	1.370580E-4
4.200000E-9	2.227137E-4
4.250000E-9	3.426317E-4
4.300000E-9	5.310742E-4
4.350000E-9	8.051724E-4
4.400000E-9	1.079271E-3
4.450000E-9	1.276279E-3
4.500000E-9	1.421893E-3
4.550000E-9	1.516115E-3
