Study Name	031-0404W
Sample Name	2024-02-21
Run Name	spot00
Operator	Angus+Elena
Date	2/21/2024
Time	14:22
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	81
dt	50.000001E-12
time stamp (ms)	3:45:05 PM
	
Time	Amplitude
0.000000E+0	-2.089785E-3
5.000000E-11	-2.072655E-3
1.000000E-10	-1.969878E-3
1.500000E-10	-1.867101E-3
2.000000E-10	-1.815713E-3
2.500000E-10	-1.764324E-3
3.000000E-10	-1.695806E-3
3.500000E-10	-1.644418E-3
4.000000E-10	-1.610159E-3
4.500000E-10	-1.575900E-3
5.000000E-10	-1.558770E-3
5.500000E-10	-1.575900E-3
6.000000E-10	-1.627288E-3
6.500000E-10	-1.661547E-3
7.000000E-10	-1.695806E-3
7.500000E-10	-1.712936E-3
8.000000E-10	-1.678677E-3
8.500000E-10	-1.593029E-3
9.000000E-10	-1.541641E-3
9.500000E-10	-1.473123E-3
1.000000E-9	-1.318957E-3
1.050000E-9	-1.130533E-3
1.100000E-9	-9.934968E-4
1.150000E-9	-8.907198E-4
1.200000E-9	-7.879428E-4
1.250000E-9	-6.680363E-4
1.300000E-9	-6.166478E-4
1.350000E-9	-6.509068E-4
1.400000E-9	-6.680363E-4
1.450000E-9	-6.166478E-4
1.500000E-9	-6.337773E-4
1.550000E-9	-7.536838E-4
1.600000E-9	-8.564608E-4
1.650000E-9	-9.421083E-4
1.700000E-9	-1.044885E-3
1.750000E-9	-1.164792E-3
1.800000E-9	-1.250439E-3
1.850000E-9	-1.318957E-3
1.900000E-9	-1.404605E-3
1.950000E-9	-1.490252E-3
2.000000E-9	-1.558770E-3
2.050000E-9	-1.575900E-3
2.100000E-9	-1.610159E-3
2.150000E-9	-1.678677E-3
2.200000E-9	-1.730065E-3
2.250000E-9	-1.781454E-3
2.300000E-9	-1.901360E-3
2.350000E-9	-2.021267E-3
2.400000E-9	-2.089785E-3
2.450000E-9	-2.141173E-3
2.500000E-9	-2.226821E-3
2.550000E-9	-2.295339E-3
2.600000E-9	-2.261080E-3
2.650000E-9	-2.192562E-3
2.700000E-9	-2.141173E-3
2.750000E-9	-2.089785E-3
2.800000E-9	-1.969878E-3
2.850000E-9	-1.849972E-3
2.900000E-9	-1.747195E-3
2.950000E-9	-1.712936E-3
3.000000E-9	-1.661547E-3
3.050000E-9	-1.593029E-3
3.100000E-9	-1.593029E-3
3.150000E-9	-1.661547E-3
3.200000E-9	-1.712936E-3
3.250000E-9	-1.712936E-3
3.300000E-9	-1.764324E-3
3.350000E-9	-1.867101E-3
3.400000E-9	-1.935619E-3
3.450000E-9	-1.952749E-3
3.500000E-9	-2.021267E-3
3.550000E-9	-2.089785E-3
3.600000E-9	-2.055526E-3
3.650000E-9	-2.021267E-3
3.700000E-9	-2.021267E-3
3.750000E-9	-2.021267E-3
3.800000E-9	-2.038396E-3
3.850000E-9	-2.055526E-3
3.900000E-9	-2.038396E-3
3.950000E-9	-1.987008E-3
4.000000E-9	-1.952749E-3
4.050000E-9	-1.935619E-3
4.100000E-9	-1.901360E-3
4.150000E-9	-1.867101E-3
4.200000E-9	-1.884231E-3
4.250000E-9	-1.901360E-3
4.300000E-9	-1.867101E-3
4.350000E-9	-1.867101E-3
4.400000E-9	-1.901360E-3
4.450000E-9	-1.918490E-3
4.500000E-9	-1.969878E-3
4.550000E-9	-2.055526E-3
4.600000E-9	-2.055526E-3
4.650000E-9	-1.987008E-3
4.700000E-9	-1.987008E-3
4.750000E-9	-1.987008E-3
4.800000E-9	-1.918490E-3
4.850000E-9	-1.884231E-3
4.900000E-9	-1.935619E-3
4.950000E-9	-1.952749E-3
5.000000E-9	-1.918490E-3
5.050000E-9	-1.918490E-3
5.100000E-9	-1.987008E-3
5.150000E-9	-2.072655E-3
5.200000E-9	-2.158303E-3
5.250000E-9	-2.209691E-3
5.300000E-9	-2.209691E-3
5.350000E-9	-2.141173E-3
5.400000E-9	-2.072655E-3
5.450000E-9	-1.952749E-3
5.500000E-9	-1.798583E-3
5.550000E-9	-1.575900E-3
5.600000E-9	-1.250439E-3
5.650000E-9	-9.078493E-4
5.700000E-9	-6.509068E-4
5.750000E-9	-2.911873E-4
5.800000E-9	2.055682E-4
5.850000E-9	7.537122E-4
5.900000E-9	1.507410E-3
5.950000E-9	2.792123E-3
6.000000E-9	4.676368E-3
6.050000E-9	7.211534E-3
6.100000E-9	1.084299E-2
6.150000E-9	1.584480E-2
6.200000E-9	2.214846E-2
6.250000E-9	2.987386E-2
6.300000E-9	3.903814E-2
6.350000E-9	4.940149E-2
6.400000E-9	6.048428E-2
6.450000E-9	7.202956E-2
6.500000E-9	8.357484E-2
6.550000E-9	9.464050E-2
6.600000E-9	1.048497E-1
6.650000E-9	1.139968E-1
6.700000E-9	1.217908E-1
6.750000E-9	1.282314E-1
6.800000E-9	1.335073E-1
6.850000E-9	1.377041E-1
6.900000E-9	1.409758E-1
6.950000E-9	1.436823E-1
7.000000E-9	1.461146E-1
7.050000E-9	1.482730E-1
7.100000E-9	1.502942E-1
7.150000E-9	1.521785E-1
7.200000E-9	1.537201E-1
7.250000E-9	1.545766E-1
7.300000E-9	1.546451E-1
7.350000E-9	1.537201E-1
7.400000E-9	1.515447E-1
7.450000E-9	1.479818E-1
7.500000E-9	1.430999E-1
7.550000E-9	1.371045E-1
7.600000E-9	1.302527E-1
7.650000E-9	1.229042E-1
7.700000E-9	1.154186E-1
7.750000E-9	1.082756E-1
7.800000E-9	1.018691E-1
7.850000E-9	9.638771E-2
7.900000E-9	9.200256E-2
7.950000E-9	8.883360E-2
8.000000E-9	8.679519E-2
8.050000E-9	8.575029E-2
8.100000E-9	8.557899E-2
8.150000E-9	8.607575E-2
8.200000E-9	8.700074E-2
8.250000E-9	8.819981E-2
8.300000E-9	8.962156E-2
8.350000E-9	9.109469E-2
8.400000E-9	9.263635E-2
8.450000E-9	9.438356E-2
8.500000E-9	9.633632E-2
8.550000E-9	9.847751E-2
8.600000E-9	1.009442E-1
8.650000E-9	1.037705E-1
8.700000E-9	1.068710E-1
8.750000E-9	1.100913E-1
8.800000E-9	1.133288E-1
8.850000E-9	1.164121E-1
8.900000E-9	1.192042E-1
8.950000E-9	1.215509E-1
9.000000E-9	1.231611E-1
9.050000E-9	1.239662E-1
9.100000E-9	1.239662E-1
9.150000E-9	1.231097E-1
9.200000E-9	1.213454E-1
9.250000E-9	1.188787E-1
9.300000E-9	1.158297E-1
9.350000E-9	1.121811E-1
9.400000E-9	1.081214E-1
9.450000E-9	1.039418E-1
9.500000E-9	9.971083E-2
9.550000E-9	9.551410E-2
9.600000E-9	9.148867E-2
9.650000E-9	8.778870E-2
9.700000E-9	8.437993E-2
9.750000E-9	8.133088E-2
9.800000E-9	7.879571E-2
9.850000E-9	7.674017E-2
9.900000E-9	7.513000E-2
9.950000E-9	7.401658E-2
1.000000E-8	7.351983E-2
1.005000E-8	7.357121E-2
1.010000E-8	7.413649E-2
1.015000E-8	7.521565E-2
1.020000E-8	7.680869E-2
1.025000E-8	7.886423E-2
1.030000E-8	8.134801E-2
1.035000E-8	8.417438E-2
1.040000E-8	8.722343E-2
1.045000E-8	9.044377E-2
1.050000E-8	9.378402E-2
1.055000E-8	9.709002E-2
1.060000E-8	1.001391E-1
1.065000E-8	1.028455E-1
1.070000E-8	1.051580E-1
1.075000E-8	1.069395E-1
1.080000E-8	1.081557E-1
1.085000E-8	1.088751E-1
1.090000E-8	1.089950E-1
1.095000E-8	1.083955E-1
1.100000E-8	1.072478E-1
1.105000E-8	1.057062E-1
1.110000E-8	1.037363E-1
1.115000E-8	1.012525E-1
1.120000E-8	9.846038E-2
1.125000E-8	9.546272E-2
1.130000E-8	9.224237E-2
1.135000E-8	8.886786E-2
