Study Name	031-0404W
Sample Name	2024-02-21
Run Name	spot00
Operator	Angus+Elena
Date	2/21/2024
Time	14:22
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	33
dt	50.000001E-12
time stamp (ms)	2:55:55 PM
	
Time	Amplitude
0.000000E+0	2.689331E-3
5.000000E-11	2.637943E-3
1.000000E-10	2.689331E-3
1.500000E-10	2.586554E-3
2.000000E-10	2.552295E-3
2.500000E-10	2.706461E-3
3.000000E-10	2.860626E-3
3.500000E-10	2.912015E-3
4.000000E-10	2.997662E-3
4.500000E-10	3.083310E-3
5.000000E-10	3.134698E-3
5.500000E-10	3.220346E-3
6.000000E-10	3.254605E-3
6.500000E-10	3.203216E-3
7.000000E-10	3.220346E-3
7.500000E-10	3.220346E-3
8.000000E-10	3.100439E-3
8.500000E-10	3.031921E-3
9.000000E-10	3.100439E-3
9.500000E-10	3.168957E-3
1.000000E-9	3.220346E-3
1.050000E-9	3.271734E-3
1.100000E-9	3.237475E-3
1.150000E-9	3.254605E-3
1.200000E-9	3.425900E-3
1.250000E-9	3.580065E-3
1.300000E-9	3.631454E-3
1.350000E-9	3.699972E-3
1.400000E-9	3.819878E-3
1.450000E-9	3.905526E-3
1.500000E-9	3.956914E-3
1.550000E-9	3.974044E-3
1.600000E-9	3.939785E-3
1.650000E-9	3.854137E-3
1.700000E-9	3.819878E-3
1.750000E-9	3.819878E-3
1.800000E-9	3.751360E-3
1.850000E-9	3.648583E-3
1.900000E-9	3.597195E-3
1.950000E-9	3.580065E-3
2.000000E-9	3.511547E-3
2.050000E-9	3.408770E-3
2.100000E-9	3.340252E-3
2.150000E-9	3.340252E-3
2.200000E-9	3.340252E-3
2.250000E-9	3.374511E-3
2.300000E-9	3.443029E-3
2.350000E-9	3.528677E-3
2.400000E-9	3.511547E-3
2.450000E-9	3.425900E-3
2.500000E-9	3.340252E-3
2.550000E-9	3.288864E-3
2.600000E-9	3.271734E-3
2.650000E-9	3.220346E-3
2.700000E-9	3.151828E-3
2.750000E-9	3.083310E-3
2.800000E-9	3.066180E-3
2.850000E-9	2.980533E-3
2.900000E-9	2.912015E-3
2.950000E-9	2.860626E-3
3.000000E-9	2.877756E-3
3.050000E-9	2.860626E-3
3.100000E-9	2.774979E-3
3.150000E-9	2.706461E-3
3.200000E-9	2.689331E-3
3.250000E-9	2.672202E-3
3.300000E-9	2.586554E-3
3.350000E-9	2.500907E-3
3.400000E-9	2.466648E-3
3.450000E-9	2.466648E-3
3.500000E-9	2.552295E-3
3.550000E-9	2.706461E-3
3.600000E-9	2.809238E-3
3.650000E-9	2.912015E-3
3.700000E-9	3.049051E-3
3.750000E-9	3.186087E-3
3.800000E-9	3.220346E-3
3.850000E-9	3.220346E-3
3.900000E-9	3.186087E-3
3.950000E-9	3.014792E-3
4.000000E-9	2.877756E-3
4.050000E-9	2.792108E-3
4.100000E-9	2.620813E-3
4.150000E-9	2.398130E-3
4.200000E-9	2.295353E-3
4.250000E-9	2.226835E-3
4.300000E-9	2.209705E-3
4.350000E-9	2.226835E-3
4.400000E-9	2.312482E-3
4.450000E-9	2.381000E-3
4.500000E-9	2.483777E-3
4.550000E-9	2.586554E-3
4.600000E-9	2.655072E-3
4.650000E-9	2.792108E-3
4.700000E-9	2.929144E-3
4.750000E-9	2.894885E-3
4.800000E-9	2.860626E-3
4.850000E-9	2.843497E-3
4.900000E-9	2.826367E-3
4.950000E-9	2.843497E-3
5.000000E-9	2.877756E-3
5.050000E-9	2.894885E-3
5.100000E-9	3.014792E-3
5.150000E-9	3.168957E-3
5.200000E-9	3.220346E-3
5.250000E-9	3.323123E-3
5.300000E-9	3.545806E-3
5.350000E-9	3.717101E-3
5.400000E-9	3.922655E-3
5.450000E-9	4.350893E-3
5.500000E-9	4.950425E-3
5.550000E-9	5.738382E-3
5.600000E-9	6.971706E-3
5.650000E-9	8.855951E-3
5.700000E-9	1.168232E-2
5.750000E-9	1.593043E-2
5.800000E-9	2.201141E-2
5.850000E-9	3.007940E-2
5.900000E-9	4.063117E-2
5.950000E-9	5.406070E-2
6.000000E-9	7.045363E-2
6.050000E-9	8.977571E-2
6.100000E-9	1.119755E-1
6.150000E-9	1.363679E-1
6.200000E-9	1.619594E-1
6.250000E-9	1.879791E-1
6.300000E-9	2.137248E-1
6.350000E-9	2.383056E-1
6.400000E-9	2.610536E-1
6.450000E-9	2.817118E-1
6.500000E-9	3.000403E-1
6.550000E-9	3.158851E-1
6.600000E-9	3.293660E-1
6.650000E-9	3.408085E-1
6.700000E-9	3.503668E-1
6.750000E-9	3.582635E-1
6.800000E-9	3.649954E-1
6.850000E-9	3.708365E-1
6.900000E-9	3.757356E-1
6.950000E-9	3.797610E-1
7.000000E-9	3.829985E-1
7.050000E-9	3.851739E-1
7.100000E-9	3.859105E-1
7.150000E-9	3.849512E-1
7.200000E-9	3.820392E-1
7.250000E-9	3.769689E-1
7.300000E-9	3.698944E-1
7.350000E-9	3.607987E-1
7.400000E-9	3.497330E-1
7.450000E-9	3.372113E-1
7.500000E-9	3.239360E-1
7.550000E-9	3.102324E-1
7.600000E-9	2.965802E-1
7.650000E-9	2.837330E-1
7.700000E-9	2.722220E-1
7.750000E-9	2.623897E-1
7.800000E-9	2.543559E-1
7.850000E-9	2.482407E-1
7.900000E-9	2.440097E-1
7.950000E-9	2.415259E-1
8.000000E-9	2.404982E-1
8.050000E-9	2.406010E-1
8.100000E-9	2.418000E-1
8.150000E-9	2.439412E-1
8.200000E-9	2.467504E-1
8.250000E-9	2.502106E-1
8.300000E-9	2.542874E-1
8.350000E-9	2.588610E-1
8.400000E-9	2.638286E-1
8.450000E-9	2.692929E-1
8.500000E-9	2.750998E-1
8.550000E-9	2.810951E-1
8.600000E-9	2.872446E-1
8.650000E-9	2.931885E-1
8.700000E-9	2.986871E-1
8.750000E-9	3.035861E-1
8.800000E-9	3.076116E-1
8.850000E-9	3.103865E-1
8.900000E-9	3.118768E-1
8.950000E-9	3.120481E-1
9.000000E-9	3.106435E-1
9.050000E-9	3.076629E-1
9.100000E-9	3.033634E-1
9.150000E-9	2.977792E-1
9.200000E-9	2.909274E-1
9.250000E-9	2.832020E-1
9.300000E-9	2.749113E-1
9.350000E-9	2.662267E-1
9.400000E-9	2.573879E-1
9.450000E-9	2.486518E-1
9.500000E-9	2.403611E-1
9.550000E-9	2.326871E-1
9.600000E-9	2.257325E-1
9.650000E-9	2.196173E-1
9.700000E-9	2.145641E-1
9.750000E-9	2.105558E-1
9.800000E-9	2.076609E-1
9.850000E-9	2.060336E-1
9.900000E-9	2.056054E-1
9.950000E-9	2.063420E-1
1.000000E-8	2.082605E-1
1.005000E-8	2.113438E-1
1.010000E-8	2.153007E-1
1.015000E-8	2.200113E-1
1.020000E-8	2.255270E-1
1.025000E-8	2.315908E-1
1.030000E-8	2.378945E-1
1.035000E-8	2.443523E-1
1.040000E-8	2.507245E-1
1.045000E-8	2.568055E-1
1.050000E-8	2.624239E-1
1.055000E-8	2.673572E-1
1.060000E-8	2.713655E-1
1.065000E-8	2.743975E-1
1.070000E-8	2.763673E-1
1.075000E-8	2.771724E-1
1.080000E-8	2.767613E-1
1.085000E-8	2.752197E-1
1.090000E-8	2.724790E-1
1.095000E-8	2.685906E-1
1.100000E-8	2.637600E-1
1.105000E-8	2.580730E-1
1.110000E-8	2.515981E-1
1.115000E-8	2.444551E-1
1.120000E-8	2.370551E-1
1.125000E-8	2.294496E-1
1.130000E-8	2.217928E-1
1.135000E-8	2.144613E-1
1.140000E-8	2.077123E-1
1.145000E-8	2.014600E-1
1.150000E-8	1.958416E-1
1.155000E-8	1.911823E-1
1.160000E-8	1.874652E-1
1.165000E-8	1.846389E-1
1.170000E-8	1.828231E-1
