run_name grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2] Time[hh:mm:ss]
031-0404W-2024-02-21-03.40um-spot00-1 3.5218 5.53910e+08 2.99954e+03 0.42625299 0.00088724838 6.5833555e-06 2.2792988e-08 6.1163102e-10 NaN 0.074062982 0.00055667038 -0.52412615 0.0049392352 0 3.29127e-10 -0.0039881944 0.00012684792 14:23:09
031-0404W-2024-02-21-03.40um-spot00-2 3.5218 5.53890e+08 2.93252e+03 0.42807232 0.00087775519 6.5718724e-06 2.2448618e-08 2.5946418e-14 NaN 0.075040039 0.0005510348 -0.34857898 0.004840812 0 3.2137639e-10 -0.0037650329 0.00012592107 14:24:10
031-0404W-2024-02-21-03.40um-spot00-3 3.5218 5.53906e+08 2.95506e+03 0.43421221 0.0009018721 6.5946888e-06 2.2667403e-08 1.375321e-12 NaN 0.07590038 0.00056351313 -0.70324086 0.0048841944 3.459064e-08 3.2357883e-10 -0.0038182586 0.00012767947 14:25:12
031-0404W-2024-02-21-03.40um-spot00-4 3.5218 5.53909e+08 3.02136e+03 0.42372505 0.00087959591 6.5843189e-06 2.2734475e-08 4.5706544e-10 NaN 0.074635142 0.00055336692 -0.35001232 0.0048869841 0 3.2259017e-10 -0.0036852404 0.00012575775 14:26:13
031-0404W-2024-02-21-03.40um-spot00-5 3.5218 5.53859e+08 2.99074e+03 0.43451367 0.00090300633 6.5855458e-06 2.2760919e-08 2.5704231e-14 NaN 0.075961324 0.00056748528 -0.34383103 0.0049247096 0 3.2548771e-10 -0.0039048322 0.00012906283 14:27:15
031-0404W-2024-02-21-03.40um-spot00-6 3.5218 5.53939e+08 3.03370e+03 0.4271682 0.00089784471 6.5837749e-06 2.2931186e-08 1.035379e-12 NaN 0.074436431 0.00056140989 -0.7188408 0.0049604266 3.4538729e-08 3.291395e-10 -0.0041382171 0.00012748715 14:28:16
031-0404W-2024-02-21-03.40um-spot00-7 3.5218 5.53889e+08 2.90509e+03 0.42528936 0.00086791174 6.5745735e-06 2.2343871e-08 2.614079e-14 NaN 0.074483696 0.00054440516 -0.35679396 0.0048175776 0 3.2014363e-10 -0.0038303502 0.0001244178 14:29:18
031-0404W-2024-02-21-03.40um-spot00-8 3.5218 5.53866e+08 3.00824e+03 0.42585801 0.0081218745 6.5847497e-06 4.7884333e-08 8.0253835e-08 1.1162291e-06 0.074395943 0.00055387229 -0.70816946 0.004886285 0 3.2605999e-10 -0.0036272981 0.00015325201 14:30:19
031-0404W-2024-02-21-03.40um-spot00-9 3.5218 5.53889e+08 2.98786e+03 0.42769959 0.00088576966 6.5845606e-06 2.2595163e-08 1.0952927e-12 NaN 0.074844624 0.00055397939 -0.70995645 0.0048686529 3.4498344e-08 3.2282455e-10 -0.0037516919 0.00012574549 14:31:20
031-0404W-2024-02-21-03.40um-spot00-10 3.5218 5.53910e+08 2.97403e+03 0.42196595 0.00088179874 6.5977925e-06 2.2808155e-08 2.8519428e-10 NaN 0.073476165 0.00054909643 -0.71340586 0.0049158112 0 3.2724417e-10 -0.0036534245 0.00012473271 14:32:22
031-0404W-2024-02-21-03.40um-spot00-11 3.5218 5.53865e+08 3.00326e+03 0.42133696 0.00086923395 6.5883441e-06 2.2596647e-08 3.434103e-10 NaN 0.073768594 0.00054658168 -0.36009324 0.0048825877 0 3.2239988e-10 -0.0038802453 0.00012414119 14:33:23
031-0404W-2024-02-21-03.40um-spot00-12 3.5218 5.53791e+08 3.00851e+03 0.43532617 0.00090385791 6.6028707e-06 2.2664427e-08 1.6310714e-12 NaN 0.076617315 0.00056605951 -0.68778607 0.0048607593 3.4360351e-08 3.2027311e-10 -0.003478911 0.00012767629 14:34:25
031-0404W-2024-02-21-03.40um-spot00-13 3.5218 5.53765e+08 2.99745e+03 0.42354242 0.00088484746 6.6191674e-06 2.2815796e-08 3.298792e-10 NaN 0.074220678 0.00055138567 -0.70072215 0.0048867522 0 3.2349661e-10 -0.0037044278 0.0001244414 14:35:26
031-0404W-2024-02-21-03.40um-spot00-14 3.5218 5.53749e+08 3.01224e+03 0.42728153 0.00088881059 6.5997317e-06 2.270472e-08 1.1391161e-12 NaN 0.074876085 0.00055633425 -0.7006094 0.0048870828 0 3.226258e-10 -0.0038714272 0.00012565805 14:36:27
031-0404W-2024-02-21-03.40um-spot00-15 3.5218 5.53744e+08 3.03416e+03 0.42793731 0.00089030368 6.6044968e-06 2.271097e-08 1.2010879e-12 NaN 0.075889831 0.00056023919 -0.67355264 0.004857232 3.4400891e-08 3.1752666e-10 -0.0037062284 0.00012570525 14:37:29
031-0404W-2024-02-21-03.40um-spot00-16 3.5218 5.53707e+08 3.01824e+03 0.42313333 0.00088530093 6.6017781e-06 2.2925567e-08 2.2960645e-14 NaN 0.074319917 0.0005543885 -0.34801963 0.0049164546 0 3.257292e-10 -0.0040757589 0.00012597779 14:38:30
031-0404W-2024-02-21-03.40um-spot00-17 3.5218 5.53724e+08 3.04331e+03 0.42821749 0.00089994072 6.6156738e-06 2.2949289e-08 1.2879812e-12 NaN 0.075636049 0.00056383265 -0.70204437 0.0049023918 0 3.2216865e-10 -0.0036723427 0.00012668351 14:39:32
031-0404W-2024-02-21-03.40um-spot00-18 3.5218 5.53725e+08 2.99991e+03 0.4226622 0.00088078175 6.6121781e-06 2.2753656e-08 3.4057666e-10 NaN 0.073822433 0.00054934331 -0.69865449 0.0048949513 3.4541011e-08 3.2405682e-10 -0.0037582517 0.00012410368 14:40:33
031-0404W-2024-02-21-03.40um-spot00-19 3.5218 5.53670e+08 3.02316e+03 0.4322087 0.00090399779 6.6195424e-06 2.2842344e-08 1.5196618e-12 NaN 0.076495494 0.00056788926 -0.68714073 0.0048828401 0 3.1922463e-10 -0.0034177414 0.00012712093 14:41:35
031-0404W-2024-02-21-03.40um-spot00-20 3.5218 5.53709e+08 2.96538e+03 0.4351815 0.00090669797 6.630844e-06 2.2761608e-08 1.3218867e-12 NaN 0.076572207 0.00056614246 -0.69065346 0.0048635526 0 3.2015781e-10 -0.0037192933 0.00012711347 14:42:37
031-0404W-2024-02-21-03.40um-spot00-21 3.5218 5.53734e+08 3.02870e+03 0.42804547 0.00089161266 6.6032507e-06 2.2824662e-08 2.6941525e-09 NaN 0.074872001 0.00055841359 -0.35456735 0.0049150546 3.4565601e-08 3.2550957e-10 -0.0037907909 0.00012681992 14:43:38
031-0404W-2024-02-21-03.40um-spot00-22 3.5218 5.53708e+08 2.99096e+03 0.43365797 0.00090669368 6.6375916e-06 2.2845972e-08 1.2426112e-12 NaN 0.076246045 0.00056495773 -0.68953898 0.0048744415 0 3.2143545e-10 -0.0037728764 0.00012688241 14:44:39
031-0404W-2024-02-21-03.40um-spot00-23 3.5218 5.53709e+08 2.99362e+03 0.43219423 0.00090167327 6.6222594e-06 2.278628e-08 1.65568e-12 NaN 0.076060623 0.0005626643 -0.69635784 0.004865942 0 3.2121911e-10 -0.0033682482 0.00012670228 14:45:41
031-0404W-2024-02-21-03.40um-spot00-24 3.5218 5.53668e+08 3.02022e+03 0.43610784 0.00091089192 6.6311787e-06 2.2905993e-08 2.665211e-14 NaN 0.077049884 0.00057095488 -0.3379032 0.0048839597 3.4692336e-08 3.2111939e-10 -0.0035734478 0.0001285955 14:46:42
031-0404W-2024-02-21-03.40um-spot00-25 3.5218 5.53645e+08 2.97358e+03 0.42656559 0.00089543597 6.632737e-06 2.3019364e-08 6.9883498e-10 NaN 0.074979063 0.00055855559 -0.49934906 0.0048962372 0 3.2575588e-10 -0.0038380971 0.00012632263 14:47:44
031-0404W-2024-02-21-03.40um-spot00-26 3.5218 5.53663e+08 2.96396e+03 0.43149378 0.00089823488 6.6076843e-06 2.2813626e-08 2.6841064e-14 NaN 0.076722395 0.00056407022 -0.33112857 0.0048465239 0 3.1920257e-10 -0.0038095995 0.00012761359 14:48:45
031-0404W-2024-02-21-03.40um-spot00-27 3.5218 5.53643e+08 3.02210e+03 0.43523647 0.00091260087 6.625819e-06 2.2903551e-08 1.3245412e-12 NaN 0.076800217 0.00057021651 -0.68773437 0.0048840016 3.4521959e-08 3.2149965e-10 -0.0038924289 0.00012811433 14:49:47
031-0404W-2024-02-21-03.40um-spot00-28 3.5218 5.53652e+08 2.95970e+03 0.42535548 0.00089029369 6.6313855e-06 2.2866514e-08 1.2851313e-12 NaN 0.074806526 0.00055417783 -0.69563657 0.0048729271 0 3.223149e-10 -0.0035281755 0.0001247961 14:50:48
031-0404W-2024-02-21-03.40um-spot00-29 3.5218 5.53738e+08 3.00959e+03 0.43423287 0.00091008542 6.6313975e-06 2.2896928e-08 1.5116477e-12 NaN 0.076584296 0.00056850765 -0.69597878 0.0048826218 0 3.2120743e-10 -0.0035381491 0.00012756938 14:51:49
031-0404W-2024-02-21-03.40um-spot00-30 3.5218 5.53763e+08 3.03728e+03 0.42792586 0.00089453372 6.6082497e-06 2.2822052e-08 1.7047715e-12 NaN 0.075545609 0.00056017767 -0.68944278 0.0048780937 3.4644411e-08 3.211332e-10 -0.0033527638 0.00012617527 14:52:51
031-0404W-2024-02-21-03.40um-spot00-31 3.5218 5.53774e+08 2.98569e+03 0.43353771 0.00090751657 6.6170702e-06 2.2859469e-08 1.3933236e-12 NaN 0.07623042 0.00056654146 -0.70735803 0.0048878327 0 3.2288874e-10 -0.0037151768 0.00012770239 14:53:52
031-0404W-2024-02-21-03.40um-spot00-32 3.5218 5.53795e+08 3.01629e+03 0.4332813 0.00089970705 6.6068129e-06 2.275618e-08 2.6076883e-14 NaN 0.076860503 0.00056561869 -0.34540547 0.0048501202 0 3.1905421e-10 -0.0035814958 0.00012785292 14:54:54
031-0404W-2024-02-21-03.40um-spot00-33 3.5218 5.53780e+08 2.99965e+03 0.44045883 0.00092512654 6.6230659e-06 2.2940809e-08 1.6341628e-12 NaN 0.077668147 0.00057752724 -0.69066087 0.0048918811 3.4365183e-08 3.22597e-10 -0.0036802259 0.00012996937 14:55:55
031-0404W-2024-02-21-03.40um-spot00-34 3.5218 5.53746e+08 3.02197e+03 0.42552657 0.00089465705 6.6126074e-06 2.3044728e-08 3.7392556e-10 NaN 0.07472102 0.00055923551 -0.34410258 0.0049334243 0 3.2696913e-10 -0.0035547197 0.00012693663 14:56:57
031-0404W-2024-02-21-03.40um-spot00-35 3.5218 5.53767e+08 2.96183e+03 0.43530359 0.0009052985 6.6162283e-06 2.2797506e-08 2.5885175e-14 NaN 0.07672958 0.00056711802 -0.34883269 0.0048711934 0 3.2159644e-10 -0.0038284365 0.00012832163 14:57:58
031-0404W-2024-02-21-03.40um-spot00-36 3.5218 5.53784e+08 2.97880e+03 0.43311153 0.00090645663 6.6133644e-06 2.2940289e-08 2.5275886e-14 NaN 0.076394413 0.00056719615 -0.33825519 0.0048945957 3.4333122e-08 3.2376639e-10 -0.0031942287 0.000128585 14:58:59
031-0404W-2024-02-21-03.40um-spot00-37 3.5218 5.53824e+08 2.97559e+03 0.43425704 0.00091709216 6.6333136e-06 2.3073278e-08 1.0826008e-12 NaN 0.076322323 0.00056989128 -0.69154958 0.004912975 0 3.255465e-10 -0.0036884102 0.00012848586 15:00:01
031-0404W-2024-02-21-03.40um-spot00-38 3.5218 5.53788e+08 2.97015e+03 0.43530456 0.00091044741 6.6201659e-06 2.2842215e-08 1.2109247e-12 NaN 0.076680724 0.00056782125 -0.68504861 0.0048724136 0 3.219001e-10 -0.0037139791 0.00012800733 15:01:03
031-0404W-2024-02-21-03.40um-spot00-39 3.5218 5.53804e+08 3.00762e+03 0.43570103 0.00091103985 6.6171126e-06 2.2921755e-08 2.5898473e-14 NaN 0.076676891 0.00056992937 -0.34355117 0.0048995877 3.447276e-08 3.2401394e-10 -0.0034762475 0.00012910471 15:02:03
031-0404W-2024-02-21-03.40um-spot00-40 3.5218 5.53741e+08 2.99121e+03 0.43405166 0.000909474 6.6231797e-06 2.2885754e-08 1.5708112e-12 NaN 0.076231231 0.0005652801 -0.70685174 0.0048774134 0 3.239409e-10 -0.0037688314 0.00012776754 15:03:05
031-0404W-2024-02-21-03.40um-spot00-41 3.5218 5.53708e+08 2.98324e+03 0.43722539 0.00092069953 6.6288777e-06 2.3003778e-08 1.3818179e-12 NaN 0.076908964 0.00057393918 -0.69485012 0.0049088632 0 3.2411247e-10 -0.0035841038 0.00012914518 15:04:07
031-0404W-2024-02-21-03.40um-spot00-42 3.5218 5.53690e+08 2.99990e+03 0.43237062 0.00090077875 6.6216046e-06 2.2841138e-08 2.6153932e-14 NaN 0.076635612 0.00056417174 -0.35003322 0.0048512951 3.4386725e-08 3.200809e-10 -0.0034339138 0.00012749621 15:05:08
031-0404W-2024-02-21-03.40um-spot00-43 3.5218 5.53693e+08 3.02464e+03 0.43446452 0.00091604139 6.6341404e-06 2.3036333e-08 1.6075654e-12 NaN 0.076885922 0.00057128238 -0.68896964 0.0048879066 0 3.2212428e-10 -0.003512573 0.00012830953 15:06:10
031-0404W-2024-02-21-03.40um-spot00-44 3.5218 5.53661e+08 3.03791e+03 0.43111172 0.00090511989 6.6365073e-06 2.3028238e-08 2.6775073e-14 NaN 0.076088968 0.000566198 -0.338564 0.0049045525 0 3.2311507e-10 -0.0036605821 0.00012759816 15:07:11
031-0404W-2024-02-21-03.40um-spot00-45 3.5218 5.53679e+08 3.04213e+03 0.42702715 0.00089379141 6.6325898e-06 2.304056e-08 2.532396e-14 NaN 0.075285519 0.00056108059 -0.15633837 0.0049068558 3.4094716e-08 3.2496616e-10 -0.0035527939 0.0001269942 15:08:13
031-0404W-2024-02-21-03.40um-spot00-46 3.5218 5.53692e+08 3.02530e+03 0.42926946 0.00089739175 6.6506789e-06 2.2851542e-08 1.50846e-12 NaN 0.07519677 0.00055816049 -0.70672686 0.0048812662 0 3.2209035e-10 -0.0034464983 0.00012514049 15:09:14
031-0404W-2024-02-21-03.40um-spot00-47 3.5218 5.53607e+08 2.98156e+03 0.42822407 0.00090065511 6.6325008e-06 2.2978426e-08 1.2098624e-12 NaN 0.075387241 0.00056058393 -0.69637031 0.0048910086 0 3.2350361e-10 -0.0036839938 0.00012621063 15:10:16
031-0404W-2024-02-21-03.40um-spot00-48 3.5218 5.53650e+08 3.02171e+03 0.42760451 0.00089691979 6.6341636e-06 2.3005157e-08 5.2217878e-10 NaN 0.075690205 0.0005599072 -0.33743827 0.0048760675 3.4471897e-08 3.2238402e-10 -0.0037437547 0.00012652099 15:11:17
031-0404W-2024-02-21-03.40um-spot00-49 3.5218 5.53607e+08 3.03719e+03 0.4246829 0.00088941137 6.6209117e-06 2.2960553e-08 4.4719011e-10 NaN 0.07529168 0.00055834898 -0.33192951 0.004887955 0 3.2126174e-10 -0.0036115721 0.00012590911 15:12:18
031-0404W-2024-02-21-03.40um-spot00-50 3.5218 5.53619e+08 2.98754e+03 0.43218741 0.00091188616 6.6440177e-06 2.3059301e-08 1.1438665e-12 NaN 0.076106006 0.00056769421 -0.68140345 0.0049074659 0 3.2357755e-10 -0.0035849507 0.00012738871 15:13:20
031-0404W-2024-02-21-03.40um-spot00-51 3.5218 5.53614e+08 3.02501e+03 0.43241009 0.00091543636 6.6433128e-06 2.3136633e-08 1.3180123e-12 NaN 0.076507941 0.00057152358 -0.68025131 0.00491423 3.4244962e-08 3.2268299e-10 -0.0035517915 0.00012790843 15:14:21
031-0404W-2024-02-21-03.40um-spot00-52 3.5218 5.53618e+08 3.02592e+03 0.42913936 0.00089880872 6.6382878e-06 2.2974033e-08 2.6087808e-14 NaN 0.075446949 0.00056087578 -0.35056347 0.0048988076 0 3.2395813e-10 -0.0035625845 0.00012664858 15:15:23
031-0404W-2024-02-21-03.40um-spot00-53 3.5218 5.53642e+08 3.03296e+03 0.43327951 0.00090849487 6.6570588e-06 2.2924425e-08 1.4215515e-12 NaN 0.076299868 0.00056478948 -0.69363945 0.004868803 0 3.2098109e-10 -0.0037730289 0.00012647201 15:16:24
031-0404W-2024-02-21-03.40um-spot00-54 3.5218 5.53606e+08 3.00058e+03 0.42963467 0.00090243212 6.6413696e-06 2.2954062e-08 1.309787e-12 NaN 0.075579536 0.00056233288 -0.69249612 0.0048937461 3.4474597e-08 3.2251413e-10 -0.0035644803 0.00012615789 15:17:25
031-0404W-2024-02-21-03.40um-spot00-55 3.5218 5.53639e+08 2.99638e+03 0.4271052 0.0009054587 6.6549191e-06 2.3262796e-08 6.4641426e-10 NaN 0.07527213 0.00056476938 -0.50473967 0.004930453 0 3.2665894e-10 -0.0034660659 0.00012697957 15:18:27
