Study Name	Beam_cont_045-04_RT_lecroy
Sample Name	2025-03-19
Run Name	spot00
Operator	Elena
Date	3/19/2025
Time	13:51
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	6
dt	100.000001E-12
time stamp (ms)	1:52:18 PM
	
Time	Amplitude
1.840000E-8	2.912332E-4
1.850000E-8	4.762496E-4
1.860000E-8	4.728234E-4
1.870000E-8	3.254955E-4
1.880000E-8	1.267741E-4
1.890000E-8	-1.541767E-4
1.900000E-8	-3.940128E-4
1.910000E-8	-4.830948E-4
1.920000E-8	-4.077178E-4
1.930000E-8	-1.404718E-4
1.940000E-8	2.638233E-4
1.950000E-8	6.475611E-4
1.960000E-8	9.387906E-4
1.970000E-8	1.038151E-3
1.980000E-8	9.182333E-4
1.990000E-8	7.297906E-4
2.000000E-8	5.687578E-4
2.010000E-8	5.002332E-4
2.020000E-8	5.721840E-4
2.030000E-8	7.434955E-4
2.040000E-8	8.462824E-4
2.050000E-8	8.154464E-4
2.060000E-8	5.036594E-4
2.070000E-8	1.062167E-4
2.080000E-8	-3.460456E-4
2.090000E-8	-6.509801E-4
2.100000E-8	-6.201440E-4
2.110000E-8	-3.871604E-4
2.120000E-8	3.612968E-9
2.130000E-8	4.214299E-4
2.140000E-8	6.749709E-4
2.150000E-8	6.646922E-4
2.160000E-8	4.865283E-4
2.170000E-8	3.015119E-4
2.180000E-8	1.302004E-4
2.190000E-8	2.398722E-5
2.200000E-8	3.612968E-9
2.210000E-8	5.824952E-5
2.220000E-8	9.593805E-5
2.230000E-8	9.251182E-5
2.240000E-8	7.195444E-5
2.250000E-8	1.952987E-4
2.260000E-8	8.051677E-4
2.270000E-8	2.137971E-3
2.280000E-8	4.543185E-3
2.290000E-8	7.942005E-3
2.300000E-8	1.209117E-2
2.310000E-8	1.633969E-2
2.320000E-8	2.003660E-2
2.330000E-8	2.271591E-2
2.340000E-8	2.418576E-2
2.350000E-8	2.470997E-2
2.360000E-8	2.468942E-2
2.370000E-8	2.451468E-2
2.380000E-8	2.441532E-2
2.390000E-8	2.412066E-2
2.400000E-8	2.334633E-2
2.410000E-8	2.198612E-2
2.420000E-8	2.008114E-2
2.430000E-8	1.792261E-2
2.440000E-8	1.595596E-2
2.450000E-8	1.456148E-2
2.460000E-8	1.399615E-2
2.470000E-8	1.418117E-2
2.480000E-8	1.488697E-2
2.490000E-8	1.583604E-2
2.500000E-8	1.666861E-2
2.510000E-8	1.750804E-2
2.520000E-8	1.829607E-2
2.530000E-8	1.904299E-2
2.540000E-8	1.962888E-2
2.550000E-8	1.989955E-2
2.560000E-8	1.973509E-2
2.570000E-8	1.904984E-2
2.580000E-8	1.793974E-2
2.590000E-8	1.653156E-2
2.600000E-8	1.516792E-2
2.610000E-8	1.402699E-2
2.620000E-8	1.321840E-2
2.630000E-8	1.277984E-2
2.640000E-8	1.266678E-2
2.650000E-8	1.291689E-2
2.660000E-8	1.340684E-2
2.670000E-8	1.409209E-2
2.680000E-8	1.482530E-2
2.690000E-8	1.552768E-2
2.700000E-8	1.614440E-2
2.710000E-8	1.660009E-2
2.720000E-8	1.682622E-2
2.730000E-8	1.688789E-2
2.740000E-8	1.669945E-2
2.750000E-8	1.630886E-2
2.760000E-8	1.563389E-2
2.770000E-8	1.473965E-2
2.780000E-8	1.365010E-2
2.790000E-8	1.244750E-2
2.800000E-8	1.120720E-2
2.810000E-8	1.017933E-2
2.820000E-8	9.641415E-3
2.830000E-8	9.751054E-3
2.840000E-8	1.060761E-2
2.850000E-8	1.204663E-2
2.860000E-8	1.366724E-2
2.870000E-8	1.516792E-2
2.880000E-8	1.619237E-2
2.890000E-8	1.665148E-2
2.900000E-8	1.654869E-2
2.910000E-8	1.600735E-2
2.920000E-8	1.514737E-2
2.930000E-8	1.406468E-2
2.940000E-8	1.277299E-2
2.950000E-8	1.139907E-2
2.960000E-8	1.018619E-2
2.970000E-8	9.185726E-3
2.980000E-8	8.658087E-3
2.990000E-8	8.712907E-3
3.000000E-8	9.333054E-3
3.010000E-8	1.052538E-2
3.020000E-8	1.196440E-2
3.030000E-8	1.344453E-2
3.040000E-8	1.467797E-2
3.050000E-8	1.534266E-2
3.060000E-8	1.546943E-2
3.070000E-8	1.509597E-2
3.080000E-8	1.446212E-2
3.090000E-8	1.369807E-2
3.100000E-8	1.295458E-2
3.110000E-8	1.225905E-2
3.120000E-8	1.160122E-2
3.130000E-8	1.100163E-2
3.140000E-8	1.043287E-2
3.150000E-8	1.002173E-2
3.160000E-8	9.802448E-3
3.170000E-8	9.823005E-3
3.180000E-8	1.012109E-2
3.190000E-8	1.065558E-2
3.200000E-8	1.132712E-2
3.210000E-8	1.209802E-2
3.220000E-8	1.284494E-2
3.230000E-8	1.337601E-2
3.240000E-8	1.361927E-2
3.250000E-8	1.332804E-2
3.260000E-8	1.271474E-2
3.270000E-8	1.179651E-2
3.280000E-8	1.080633E-2
3.290000E-8	9.857267E-3
3.300000E-8	9.065808E-3
3.310000E-8	8.418251E-3
3.320000E-8	7.989972E-3
3.330000E-8	7.715874E-3
3.340000E-8	7.609660E-3
3.350000E-8	7.856349E-3
3.360000E-8	8.449087E-3
3.370000E-8	9.511218E-3
3.380000E-8	1.076522E-2
3.390000E-8	1.213228E-2
3.400000E-8	1.320469E-2
3.410000E-8	1.388651E-2
3.420000E-8	1.403384E-2
3.430000E-8	1.368779E-2
3.440000E-8	1.285864E-2
3.450000E-8	1.164576E-2
3.460000E-8	1.014850E-2
3.470000E-8	8.616972E-3
3.480000E-8	7.253333E-3
3.490000E-8	6.417332E-3
3.500000E-8	6.263152E-3
3.510000E-8	6.814775E-3
3.520000E-8	7.952283E-3
3.530000E-8	9.401579E-3
3.540000E-8	1.077892E-2
3.550000E-8	1.186846E-2
3.560000E-8	1.259140E-2
3.570000E-8	1.293745E-2
3.580000E-8	1.293745E-2
3.590000E-8	1.263251E-2
3.600000E-8	1.213228E-2
3.610000E-8	1.144361E-2
3.620000E-8	1.043287E-2
3.630000E-8	9.305644E-3
3.640000E-8	8.109890E-3
3.650000E-8	7.016923E-3
3.660000E-8	6.215185E-3
3.670000E-8	5.838300E-3
3.680000E-8	6.026742E-3
3.690000E-8	6.633185E-3
3.700000E-8	7.568546E-3
3.710000E-8	8.548448E-3
3.720000E-8	9.350185E-3
3.730000E-8	9.973759E-3
3.740000E-8	1.031296E-2
3.750000E-8	1.060076E-2
3.760000E-8	1.088856E-2
3.770000E-8	1.117979E-2
3.780000E-8	1.124489E-2
3.790000E-8	1.088171E-2
3.800000E-8	1.004228E-2
3.810000E-8	8.836251E-3
3.820000E-8	7.530857E-3
3.830000E-8	6.455021E-3
3.840000E-8	5.821168E-3
3.850000E-8	5.701250E-3
3.860000E-8	6.019890E-3
3.870000E-8	6.670873E-3
3.880000E-8	7.417792E-3
3.890000E-8	8.257218E-3
3.900000E-8	9.185726E-3
3.910000E-8	9.939497E-3
3.920000E-8	1.058020E-2
3.930000E-8	1.093996E-2
3.940000E-8	1.112840E-2
3.950000E-8	1.086458E-2
3.960000E-8	1.033694E-2
3.970000E-8	9.442694E-3
3.980000E-8	8.390841E-3
3.990000E-8	7.249906E-3
4.000000E-8	6.163791E-3
4.010000E-8	5.392890E-3
4.020000E-8	5.077677E-3
4.030000E-8	5.269545E-3
4.040000E-8	6.002759E-3
4.050000E-8	7.133415E-3
4.060000E-8	8.339447E-3
4.070000E-8	9.422136E-3
4.080000E-8	1.021017E-2
4.090000E-8	1.071382E-2
4.100000E-8	1.092282E-2
4.110000E-8	1.075494E-2
4.120000E-8	1.025814E-2
4.130000E-8	9.473530E-3
4.140000E-8	8.418251E-3
4.150000E-8	7.157398E-3
4.160000E-8	5.975349E-3
4.170000E-8	5.108513E-3
4.180000E-8	4.683660E-3
4.190000E-8	4.652824E-3
4.200000E-8	5.094808E-3
4.210000E-8	5.800611E-3
4.220000E-8	6.698283E-3
4.230000E-8	7.695316E-3
4.240000E-8	8.767726E-3
