Study Name	Beam_cont_045-04_RT_lecroy
Sample Name	2025-03-19
Run Name	spot00
Operator	Elena
Date	3/19/2025
Time	13:51
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	35
dt	100.000001E-12
time stamp (ms)	1:57:50 PM
	
Time	Amplitude
0.000000E+0	2.227102E-4
1.000000E-10	4.008741E-4
2.000000E-10	4.522676E-4
3.000000E-10	4.968086E-4
4.000000E-10	5.858906E-4
5.000000E-10	6.783988E-4
6.000000E-10	6.544152E-4
7.000000E-10	5.173660E-4
8.000000E-10	3.563332E-4
9.000000E-10	2.603987E-4
1.000000E-9	3.289233E-4
1.100000E-9	3.426282E-4
1.200000E-9	5.276447E-4
1.300000E-9	6.955299E-4
1.400000E-9	6.921037E-4
1.500000E-9	3.905955E-4
1.600000E-9	-2.740461E-5
1.700000E-9	-3.015030E-4
1.800000E-9	-5.379129E-4
1.900000E-9	-5.447653E-4
2.000000E-9	-3.049292E-4
2.100000E-9	-8.907675E-5
2.200000E-9	1.267757E-4
2.300000E-9	2.295626E-4
2.400000E-9	2.569725E-4
2.500000E-9	2.946610E-4
2.600000E-9	3.460545E-4
2.700000E-9	3.666118E-4
2.800000E-9	3.117922E-4
2.900000E-9	1.130708E-4
3.000000E-9	-2.295522E-4
3.100000E-9	-6.201424E-4
3.200000E-9	-8.154375E-4
3.300000E-9	-8.908146E-4
3.400000E-9	-6.441260E-4
3.500000E-9	-2.843719E-4
3.600000E-9	1.130708E-4
3.700000E-9	3.940217E-4
3.800000E-9	3.631856E-4
3.900000E-9	1.678905E-4
4.000000E-9	6.857694E-6
4.100000E-9	-2.364046E-4
4.200000E-9	-2.295522E-4
4.300000E-9	2.741507E-5
4.400000E-9	3.905955E-4
4.500000E-9	5.584807E-4
4.600000E-9	6.235791E-4
4.700000E-9	4.728250E-4
4.800000E-9	2.638249E-4
4.900000E-9	1.781692E-4
5.000000E-9	2.158577E-4
5.100000E-9	3.529069E-4
5.200000E-9	5.139397E-4
5.300000E-9	3.837430E-4
5.400000E-9	1.473331E-4
5.500000E-9	-1.644538E-4
5.600000E-9	-3.494702E-4
5.700000E-9	-3.220604E-4
5.800000E-9	4.111999E-5
5.900000E-9	3.734643E-4
6.000000E-9	4.899561E-4
6.100000E-9	4.214315E-4
6.200000E-9	1.713638E-5
6.300000E-9	-4.385522E-4
6.400000E-9	-7.229293E-4
6.500000E-9	-7.092244E-4
6.600000E-9	-5.721752E-4
6.700000E-9	-2.638145E-4
6.800000E-9	-1.062079E-4
6.900000E-9	1.028392E-5
7.000000E-9	3.769376E-5
7.100000E-9	1.199233E-4
7.200000E-9	3.289233E-4
7.300000E-9	6.749725E-4
7.400000E-9	9.730546E-4
7.500000E-9	1.182055E-3
7.600000E-9	1.168350E-3
7.700000E-9	8.668414E-4
7.800000E-9	4.693987E-4
7.900000E-9	2.158577E-4
8.000000E-9	-5.481445E-5
8.100000E-9	-1.199128E-4
8.200000E-9	-1.507489E-4
8.300000E-9	-2.089948E-4
8.400000E-9	-5.002243E-4
8.500000E-9	-7.914539E-4
8.600000E-9	-1.202602E-3
8.700000E-9	-1.377339E-3
8.800000E-9	-1.267700E-3
8.900000E-9	-8.222900E-4
9.000000E-9	-1.987161E-4
9.100000E-9	3.357758E-4
9.200000E-9	6.681201E-4
9.300000E-9	6.167266E-4
9.400000E-9	4.317102E-4
9.500000E-9	1.027921E-4
9.600000E-9	-2.706669E-4
9.700000E-9	-2.980768E-4
9.800000E-9	-1.164866E-4
9.900000E-9	2.809561E-4
1.000000E-8	6.852512E-4
1.010000E-8	6.681201E-4
1.020000E-8	2.398413E-4
1.030000E-8	-3.528965E-4
1.040000E-8	-9.661916E-4
1.050000E-8	-1.360208E-3
1.060000E-8	-1.343077E-3
1.070000E-8	-1.024438E-3
1.080000E-8	-6.578309E-4
1.090000E-8	-3.254866E-4
1.100000E-8	-2.843719E-4
1.110000E-8	-3.460440E-4
1.120000E-8	-3.700276E-4
1.130000E-8	-3.357653E-4
1.140000E-8	-1.438964E-4
1.150000E-8	1.473331E-4
1.160000E-8	3.083659E-4
1.170000E-8	3.837430E-4
1.180000E-8	4.659725E-4
1.190000E-8	6.167266E-4
1.200000E-8	8.736939E-4
1.210000E-8	1.264284E-3
1.220000E-8	1.469858E-3
1.230000E-8	1.391055E-3
1.240000E-8	1.024448E-3
1.250000E-8	4.385627E-4
1.260000E-8	-1.576013E-4
1.270000E-8	-5.070768E-4
1.280000E-8	-6.304211E-4
1.290000E-8	-4.967981E-4
1.300000E-8	-2.261259E-4
1.310000E-8	9.251344E-5
1.320000E-8	1.541856E-4
1.330000E-8	1.610380E-4
1.340000E-8	-2.055215E-5
1.350000E-8	-2.775194E-4
1.360000E-8	-3.837325E-4
1.370000E-8	-3.768801E-4
1.380000E-8	-1.267653E-4
1.390000E-8	2.398413E-4
1.400000E-8	5.995955E-4
1.410000E-8	7.332185E-4
1.420000E-8	6.201529E-4
1.430000E-8	3.357758E-4
1.440000E-8	5.482491E-5
1.450000E-8	-5.481445E-5
1.460000E-8	-9.250298E-5
1.470000E-8	-4.453576E-5
1.480000E-8	-4.110953E-5
1.490000E-8	-1.541751E-4
1.500000E-8	-5.139293E-4
1.510000E-8	-6.235686E-4
1.520000E-8	-5.756014E-4
1.530000E-8	-2.877981E-4
1.540000E-8	3.392020E-4
1.550000E-8	9.867595E-4
1.560000E-8	1.521251E-3
1.570000E-8	1.939251E-3
1.580000E-8	1.922120E-3
1.590000E-8	1.576071E-3
1.600000E-8	1.099825E-3
1.610000E-8	5.584807E-4
1.620000E-8	5.482491E-5
1.630000E-8	-1.644538E-4
1.640000E-8	-5.481445E-5
1.650000E-8	2.672512E-4
1.660000E-8	7.400709E-4
1.670000E-8	7.743332E-4
1.680000E-8	6.133004E-4
1.690000E-8	3.426282E-4
1.700000E-8	-7.537183E-5
1.710000E-8	-3.049292E-4
1.720000E-8	-2.158473E-4
1.730000E-8	1.576118E-4
1.740000E-8	5.002348E-4
1.750000E-8	7.503496E-4
1.760000E-8	6.064479E-4
1.770000E-8	1.473331E-4
1.780000E-8	-5.276342E-4
1.790000E-8	-1.209454E-3
1.800000E-8	-1.654864E-3
1.810000E-8	-1.829602E-3
1.820000E-8	-1.637733E-3
1.830000E-8	-1.199175E-3
1.840000E-8	-5.413391E-4
1.850000E-8	-5.481445E-5
1.860000E-8	1.815954E-4
1.870000E-8	3.117922E-4
1.880000E-8	2.192840E-4
1.890000E-8	1.953003E-4
1.900000E-8	1.644643E-4
1.910000E-8	3.392020E-4
1.920000E-8	5.002348E-4
1.930000E-8	8.325791E-4
1.940000E-8	1.058710E-3
1.950000E-8	1.240301E-3
1.960000E-8	1.298546E-3
1.970000E-8	1.254005E-3
1.980000E-8	1.068989E-3
1.990000E-8	9.079562E-4
2.000000E-8	7.572021E-4
2.010000E-8	5.070873E-4
2.020000E-8	4.899561E-4
2.030000E-8	3.460545E-4
2.040000E-8	2.741036E-4
2.050000E-8	8.223475E-5
2.060000E-8	-1.884374E-4
2.070000E-8	-5.139293E-4
2.080000E-8	-6.132899E-4
2.090000E-8	-5.790276E-4
2.100000E-8	-2.569620E-4
2.110000E-8	2.055790E-4
2.120000E-8	4.111528E-4
2.130000E-8	3.768905E-4
2.140000E-8	2.056261E-5
2.150000E-8	-4.967981E-4
2.160000E-8	-1.175192E-3
2.170000E-8	-1.510962E-3
2.180000E-8	-1.428733E-3
2.190000E-8	-1.065552E-3
2.200000E-8	-2.877981E-4
2.210000E-8	7.606283E-4
2.220000E-8	2.295579E-3
2.230000E-8	4.920072E-3
2.240000E-8	8.784859E-3
2.250000E-8	1.411265E-2
2.260000E-8	2.048543E-2
2.270000E-8	2.730706E-2
2.280000E-8	3.376893E-2
2.290000E-8	3.959352E-2
2.300000E-8	4.445534E-2
2.310000E-8	4.848116E-2
2.320000E-8	5.180118E-2
2.330000E-8	5.435029E-2
2.340000E-8	5.565911E-2
2.350000E-8	5.597775E-2
2.360000E-8	5.515203E-2
2.370000E-8	5.355541E-2
2.380000E-8	5.147569E-2
2.390000E-8	4.926577E-2
2.400000E-8	4.687426E-2
2.410000E-8	4.454100E-2
2.420000E-8	4.210495E-2
2.430000E-8	3.977511E-2
2.440000E-8	3.787698E-2
2.450000E-8	3.661955E-2
2.460000E-8	3.623239E-2
2.470000E-8	3.672576E-2
2.480000E-8	3.769539E-2
2.490000E-8	3.889457E-2
2.500000E-8	4.008690E-2
2.510000E-8	4.114903E-2
2.520000E-8	4.176232E-2
2.530000E-8	4.213578E-2
2.540000E-8	4.205698E-2
2.550000E-8	4.151906E-2
2.560000E-8	4.048777E-2
2.570000E-8	3.896309E-2
2.580000E-8	3.710950E-2
2.590000E-8	3.512572E-2
2.600000E-8	3.333722E-2
2.610000E-8	3.191191E-2
2.620000E-8	3.113416E-2
2.630000E-8	3.083608E-2
2.640000E-8	3.099711E-2
2.650000E-8	3.159670E-2
2.660000E-8	3.249780E-2
2.670000E-8	3.370726E-2
2.680000E-8	3.515313E-2
2.690000E-8	3.662298E-2
2.700000E-8	3.783586E-2
2.710000E-8	3.859306E-2
2.720000E-8	3.857250E-2
2.730000E-8	3.757890E-2
2.740000E-8	3.590690E-2
2.750000E-8	3.364216E-2
2.760000E-8	3.109647E-2
2.770000E-8	2.853708E-2
2.780000E-8	2.633401E-2
2.790000E-8	2.483675E-2
2.800000E-8	2.429198E-2
2.810000E-8	2.493268E-2
2.820000E-8	2.635114E-2
2.830000E-8	2.851309E-2
2.840000E-8	3.068190E-2
2.850000E-8	3.248752E-2
2.860000E-8	3.361817E-2
2.870000E-8	3.418008E-2
2.880000E-8	3.430685E-2
2.890000E-8	3.412526E-2
2.900000E-8	3.350511E-2
2.910000E-8	3.235732E-2
2.920000E-8	3.057568E-2
2.930000E-8	2.834178E-2
2.940000E-8	2.587489E-2
2.950000E-8	2.393565E-2
