Study Name	Beam_cont_045-04_RT_lecroy
Sample Name	2025-03-19
Run Name	spot00
Operator	Elena
Date	3/19/2025
Time	13:51
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	91
dt	100.000001E-12
time stamp (ms)	2:08:32 PM
	
Time	Amplitude
0.000000E+0	7.777594E-4
1.000000E-10	1.041579E-3
2.000000E-10	1.140940E-3
3.000000E-10	1.045005E-3
4.000000E-10	7.469234E-4
5.000000E-10	3.871692E-4
6.000000E-10	1.541856E-4
7.000000E-10	2.124315E-4
8.000000E-10	3.117922E-4
9.000000E-10	4.145791E-4
1.000000E-9	4.180053E-4
1.100000E-9	1.953003E-4
1.200000E-9	5.825114E-5
1.300000E-9	-1.713063E-4
1.400000E-9	-3.015030E-4
1.500000E-9	-1.678800E-4
1.600000E-9	-6.166691E-5
1.700000E-9	1.918741E-4
1.800000E-9	3.015135E-4
1.900000E-9	4.351364E-4
2.000000E-9	4.077266E-4
2.100000E-9	3.117922E-4
2.200000E-9	1.541856E-4
2.300000E-9	-5.481445E-5
2.400000E-9	-3.460440E-4
2.500000E-9	-3.734538E-4
2.600000E-9	-3.289128E-4
2.700000E-9	5.482491E-5
2.800000E-9	4.214315E-4
2.900000E-9	7.880381E-4
3.000000E-9	9.799070E-4
3.100000E-9	9.970382E-4
3.200000E-9	8.188742E-4
3.300000E-9	7.092348E-4
3.400000E-9	5.207922E-4
3.500000E-9	3.529069E-4
3.600000E-9	2.398413E-4
3.700000E-9	8.223475E-5
3.800000E-9	-1.062079E-4
3.900000E-9	-3.186342E-4
4.000000E-9	-4.419784E-4
4.100000E-9	-6.509785E-4
4.200000E-9	-6.578309E-4
4.300000E-9	-5.105030E-4
4.400000E-9	-3.837325E-4
4.500000E-9	-1.404702E-4
4.600000E-9	1.130708E-4
4.700000E-9	3.152184E-4
4.800000E-9	2.706774E-4
4.900000E-9	9.936590E-5
5.000000E-9	-9.592921E-5
5.100000E-9	-2.158473E-4
5.200000E-9	-2.775194E-4
5.300000E-9	-3.083555E-4
5.400000E-9	-2.980768E-4
5.500000E-9	-2.603882E-4
5.600000E-9	-2.843719E-4
5.700000E-9	-2.261259E-4
5.800000E-9	-1.301915E-4
5.900000E-9	-5.138822E-5
6.000000E-9	-4.110953E-5
6.100000E-9	-9.935544E-5
6.200000E-9	-4.042899E-4
6.300000E-9	-4.522571E-4
6.400000E-9	-4.145686E-4
6.500000E-9	-1.507489E-4
6.600000E-9	1.610380E-4
6.700000E-9	3.631856E-4
6.800000E-9	1.096446E-4
6.900000E-9	-3.494702E-4
7.000000E-9	-8.291424E-4
7.100000E-9	-1.134077E-3
7.200000E-9	-9.079457E-4
7.300000E-9	-3.494702E-4
7.400000E-9	5.207922E-4
7.500000E-9	1.346514E-3
7.600000E-9	1.874153E-3
7.700000E-9	2.011202E-3
7.800000E-9	1.750809E-3
7.900000E-9	1.384202E-3
8.000000E-9	8.839726E-4
8.100000E-9	6.407102E-4
8.200000E-9	5.687594E-4
8.300000E-9	6.989562E-4
8.400000E-9	9.456447E-4
8.500000E-9	1.236874E-3
8.600000E-9	1.295120E-3
8.700000E-9	1.034727E-3
8.800000E-9	8.120217E-4
8.900000E-9	4.145791E-4
9.000000E-9	1.404807E-4
9.100000E-9	1.370544E-4
9.200000E-9	3.117922E-4
9.300000E-9	5.207922E-4
9.400000E-9	7.811857E-4
9.500000E-9	8.634152E-4
9.600000E-9	8.702677E-4
9.700000E-9	8.497103E-4
9.800000E-9	6.509889E-4
9.900000E-9	5.893168E-4
1.000000E-8	5.447758E-4
1.010000E-8	4.419889E-4
1.020000E-8	3.083659E-4
1.030000E-8	2.501200E-4
1.040000E-8	1.747430E-4
1.050000E-8	3.494807E-4
1.060000E-8	4.419889E-4
1.070000E-8	6.167266E-4
1.080000E-8	5.584807E-4
1.090000E-8	4.728250E-4
1.100000E-8	2.878086E-4
1.110000E-8	1.918741E-4
1.120000E-8	2.090053E-4
1.130000E-8	6.852983E-5
1.140000E-8	1.062184E-4
1.150000E-8	1.096446E-4
1.160000E-8	6.167737E-5
1.170000E-8	1.987266E-4
1.180000E-8	3.563332E-4
1.190000E-8	4.591201E-4
1.200000E-8	6.030217E-4
1.210000E-8	5.961693E-4
1.220000E-8	3.494807E-4
1.230000E-8	2.056261E-5
1.240000E-8	-1.815850E-4
1.250000E-8	-3.152079E-4
1.260000E-8	-3.391915E-4
1.270000E-8	-1.336177E-4
1.280000E-8	5.825114E-5
1.290000E-8	1.507594E-4
1.300000E-8	1.610380E-4
1.310000E-8	2.741507E-5
1.320000E-8	-9.250298E-5
1.330000E-8	-1.130604E-4
1.340000E-8	-4.110953E-5
1.350000E-8	3.529069E-4
1.360000E-8	8.085955E-4
1.370000E-8	1.065563E-3
1.380000E-8	1.202612E-3
1.390000E-8	9.867595E-4
1.400000E-8	5.756119E-4
1.410000E-8	7.195606E-5
1.420000E-8	-2.501096E-4
1.430000E-8	-3.631751E-4
1.440000E-8	-3.631751E-4
1.450000E-8	-1.576013E-4
1.460000E-8	7.538229E-5
1.470000E-8	4.625463E-4
1.480000E-8	7.572021E-4
1.490000E-8	8.223004E-4
1.500000E-8	8.599890E-4
1.510000E-8	7.297922E-4
1.520000E-8	5.207922E-4
1.530000E-8	4.385627E-4
1.540000E-8	4.419889E-4
1.550000E-8	5.619070E-4
1.560000E-8	6.989562E-4
1.570000E-8	8.257267E-4
1.580000E-8	6.955299E-4
1.590000E-8	4.762512E-4
1.600000E-8	3.494807E-4
1.610000E-8	2.227102E-4
1.620000E-8	3.015135E-4
1.630000E-8	4.728250E-4
1.640000E-8	4.831037E-4
1.650000E-8	2.021528E-4
1.660000E-8	3.084130E-5
1.670000E-8	-1.507489E-4
1.680000E-8	-2.192735E-4
1.690000E-8	2.056261E-5
1.700000E-8	2.775299E-4
1.710000E-8	4.693987E-4
1.720000E-8	4.933824E-4
1.730000E-8	1.884479E-4
1.740000E-8	-3.768330E-5
1.750000E-8	-4.110953E-5
1.760000E-8	1.918741E-4
1.770000E-8	4.865299E-4
1.780000E-8	5.927430E-4
1.790000E-8	2.912348E-4
1.800000E-8	-2.569620E-4
1.810000E-8	-6.646834E-4
1.820000E-8	-8.599785E-4
1.830000E-8	-5.893063E-4
1.840000E-8	-1.712592E-5
1.850000E-8	5.447758E-4
1.860000E-8	7.434971E-4
1.870000E-8	4.659725E-4
1.880000E-8	-9.935544E-5
1.890000E-8	-4.522571E-4
1.900000E-8	-3.837325E-4
1.910000E-8	-1.164866E-4
1.920000E-8	4.693987E-4
1.930000E-8	8.942513E-4
1.940000E-8	9.285136E-4
1.950000E-8	7.229398E-4
1.960000E-8	3.563332E-4
1.970000E-8	-7.537183E-5
1.980000E-8	-2.535358E-4
1.990000E-8	-2.055686E-4
2.000000E-8	-1.438964E-4
2.010000E-8	-1.369969E-5
2.020000E-8	-1.267653E-4
2.030000E-8	-2.740932E-4
2.040000E-8	-3.940112E-4
2.050000E-8	-3.528965E-4
2.060000E-8	-1.130604E-4
2.070000E-8	1.747430E-4
2.080000E-8	5.242184E-4
2.090000E-8	5.756119E-4
2.100000E-8	3.768905E-4
2.110000E-8	-6.847227E-6
2.120000E-8	-5.276342E-4
2.130000E-8	-9.113720E-4
2.140000E-8	-1.003880E-3
2.150000E-8	-8.668310E-4
2.160000E-8	-5.413391E-4
2.170000E-8	-1.199128E-4
2.180000E-8	3.015135E-4
2.190000E-8	7.503496E-4
2.200000E-8	1.206038E-3
2.210000E-8	1.706268E-3
2.220000E-8	2.854055E-3
2.230000E-8	5.118793E-3
2.240000E-8	8.647810E-3
2.250000E-8	1.353361E-2
2.260000E-8	1.933422E-2
2.270000E-8	2.530614E-2
2.280000E-8	3.110675E-2
2.290000E-8	3.632490E-2
2.300000E-8	4.092975E-2
2.310000E-8	4.491788E-2
2.320000E-8	4.849486E-2
2.330000E-8	5.154764E-2
2.340000E-8	5.370616E-2
2.350000E-8	5.476487E-2
2.360000E-8	5.451475E-2
2.370000E-8	5.315454E-2
2.380000E-8	5.101657E-2
2.390000E-8	4.805631E-2
2.400000E-8	4.500011E-2
2.410000E-8	4.203985E-2
2.420000E-8	3.944619E-2
2.430000E-8	3.738703E-2
2.440000E-8	3.614331E-2
2.450000E-8	3.562595E-2
2.460000E-8	3.586921E-2
2.470000E-8	3.673604E-2
2.480000E-8	3.808940E-2
2.490000E-8	3.966547E-2
2.500000E-8	4.121413E-2
2.510000E-8	4.254008E-2
2.520000E-8	4.333154E-2
2.530000E-8	4.348572E-2
2.540000E-8	4.281418E-2
2.550000E-8	4.148137E-2
2.560000E-8	3.967232E-2
2.570000E-8	3.775706E-2
2.580000E-8	3.587263E-2
2.590000E-8	3.428972E-2
2.600000E-8	3.299117E-2
2.610000E-8	3.191876E-2
2.620000E-8	3.126093E-2
2.630000E-8	3.092516E-2
2.640000E-8	3.111017E-2
2.650000E-8	3.199414E-2
2.660000E-8	3.339890E-2
2.670000E-8	3.521137E-2
2.680000E-8	3.688337E-2
2.690000E-8	3.818877E-2
2.700000E-8	3.878836E-2
2.710000E-8	3.866844E-2
2.720000E-8	3.792495E-2
2.730000E-8	3.671891E-2
2.740000E-8	3.530388E-2
2.750000E-8	3.352224E-2
2.760000E-8	3.164809E-2
2.770000E-8	2.965403E-2
2.780000E-8	2.794091E-2
2.790000E-8	2.678285E-2
2.800000E-8	2.632373E-2
2.810000E-8	2.670747E-2
2.820000E-8	2.783812E-2
2.830000E-8	2.961976E-2
2.840000E-8	3.149049E-2
2.850000E-8	3.342631E-2
2.860000E-8	3.488588E-2
2.870000E-8	3.560539E-2
2.880000E-8	3.548204E-2
2.890000E-8	3.448501E-2
2.900000E-8	3.276162E-2
2.910000E-8	3.052086E-2
2.920000E-8	2.832122E-2
2.930000E-8	2.617640E-2
2.940000E-8	2.449755E-2
2.950000E-8	2.348681E-2
2.960000E-8	2.307566E-2
