Study Name	044_15
Sample Name	2024-10-02
Run Name	spot_00
Operator	Elena
Date	10/2/2024
Time	19:46
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	42
dt	100.000001E-12
time stamp (ms)	7:54:10 PM
	
Time	Amplitude
0.000000E+0	-3.511949E-4
1.000000E-10	-7.709663E-5
2.000000E-10	3.683130E-4
3.000000E-10	6.595424E-4
4.000000E-10	4.111409E-4
5.000000E-10	2.141328E-4
6.000000E-10	-2.569736E-4
7.000000E-10	-5.910308E-4
8.000000E-10	-7.366455E-4
9.000000E-10	-5.824653E-4
1.000000E-9	-3.683260E-4
1.100000E-9	-1.027933E-4
1.200000E-9	6.851806E-5
1.300000E-9	1.199115E-4
1.400000E-9	6.252801E-4
1.500000E-9	7.451981E-4
1.600000E-9	1.053559E-3
1.700000E-9	1.336222E-3
1.800000E-9	1.182042E-3
1.900000E-9	1.173477E-3
2.000000E-9	8.993784E-4
2.100000E-9	7.280670E-4
2.200000E-9	4.625343E-4
2.300000E-9	4.539687E-4
2.400000E-9	4.282720E-4
2.500000E-9	1.884360E-4
2.600000E-9	-3.768916E-4
2.700000E-9	-9.764815E-4
2.800000E-9	-1.558940E-3
2.900000E-9	-1.892998E-3
3.000000E-9	-1.636030E-3
3.100000E-9	-9.079569E-4
3.200000E-9	-2.570321E-5
3.300000E-9	8.993784E-4
3.400000E-9	1.267698E-3
3.500000E-9	1.070690E-3
3.600000E-9	5.396244E-4
3.700000E-9	-6.497430E-9
3.800000E-9	-3.940227E-4
3.900000E-9	-2.741047E-4
4.000000E-9	7.708363E-5
4.100000E-9	4.796654E-4
4.200000E-9	6.681080E-4
4.300000E-9	8.651161E-4
4.400000E-9	9.507718E-4
4.500000E-9	7.195014E-4
4.600000E-9	5.139277E-4
4.700000E-9	4.625343E-4
4.800000E-9	5.481900E-4
4.900000E-9	7.023703E-4
5.000000E-9	1.027862E-3
5.100000E-9	1.361919E-3
5.200000E-9	1.584624E-3
5.300000E-9	1.379050E-3
5.400000E-9	1.044993E-3
5.500000E-9	3.597474E-4
5.600000E-9	-4.454161E-4
5.700000E-9	-8.736947E-4
5.800000E-9	-8.308668E-4
5.900000E-9	-3.511949E-4
6.000000E-9	8.559073E-6
6.100000E-9	5.224933E-4
6.200000E-9	7.537637E-4
6.300000E-9	8.479849E-4
6.400000E-9	7.451981E-4
6.500000E-9	6.167146E-4
6.600000E-9	2.826573E-4
6.700000E-9	-6.853106E-5
6.800000E-9	-3.340637E-4
6.900000E-9	-4.711129E-4
7.000000E-9	-5.139407E-4
7.100000E-9	-1.713179E-4
7.200000E-9	-2.570321E-5
7.300000E-9	3.169196E-4
7.400000E-9	4.197064E-4
7.500000E-9	3.254852E-4
7.600000E-9	2.312639E-4
7.700000E-9	-8.572068E-6
7.800000E-9	-1.027933E-4
7.900000E-9	-4.197194E-4
8.000000E-9	-6.766865E-4
8.100000E-9	-9.507848E-4
8.200000E-9	-1.310539E-3
8.300000E-9	-1.319104E-3
8.400000E-9	-1.259145E-3
8.500000E-9	-1.087834E-3
8.600000E-9	-7.623422E-4
8.700000E-9	-3.340637E-4
8.800000E-9	9.421477E-5
8.900000E-9	4.796654E-4
9.000000E-9	9.250751E-4
9.100000E-9	1.164911E-3
9.200000E-9	1.276263E-3
9.300000E-9	9.935996E-4
9.400000E-9	5.995834E-4
9.500000E-9	1.456082E-4
9.600000E-9	-2.569736E-4
9.700000E-9	-4.368506E-4
9.800000E-9	-3.597604E-4
9.900000E-9	-8.572068E-6
1.000000E-8	1.798705E-4
1.010000E-8	2.740917E-4
1.020000E-8	2.740917E-4
1.030000E-8	5.139277E-4
1.040000E-8	5.567556E-4
1.050000E-8	7.880260E-4
1.060000E-8	8.993784E-4
1.070000E-8	1.096386E-3
1.080000E-8	1.044993E-3
1.090000E-8	6.081490E-4
1.100000E-8	2.912229E-4
1.110000E-8	-3.426878E-5
1.120000E-8	-4.025883E-4
1.130000E-8	-3.768916E-4
1.140000E-8	-2.998015E-4
1.150000E-8	-3.426293E-4
1.160000E-8	-2.569736E-4
1.170000E-8	-2.912359E-4
