Study Name	044_15
Sample Name	2024-10-02
Run Name	spot_00
Operator	Elena
Date	10/2/2024
Time	19:46
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	467
dt	100.000001E-12
time stamp (ms)	9:14:47 PM
	
Time	Amplitude
0.000000E+0	7.452074E-4
1.000000E-10	1.096396E-3
2.000000E-10	1.156355E-3
3.000000E-10	1.019306E-3
4.000000E-10	6.081583E-4
5.000000E-10	4.111502E-4
6.000000E-10	3.169289E-4
7.000000E-10	3.768879E-4
8.000000E-10	3.854535E-4
9.000000E-10	5.396337E-4
1.000000E-9	4.025846E-4
1.100000E-9	3.169289E-4
1.200000E-9	1.884454E-4
1.300000E-9	-8.562754E-6
1.400000E-9	1.713396E-5
1.500000E-9	1.541831E-4
1.600000E-9	2.312732E-4
1.700000E-9	3.511912E-4
1.800000E-9	4.625436E-4
1.900000E-9	5.310682E-4
2.000000E-9	5.396337E-4
2.100000E-9	5.310682E-4
2.200000E-9	3.426256E-4
2.300000E-9	2.141421E-4
2.400000E-9	-8.565289E-5
2.500000E-9	-3.854478E-4
2.600000E-9	-6.595461E-4
2.700000E-9	-6.424149E-4
2.800000E-9	-4.711035E-4
2.900000E-9	-2.569643E-4
3.000000E-9	1.713396E-5
3.100000E-9	-8.562754E-6
3.200000E-9	-4.282504E-5
3.300000E-9	-1.627430E-4
3.400000E-9	-3.940134E-4
3.500000E-9	-3.083577E-4
3.600000E-9	-3.854478E-4
3.700000E-9	-2.141364E-4
3.800000E-9	-8.565289E-5
3.900000E-9	5.996181E-5
4.000000E-9	4.283067E-5
4.100000E-9	3.426510E-5
4.200000E-9	1.113552E-4
4.300000E-9	2.815796E-9
4.400000E-9	2.227076E-4
4.500000E-9	1.884454E-4
4.600000E-9	2.398388E-4
4.700000E-9	2.398388E-4
4.800000E-9	2.484044E-4
4.900000E-9	8.565852E-5
5.000000E-9	1.456175E-4
5.100000E-9	2.741011E-4
5.200000E-9	3.083633E-4
5.300000E-9	4.539780E-4
5.400000E-9	4.625436E-4
5.500000E-9	2.826666E-4
5.600000E-9	2.815796E-9
5.700000E-9	-1.199152E-4
5.800000E-9	-4.025790E-4
5.900000E-9	-3.683167E-4
6.000000E-9	-2.483987E-4
6.100000E-9	-1.113496E-4
6.200000E-9	-9.421846E-5
6.300000E-9	8.568386E-6
6.400000E-9	-6.852175E-5
6.500000E-9	-4.282504E-5
6.600000E-9	1.199208E-4
6.700000E-9	2.655355E-4
6.800000E-9	6.852484E-4
6.900000E-9	1.096396E-3
7.000000E-9	1.353363E-3
7.100000E-9	1.370494E-3
7.200000E-9	1.045002E-3
7.300000E-9	5.310682E-4
7.400000E-9	6.852738E-5
7.500000E-9	-2.483987E-4
7.600000E-9	-3.768823E-4
7.700000E-9	-1.027840E-4
7.800000E-9	2.055765E-4
7.900000E-9	4.454125E-4
8.000000E-9	6.509861E-4
8.100000E-9	7.537730E-4
8.200000E-9	5.396337E-4
8.300000E-9	3.768879E-4
8.400000E-9	1.798798E-4
8.500000E-9	1.798798E-4
8.600000E-9	4.539780E-4
8.700000E-9	7.195107E-4
8.800000E-9	8.479943E-4
8.900000E-9	8.479943E-4
9.000000E-9	7.794697E-4
9.100000E-9	5.225026E-4
9.200000E-9	1.199208E-4
9.300000E-9	-1.627430E-4
9.400000E-9	-3.768823E-4
9.500000E-9	-4.111446E-4
9.600000E-9	-6.338494E-4
9.700000E-9	-7.023739E-4
9.800000E-9	-5.910215E-4
9.900000E-9	-3.511856E-4
1.000000E-8	-5.995618E-5
1.010000E-8	3.169289E-4
1.020000E-8	4.282813E-4
1.030000E-8	4.968059E-4
1.040000E-8	2.912322E-4
1.050000E-8	2.569953E-5
1.060000E-8	-1.113496E-4
1.070000E-8	-1.370463E-4
1.080000E-8	3.426510E-5
1.090000E-8	2.312732E-4
1.100000E-8	6.252894E-4
1.110000E-8	8.565598E-4
1.120000E-8	8.051664E-4
1.130000E-8	5.481993E-4
1.140000E-8	2.569699E-4
1.150000E-8	-1.798742E-4
1.160000E-8	-2.997921E-4
1.170000E-8	-4.197101E-4
1.180000E-8	-2.569643E-4
