Study Name	044_15
Sample Name	2024-10-02
Run Name	spot_00
Operator	Elena
Date	10/2/2024
Time	19:46
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	161
dt	100.000001E-12
time stamp (ms)	8:16:33 PM
	
Time	Amplitude
0.000000E+0	8.565202E-5
1.000000E-10	3.083568E-4
2.000000E-10	2.483979E-4
3.000000E-10	6.852088E-5
4.000000E-10	-2.741019E-4
5.000000E-10	-5.225035E-4
6.000000E-10	-7.880361E-4
7.000000E-10	-7.623394E-4
8.000000E-10	-6.167247E-4
9.000000E-10	-2.055774E-4
1.000000E-9	1.370454E-4
1.100000E-9	4.711027E-4
1.200000E-9	5.224961E-4
1.300000E-9	4.368404E-4
1.400000E-9	1.284799E-4
1.500000E-9	-2.741019E-4
1.600000E-9	-5.396346E-4
1.700000E-9	-7.537739E-4
1.800000E-9	-5.567657E-4
1.900000E-9	-1.541839E-4
2.000000E-9	2.141356E-4
2.100000E-9	4.282748E-4
2.200000E-9	4.796682E-4
2.300000E-9	1.798733E-4
2.400000E-9	-8.565938E-5
2.500000E-9	-3.768888E-4
2.600000E-9	-5.053723E-4
2.700000E-9	-3.854543E-4
2.800000E-9	-1.113561E-4
2.900000E-9	-3.681635E-9
3.000000E-9	1.627422E-4
3.100000E-9	7.708645E-5
3.200000E-9	-3.681635E-9
3.300000E-9	-1.199217E-4
3.400000E-9	-8.569252E-6
3.500000E-9	2.227011E-4
3.600000E-9	5.310617E-4
3.700000E-9	6.081518E-4
3.800000E-9	5.139305E-4
3.900000E-9	2.997913E-4
4.000000E-9	-1.713482E-5
4.100000E-9	-1.627495E-4
4.200000E-9	6.852088E-5
4.300000E-9	1.627422E-4
4.400000E-9	4.025781E-4
4.500000E-9	4.282748E-4
4.600000E-9	4.111437E-4
4.700000E-9	9.421759E-5
4.800000E-9	-3.681635E-9
4.900000E-9	5.995531E-5
5.000000E-9	4.882338E-4
5.100000E-9	7.280698E-4
5.200000E-9	9.079468E-4
5.300000E-9	9.593402E-4
5.400000E-9	6.167174E-4
5.500000E-9	4.025781E-4
5.600000E-9	1.370454E-4
5.700000E-9	-6.852824E-5
5.800000E-9	-1.284872E-4
5.900000E-9	-4.283153E-5
6.000000E-9	5.995531E-5
6.100000E-9	2.312667E-4
6.200000E-9	2.655290E-4
6.300000E-9	3.254880E-4
6.400000E-9	4.882338E-4
6.500000E-9	5.567584E-4
6.600000E-9	8.137255E-4
6.700000E-9	7.965943E-4
6.800000E-9	5.995862E-4
6.900000E-9	3.940125E-4
7.000000E-9	7.708645E-5
7.100000E-9	-2.912331E-4
7.200000E-9	-3.768888E-4
7.300000E-9	-3.169298E-4
7.400000E-9	-2.055774E-4
7.500000E-9	9.421759E-5
7.600000E-9	2.997913E-4
7.700000E-9	3.940125E-4
7.800000E-9	2.740946E-4
7.900000E-9	1.284799E-4
8.000000E-9	-1.199217E-4
8.100000E-9	-2.741019E-4
8.200000E-9	-5.139379E-4
8.300000E-9	-4.025855E-4
8.400000E-9	-3.683232E-4
8.500000E-9	-1.884462E-4
8.600000E-9	9.421759E-5
8.700000E-9	3.511847E-4
8.800000E-9	5.396272E-4
8.900000E-9	8.479878E-4
9.000000E-9	9.250779E-4
9.100000E-9	8.222911E-4
9.200000E-9	7.023731E-4
9.300000E-9	4.282748E-4
9.400000E-9	2.740946E-4
9.500000E-9	1.541766E-4
9.600000E-9	1.541766E-4
9.700000E-9	3.511847E-4
9.800000E-9	5.224961E-4
9.900000E-9	5.910207E-4
1.000000E-8	4.796682E-4
1.010000E-8	2.997913E-4
1.020000E-8	5.995531E-5
1.030000E-8	-2.569708E-4
1.040000E-8	-3.683232E-4
1.050000E-8	-3.340609E-4
1.060000E-8	-1.627495E-4
1.070000E-8	1.541766E-4
1.080000E-8	5.567584E-4
1.090000E-8	8.222911E-4
1.100000E-8	8.651189E-4
1.110000E-8	7.623321E-4
1.120000E-8	3.340536E-4
1.130000E-8	-1.713482E-5
1.140000E-8	-2.484052E-4
1.150000E-8	-4.197166E-4
1.160000E-8	-2.655364E-4
1.170000E-8	6.852088E-5
1.180000E-8	2.655290E-4
