Study Name	031-0101W_left
Sample Name	2024-01-05
Run Name	spot00
Operator	Elena
Date	1/5/2024
Time	13:26
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	24
dt	50.000001E-12
time stamp (ms)	1:50:25 PM
	
Time	Amplitude
0.000000E+0	5.652722E-4
5.000000E-11	5.310132E-4
1.000000E-10	4.967543E-4
1.500000E-10	4.967543E-4
2.000000E-10	4.967543E-4
2.500000E-10	5.053191E-4
3.000000E-10	5.395780E-4
3.500000E-10	5.824016E-4
4.000000E-10	5.909664E-4
4.500000E-10	6.166605E-4
5.000000E-10	6.937431E-4
5.500000E-10	7.194373E-4
6.000000E-10	6.766137E-4
6.500000E-10	6.680489E-4
7.000000E-10	6.937431E-4
7.500000E-10	6.680489E-4
8.000000E-10	6.594842E-4
8.500000E-10	7.108726E-4
9.000000E-10	7.194373E-4
9.500000E-10	6.423547E-4
1.000000E-9	6.080958E-4
1.050000E-9	6.166605E-4
1.100000E-9	5.652722E-4
1.150000E-9	5.053191E-4
1.200000E-9	4.967543E-4
1.250000E-9	4.796249E-4
1.300000E-9	4.453659E-4
1.350000E-9	4.196718E-4
1.400000E-9	3.682834E-4
1.450000E-9	2.912008E-4
1.500000E-9	2.655066E-4
1.550000E-9	2.826361E-4
1.600000E-9	2.483772E-4
1.650000E-9	1.969888E-4
1.700000E-9	2.055535E-4
1.750000E-9	2.740714E-4
1.800000E-9	3.254597E-4
1.850000E-9	3.597187E-4
1.900000E-9	4.025423E-4
1.950000E-9	4.624954E-4
2.000000E-9	5.481427E-4
2.050000E-9	5.909664E-4
2.100000E-9	6.080958E-4
2.150000E-9	6.509195E-4
2.200000E-9	7.023078E-4
2.250000E-9	7.108726E-4
2.300000E-9	6.937431E-4
2.350000E-9	6.509195E-4
2.400000E-9	5.652722E-4
2.450000E-9	4.539307E-4
2.500000E-9	3.511539E-4
2.550000E-9	2.655066E-4
2.600000E-9	1.798593E-4
2.650000E-9	1.027768E-4
2.700000E-9	3.425892E-5
2.750000E-9	-8.564730E-6
2.800000E-9	-1.712946E-5
2.850000E-9	-8.564730E-6
2.900000E-9	2.569419E-5
2.950000E-9	9.421203E-5
3.000000E-9	1.712946E-4
3.050000E-9	2.226830E-4
3.100000E-9	2.569419E-4
3.150000E-9	2.569419E-4
3.200000E-9	2.226830E-4
3.250000E-9	1.798593E-4
3.300000E-9	1.712946E-4
3.350000E-9	1.969888E-4
3.400000E-9	2.141182E-4
3.450000E-9	2.398124E-4
3.500000E-9	2.912008E-4
3.550000E-9	3.768481E-4
3.600000E-9	4.624954E-4
3.650000E-9	5.481427E-4
3.700000E-9	6.337900E-4
3.750000E-9	7.365668E-4
3.800000E-9	8.307788E-4
3.850000E-9	8.821672E-4
3.900000E-9	9.078614E-4
3.950000E-9	9.078614E-4
4.000000E-9	8.736024E-4
4.050000E-9	8.050846E-4
4.100000E-9	7.622610E-4
4.150000E-9	7.108726E-4
4.200000E-9	6.252253E-4
4.250000E-9	5.738369E-4
4.300000E-9	6.080958E-4
4.350000E-9	6.680489E-4
4.400000E-9	7.194373E-4
4.450000E-9	7.879551E-4
4.500000E-9	8.393435E-4
4.550000E-9	8.393435E-4
4.600000E-9	8.393435E-4
4.650000E-9	8.736024E-4
4.700000E-9	8.736024E-4
4.750000E-9	8.050846E-4
4.800000E-9	7.536962E-4
4.850000E-9	7.280020E-4
4.900000E-9	7.023078E-4
4.950000E-9	6.766137E-4
5.000000E-9	6.594842E-4
5.050000E-9	6.423547E-4
5.100000E-9	6.337900E-4
5.150000E-9	6.423547E-4
5.200000E-9	6.337900E-4
5.250000E-9	5.909664E-4
5.300000E-9	5.652722E-4
5.350000E-9	5.481427E-4
5.400000E-9	4.967543E-4
5.450000E-9	4.025423E-4
5.500000E-9	3.083303E-4
5.550000E-9	2.398124E-4
5.600000E-9	1.798593E-4
5.650000E-9	1.456004E-4
5.700000E-9	1.027768E-4
5.750000E-9	5.138838E-5
5.800000E-9	3.425892E-5
5.850000E-9	8.564730E-5
5.900000E-9	1.712946E-4
5.950000E-9	2.569419E-4
6.000000E-9	3.511539E-4
6.050000E-9	4.111070E-4
6.100000E-9	4.196718E-4
6.150000E-9	4.368012E-4
6.200000E-9	4.624954E-4
6.250000E-9	4.453659E-4
6.300000E-9	3.939776E-4
6.350000E-9	3.682834E-4
6.400000E-9	3.254597E-4
6.450000E-9	2.569419E-4
6.500000E-9	2.226830E-4
6.550000E-9	2.398124E-4
6.600000E-9	2.398124E-4
6.650000E-9	2.826361E-4
6.700000E-9	3.768481E-4
6.750000E-9	4.453659E-4
6.800000E-9	4.796249E-4
6.850000E-9	5.138838E-4
6.900000E-9	5.224485E-4
6.950000E-9	5.053191E-4
7.000000E-9	4.967543E-4
7.050000E-9	4.881896E-4
7.100000E-9	4.624954E-4
7.150000E-9	4.453659E-4
7.200000E-9	4.282365E-4
7.250000E-9	4.196718E-4
7.300000E-9	4.710601E-4
7.350000E-9	5.824016E-4
7.400000E-9	6.766137E-4
7.450000E-9	7.708257E-4
7.500000E-9	9.078614E-4
7.550000E-9	1.036332E-3
7.600000E-9	1.113415E-3
7.650000E-9	1.181933E-3
7.700000E-9	1.233321E-3
7.750000E-9	1.241886E-3
7.800000E-9	1.199062E-3
7.850000E-9	1.139109E-3
7.900000E-9	1.027768E-3
7.950000E-9	9.078614E-4
8.000000E-9	8.222141E-4
8.050000E-9	7.365668E-4
8.100000E-9	6.509195E-4
8.150000E-9	5.909664E-4
8.200000E-9	5.652722E-4
8.250000E-9	5.395780E-4
8.300000E-9	4.881896E-4
8.350000E-9	4.539307E-4
8.400000E-9	4.282365E-4
8.450000E-9	4.025423E-4
8.500000E-9	3.682834E-4
8.550000E-9	3.511539E-4
8.600000E-9	3.682834E-4
8.650000E-9	3.768481E-4
8.700000E-9	3.511539E-4
8.750000E-9	3.682834E-4
8.800000E-9	4.368012E-4
8.850000E-9	5.053191E-4
8.900000E-9	5.310132E-4
8.950000E-9	5.824016E-4
9.000000E-9	6.423547E-4
9.050000E-9	6.423547E-4
9.100000E-9	6.166605E-4
9.150000E-9	6.337900E-4
9.200000E-9	6.509195E-4
9.250000E-9	6.252253E-4
9.300000E-9	5.738369E-4
9.350000E-9	5.224485E-4
9.400000E-9	4.368012E-4
9.450000E-9	3.511539E-4
9.500000E-9	2.997655E-4
9.550000E-9	2.398124E-4
9.600000E-9	2.055535E-4
9.650000E-9	2.312477E-4
9.700000E-9	2.740714E-4
9.750000E-9	3.425892E-4
9.800000E-9	4.368012E-4
9.850000E-9	5.310132E-4
9.900000E-9	6.337900E-4
9.950000E-9	7.451315E-4
1.000000E-8	8.136493E-4
1.005000E-8	8.222141E-4
1.010000E-8	8.479082E-4
1.015000E-8	9.078614E-4
1.020000E-8	9.335555E-4
1.025000E-8	9.249908E-4
1.030000E-8	8.992966E-4
1.035000E-8	8.479082E-4
1.040000E-8	7.965199E-4
1.045000E-8	7.708257E-4
1.050000E-8	7.451315E-4
1.055000E-8	7.280020E-4
1.060000E-8	7.108726E-4
1.065000E-8	6.937431E-4
1.070000E-8	7.023078E-4
1.075000E-8	7.194373E-4
1.080000E-8	6.680489E-4
1.085000E-8	5.652722E-4
1.090000E-8	4.796249E-4
1.095000E-8	4.111070E-4
1.100000E-8	3.168950E-4
1.105000E-8	2.312477E-4
1.110000E-8	1.798593E-4
1.115000E-8	1.284709E-4
1.120000E-8	9.421203E-5
1.125000E-8	8.564730E-5
1.130000E-8	1.027768E-4
1.135000E-8	1.541651E-4
1.140000E-8	2.398124E-4
1.145000E-8	3.254597E-4
1.150000E-8	4.025423E-4
1.155000E-8	4.796249E-4
1.160000E-8	5.567074E-4
1.165000E-8	6.252253E-4
1.170000E-8	6.851784E-4
1.175000E-8	7.023078E-4
1.180000E-8	6.851784E-4
1.185000E-8	6.766137E-4
1.190000E-8	7.023078E-4
1.195000E-8	7.023078E-4
1.200000E-8	6.766137E-4
1.205000E-8	6.594842E-4
1.210000E-8	6.509195E-4
1.215000E-8	6.509195E-4
1.220000E-8	7.108726E-4
1.225000E-8	8.393435E-4
1.230000E-8	9.849439E-4
1.235000E-8	1.173368E-3
1.240000E-8	1.438875E-3
1.245000E-8	1.875676E-3
1.250000E-8	2.535160E-3
1.255000E-8	3.460151E-3
1.260000E-8	4.761990E-3
1.265000E-8	6.620536E-3
1.270000E-8	9.121437E-3
1.275000E-8	1.229895E-2
1.280000E-8	1.626442E-2
1.285000E-8	2.108636E-2
1.290000E-8	2.661918E-2
1.295000E-8	3.274296E-2
1.300000E-8	3.937206E-2
1.305000E-8	4.634375E-2
1.310000E-8	5.336683E-2
1.315000E-8	6.025287E-2
1.320000E-8	6.686485E-2
1.325000E-8	7.307427E-2
1.330000E-8	7.879551E-2
1.335000E-8	8.405426E-2
1.340000E-8	8.887620E-2
1.345000E-8	9.327847E-2
1.350000E-8	9.736385E-2
1.355000E-8	1.012265E-1
1.360000E-8	1.049094E-1
1.365000E-8	1.083781E-1
1.370000E-8	1.115642E-1
1.375000E-8	1.143049E-1
1.380000E-8	1.164718E-1
1.385000E-8	1.179106E-1
1.390000E-8	1.184416E-1
1.395000E-8	1.178935E-1
1.400000E-8	1.162491E-1
1.405000E-8	1.135169E-1
1.410000E-8	1.097228E-1
1.415000E-8	1.050635E-1
1.420000E-8	9.987331E-2
1.425000E-8	9.445184E-2
1.430000E-8	8.903037E-2
1.435000E-8	8.385727E-2
1.440000E-8	7.925801E-2
1.445000E-8	7.539532E-2
1.450000E-8	7.229488E-2
1.455000E-8	6.999097E-2
1.460000E-8	6.852640E-2
1.465000E-8	6.772988E-2
1.470000E-8	6.742155E-2
1.475000E-8	6.753289E-2
1.480000E-8	6.796970E-2
1.485000E-8	6.855210E-2
1.490000E-8	6.922871E-2
1.495000E-8	7.005093E-2
1.500000E-8	7.099305E-2
1.505000E-8	7.206364E-2
1.510000E-8	7.338260E-2
1.515000E-8	7.500990E-2
1.520000E-8	7.692840E-2
1.525000E-8	7.916380E-2
1.530000E-8	8.169896E-2
1.535000E-8	8.443967E-2
1.540000E-8	8.733455E-2
1.545000E-8	9.030651E-2
1.550000E-8	9.311574E-2
1.555000E-8	9.562521E-2
1.560000E-8	9.783491E-2
1.565000E-8	9.959924E-2
1.570000E-8	1.007384E-1
1.575000E-8	1.013208E-1
1.580000E-8	1.013893E-1
1.585000E-8	1.008840E-1
1.590000E-8	9.981336E-2
1.595000E-8	9.832310E-2
1.600000E-8	9.643029E-2
1.605000E-8	9.413495E-2
1.610000E-8	9.157409E-2
1.615000E-8	8.885051E-2
1.620000E-8	8.589568E-2
1.625000E-8	8.277811E-2
1.630000E-8	7.960916E-2
1.635000E-8	7.641452E-2
1.640000E-8	7.323700E-2
1.645000E-8	7.020509E-2
1.650000E-8	6.734447E-2
1.655000E-8	6.470653E-2
1.660000E-8	6.246257E-2
1.665000E-8	6.068968E-2
1.670000E-8	5.937071E-2
1.675000E-8	5.853136E-2
1.680000E-8	5.830012E-2
1.685000E-8	5.869409E-2
1.690000E-8	5.967904E-2
1.695000E-8	6.126351E-2
1.700000E-8	6.338757E-2
1.705000E-8	6.596555E-2
1.710000E-8	6.896320E-2
1.715000E-8	7.229488E-2
1.720000E-8	7.585781E-2
1.725000E-8	7.951495E-2
1.730000E-8	8.317209E-2
1.735000E-8	8.665794E-2
1.740000E-8	8.986971E-2
1.745000E-8	9.270464E-2
1.750000E-8	9.506850E-2
1.755000E-8	9.686709E-2
1.760000E-8	9.804903E-2
1.765000E-8	9.853722E-2
1.770000E-8	9.828027E-2
1.775000E-8	9.731246E-2
1.780000E-8	9.568516E-2
1.785000E-8	9.344977E-2
1.790000E-8	9.067479E-2
1.795000E-8	8.745446E-2
1.800000E-8	8.391722E-2
1.805000E-8	8.019157E-2
1.810000E-8	7.643165E-2
1.815000E-8	7.278307E-2
1.820000E-8	6.937431E-2
1.825000E-8	6.632527E-2
1.830000E-8	6.366164E-2
1.835000E-8	6.139198E-2
1.840000E-8	5.961052E-2
1.845000E-8	5.835150E-2
1.850000E-8	5.755498E-2
1.855000E-8	5.710962E-2
1.860000E-8	5.698115E-2
1.865000E-8	5.718670E-2
1.870000E-8	5.772628E-2
1.875000E-8	5.853136E-2
1.880000E-8	5.959339E-2
1.885000E-8	6.094662E-2
1.890000E-8	6.263387E-2
1.895000E-8	6.462945E-2
1.900000E-8	6.692480E-2
1.905000E-8	6.953704E-2
1.910000E-8	7.244905E-2
1.915000E-8	7.552379E-2
1.920000E-8	7.863278E-2
1.925000E-8	8.168183E-2
1.930000E-8	8.453388E-2
1.935000E-8	8.704335E-2
1.940000E-8	8.901324E-2
1.945000E-8	9.034933E-2
1.950000E-8	9.095743E-2
1.955000E-8	9.079470E-2
1.960000E-8	8.986115E-2
1.965000E-8	8.827667E-2
1.970000E-8	8.617831E-2
1.975000E-8	8.363459E-2
1.980000E-8	8.074827E-2
1.985000E-8	7.778488E-2
1.990000E-8	7.496708E-2
1.995000E-8	7.238910E-2
2.000000E-8	7.010231E-2
2.005000E-8	6.820094E-2
2.010000E-8	6.668499E-2
2.015000E-8	6.550305E-2
2.020000E-8	6.456093E-2
2.025000E-8	6.377298E-2
2.030000E-8	6.302785E-2
2.035000E-8	6.223133E-2
2.040000E-8	6.129777E-2
2.045000E-8	6.023574E-2
2.050000E-8	5.905381E-2
2.055000E-8	5.776910E-2
2.060000E-8	5.648439E-2
2.065000E-8	5.536241E-2
2.070000E-8	5.454020E-2
2.075000E-8	5.413766E-2
2.080000E-8	5.428326E-2
2.085000E-8	5.507978E-2
2.090000E-8	5.657004E-2
2.095000E-8	5.875405E-2
2.100000E-8	6.154615E-2
2.105000E-8	6.482644E-2
2.110000E-8	6.845789E-2
2.115000E-8	7.223493E-2
2.120000E-8	7.592633E-2
2.125000E-8	7.934366E-2
2.130000E-8	8.228136E-2
2.135000E-8	8.460240E-2
2.140000E-8	8.626396E-2
2.145000E-8	8.724034E-2
2.150000E-8	8.748015E-2
2.155000E-8	8.700909E-2
2.160000E-8	8.596419E-2
2.165000E-8	8.445680E-2
2.170000E-8	8.252117E-2
2.175000E-8	8.030291E-2
2.180000E-8	7.794761E-2
2.185000E-8	7.544670E-2
2.190000E-8	7.280877E-2
2.195000E-8	7.009375E-2
2.200000E-8	6.737016E-2
2.205000E-8	6.460376E-2
2.210000E-8	6.177740E-2
2.215000E-8	5.896816E-2
2.220000E-8	5.621032E-2
2.225000E-8	5.356382E-2
2.230000E-8	5.113144E-2
2.235000E-8	4.903308E-2
2.240000E-8	4.737152E-2
2.245000E-8	4.627524E-2
2.250000E-8	4.580417E-2
2.255000E-8	4.598403E-2
2.260000E-8	4.685764E-2
2.265000E-8	4.845924E-2
2.270000E-8	5.069464E-2
2.275000E-8	5.343535E-2
2.280000E-8	5.652722E-2
2.285000E-8	5.985033E-2
2.290000E-8	6.322484E-2
2.295000E-8	6.656508E-2
2.300000E-8	6.975972E-2
2.305000E-8	7.265460E-2
2.310000E-8	7.516407E-2
2.315000E-8	7.730525E-2
2.320000E-8	7.907815E-2
2.325000E-8	8.043138E-2
2.330000E-8	8.135637E-2
2.335000E-8	8.191308E-2
2.340000E-8	8.210150E-2
2.345000E-8	8.192164E-2
2.350000E-8	8.134780E-2
2.355000E-8	8.037999E-2
2.360000E-8	7.898394E-2
2.365000E-8	7.714252E-2
2.370000E-8	7.486430E-2
2.375000E-8	7.215785E-2
2.380000E-8	6.909168E-2
2.385000E-8	6.574287E-2
2.390000E-8	6.221420E-2
2.395000E-8	5.865127E-2
2.400000E-8	5.521681E-2
2.405000E-8	5.203930E-2
2.410000E-8	4.923863E-2
2.415000E-8	4.692615E-2
2.420000E-8	4.523890E-2
2.425000E-8	4.420257E-2
2.430000E-8	4.380003E-2
2.435000E-8	4.399702E-2
2.440000E-8	4.475928E-2
2.445000E-8	4.600973E-2
2.450000E-8	4.766272E-2
2.455000E-8	4.960691E-2
2.460000E-8	5.167958E-2
2.465000E-8	5.379507E-2
2.470000E-8	5.594482E-2
2.475000E-8	5.806887E-2
2.480000E-8	6.014153E-2
2.485000E-8	6.220563E-2
2.490000E-8	6.424404E-2
2.495000E-8	6.620536E-2
2.500000E-8	6.812386E-2
2.505000E-8	7.006805E-2
2.510000E-8	7.202081E-2
2.515000E-8	7.385367E-2
2.520000E-8	7.550666E-2
2.525000E-8	7.696266E-2
2.530000E-8	7.811890E-2
2.535000E-8	7.887260E-2
2.540000E-8	7.910384E-2
2.545000E-8	7.870987E-2
2.550000E-8	7.772492E-2
2.555000E-8	7.619184E-2
2.560000E-8	7.408491E-2
2.565000E-8	7.146411E-2
2.570000E-8	6.847501E-2
2.575000E-8	6.521185E-2
2.580000E-8	6.175170E-2
2.585000E-8	5.818877E-2
2.590000E-8	5.462585E-2
2.595000E-8	5.121708E-2
2.600000E-8	4.808239E-2
2.605000E-8	4.523890E-2
2.610000E-8	4.272944E-2
2.615000E-8	4.067390E-2
2.620000E-8	3.918364E-2
2.625000E-8	3.822439E-2
2.630000E-8	3.785611E-2
2.635000E-8	3.814731E-2
2.640000E-8	3.908943E-2
2.645000E-8	4.069103E-2
2.650000E-8	4.296068E-2
2.655000E-8	4.582987E-2
2.660000E-8	4.917868E-2
2.665000E-8	5.293859E-2
2.670000E-8	5.695545E-2
2.675000E-8	6.103226E-2
2.680000E-8	6.504912E-2
2.685000E-8	6.889469E-2
2.690000E-8	7.237197E-2
2.695000E-8	7.526685E-2
2.700000E-8	7.751937E-2
2.705000E-8	7.909528E-2
2.710000E-8	7.993462E-2
2.715000E-8	8.004596E-2
2.720000E-8	7.946356E-2
2.725000E-8	7.821311E-2
2.730000E-8	7.638883E-2
2.735000E-8	7.412774E-2
2.740000E-8	7.146411E-2
2.745000E-8	6.850071E-2
2.750000E-8	6.537458E-2
2.755000E-8	6.214568E-2
2.760000E-8	5.883969E-2
2.765000E-8	5.554227E-2
2.770000E-8	5.232193E-2
2.775000E-8	4.922150E-2
2.780000E-8	4.632662E-2
2.785000E-8	4.374008E-2
2.790000E-8	4.144473E-2
2.795000E-8	3.951766E-2
2.800000E-8	3.807022E-2
2.805000E-8	3.712810E-2
2.810000E-8	3.673413E-2
2.815000E-8	3.695681E-2
2.820000E-8	3.777902E-2
2.825000E-8	3.917507E-2
2.830000E-8	4.112783E-2
2.835000E-8	4.357735E-2
2.840000E-8	4.637801E-2
2.845000E-8	4.946131E-2
2.850000E-8	5.273304E-2
2.855000E-8	5.597051E-2
2.860000E-8	5.904525E-2
2.865000E-8	6.194869E-2
2.870000E-8	6.454380E-2
2.875000E-8	6.673637E-2
