Study Name	031-0101W_left
Sample Name	2024-01-05
Run Name	spot00
Operator	Elena
Date	1/5/2024
Time	13:26
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	60
dt	50.000001E-12
time stamp (ms)	2:27:08 PM
	
Time	Amplitude
0.000000E+0	-5.387215E-3
5.000000E-11	-5.327262E-3
1.000000E-10	-5.361521E-3
1.500000E-10	-5.378650E-3
2.000000E-10	-5.301568E-3
2.500000E-10	-5.284438E-3
3.000000E-10	-5.361521E-3
3.500000E-10	-5.404345E-3
4.000000E-10	-5.370086E-3
4.500000E-10	-5.361521E-3
5.000000E-10	-5.412909E-3
5.500000E-10	-5.455733E-3
6.000000E-10	-5.472862E-3
6.500000E-10	-5.481427E-3
7.000000E-10	-5.532815E-3
7.500000E-10	-5.609898E-3
8.000000E-10	-5.635592E-3
8.500000E-10	-5.635592E-3
9.000000E-10	-5.678416E-3
9.500000E-10	-5.704110E-3
1.000000E-9	-5.644157E-3
1.050000E-9	-5.575639E-3
1.100000E-9	-5.549945E-3
1.150000E-9	-5.498557E-3
1.200000E-9	-5.387215E-3
1.250000E-9	-5.284438E-3
1.300000E-9	-5.215920E-3
1.350000E-9	-5.147403E-3
1.400000E-9	-5.061755E-3
1.450000E-9	-4.993237E-3
1.500000E-9	-4.993237E-3
1.550000E-9	-5.001802E-3
1.600000E-9	-4.984673E-3
1.650000E-9	-4.984673E-3
1.700000E-9	-5.070320E-3
1.750000E-9	-5.155967E-3
1.800000E-9	-5.181662E-3
1.850000E-9	-5.207356E-3
1.900000E-9	-5.275874E-3
1.950000E-9	-5.310132E-3
2.000000E-9	-5.258744E-3
2.050000E-9	-5.207356E-3
2.100000E-9	-5.207356E-3
2.150000E-9	-5.198791E-3
2.200000E-9	-5.138838E-3
2.250000E-9	-5.087449E-3
2.300000E-9	-5.078885E-3
2.350000E-9	-5.078885E-3
2.400000E-9	-5.078885E-3
2.450000E-9	-5.087449E-3
2.500000E-9	-5.155967E-3
2.550000E-9	-5.258744E-3
2.600000E-9	-5.335827E-3
2.650000E-9	-5.378650E-3
2.700000E-9	-5.447168E-3
2.750000E-9	-5.532815E-3
2.800000E-9	-5.575639E-3
2.850000E-9	-5.601333E-3
2.900000E-9	-5.661286E-3
2.950000E-9	-5.721240E-3
3.000000E-9	-5.721240E-3
3.050000E-9	-5.721240E-3
3.100000E-9	-5.764063E-3
3.150000E-9	-5.789757E-3
3.200000E-9	-5.746934E-3
3.250000E-9	-5.678416E-3
3.300000E-9	-5.652722E-3
3.350000E-9	-5.618463E-3
3.400000E-9	-5.549945E-3
3.450000E-9	-5.447168E-3
3.500000E-9	-5.352956E-3
3.550000E-9	-5.301568E-3
3.600000E-9	-5.258744E-3
3.650000E-9	-5.207356E-3
3.700000E-9	-5.181662E-3
3.750000E-9	-5.215920E-3
3.800000E-9	-5.233050E-3
3.850000E-9	-5.241615E-3
3.900000E-9	-5.327262E-3
3.950000E-9	-5.438603E-3
4.000000E-9	-5.464298E-3
4.050000E-9	-5.447168E-3
4.100000E-9	-5.455733E-3
4.150000E-9	-5.430039E-3
4.200000E-9	-5.327262E-3
4.250000E-9	-5.233050E-3
4.300000E-9	-5.190226E-3
4.350000E-9	-5.138838E-3
4.400000E-9	-5.018932E-3
4.450000E-9	-4.924720E-3
4.500000E-9	-4.916155E-3
4.550000E-9	-4.933284E-3
4.600000E-9	-4.916155E-3
4.650000E-9	-4.933284E-3
4.700000E-9	-5.053191E-3
4.750000E-9	-5.207356E-3
4.800000E-9	-5.301568E-3
4.850000E-9	-5.378650E-3
4.900000E-9	-5.489992E-3
4.950000E-9	-5.575639E-3
5.000000E-9	-5.609898E-3
5.050000E-9	-5.661286E-3
5.100000E-9	-5.721240E-3
5.150000E-9	-5.721240E-3
5.200000E-9	-5.678416E-3
5.250000E-9	-5.635592E-3
5.300000E-9	-5.609898E-3
5.350000E-9	-5.584204E-3
5.400000E-9	-5.532815E-3
5.450000E-9	-5.464298E-3
5.500000E-9	-5.455733E-3
5.550000E-9	-5.472862E-3
5.600000E-9	-5.404345E-3
5.650000E-9	-5.310132E-3
5.700000E-9	-5.327262E-3
5.750000E-9	-5.361521E-3
5.800000E-9	-5.310132E-3
5.850000E-9	-5.250179E-3
5.900000E-9	-5.267309E-3
5.950000E-9	-5.275874E-3
6.000000E-9	-5.233050E-3
6.050000E-9	-5.181662E-3
6.100000E-9	-5.155967E-3
6.150000E-9	-5.130273E-3
6.200000E-9	-5.113144E-3
6.250000E-9	-5.104579E-3
6.300000E-9	-5.138838E-3
6.350000E-9	-5.215920E-3
6.400000E-9	-5.258744E-3
6.450000E-9	-5.250179E-3
6.500000E-9	-5.267309E-3
6.550000E-9	-5.344391E-3
6.600000E-9	-5.395780E-3
6.650000E-9	-5.404345E-3
6.700000E-9	-5.447168E-3
6.750000E-9	-5.498557E-3
6.800000E-9	-5.455733E-3
6.850000E-9	-5.404345E-3
6.900000E-9	-5.421474E-3
6.950000E-9	-5.404345E-3
7.000000E-9	-5.301568E-3
7.050000E-9	-5.207356E-3
7.100000E-9	-5.173097E-3
7.150000E-9	-5.155967E-3
7.200000E-9	-5.121708E-3
7.250000E-9	-5.113144E-3
7.300000E-9	-5.138838E-3
7.350000E-9	-5.198791E-3
7.400000E-9	-5.250179E-3
7.450000E-9	-5.284438E-3
7.500000E-9	-5.378650E-3
7.550000E-9	-5.498557E-3
7.600000E-9	-5.549945E-3
7.650000E-9	-5.567074E-3
7.700000E-9	-5.618463E-3
7.750000E-9	-5.627027E-3
7.800000E-9	-5.549945E-3
7.850000E-9	-5.498557E-3
7.900000E-9	-5.489992E-3
7.950000E-9	-5.387215E-3
8.000000E-9	-5.233050E-3
8.050000E-9	-5.155967E-3
8.100000E-9	-5.138838E-3
8.150000E-9	-5.096014E-3
8.200000E-9	-5.044626E-3
8.250000E-9	-5.044626E-3
8.300000E-9	-5.061755E-3
8.350000E-9	-5.044626E-3
8.400000E-9	-4.984673E-3
8.450000E-9	-4.941849E-3
8.500000E-9	-4.941849E-3
8.550000E-9	-4.950414E-3
8.600000E-9	-4.933284E-3
8.650000E-9	-4.941849E-3
8.700000E-9	-4.993237E-3
8.750000E-9	-5.044626E-3
8.800000E-9	-5.061755E-3
8.850000E-9	-5.087449E-3
8.900000E-9	-5.138838E-3
8.950000E-9	-5.181662E-3
9.000000E-9	-5.173097E-3
9.050000E-9	-5.121708E-3
9.100000E-9	-5.078885E-3
9.150000E-9	-5.044626E-3
9.200000E-9	-4.950414E-3
9.250000E-9	-4.847637E-3
9.300000E-9	-4.847637E-3
9.350000E-9	-4.873331E-3
9.400000E-9	-4.856202E-3
9.450000E-9	-4.873331E-3
9.500000E-9	-5.001802E-3
9.550000E-9	-5.164532E-3
9.600000E-9	-5.293003E-3
9.650000E-9	-5.430039E-3
9.700000E-9	-5.584204E-3
9.750000E-9	-5.712675E-3
9.800000E-9	-5.772628E-3
9.850000E-9	-5.832581E-3
9.900000E-9	-5.901099E-3
9.950000E-9	-5.909664E-3
1.000000E-8	-5.824016E-3
1.005000E-8	-5.729804E-3
1.010000E-8	-5.686981E-3
1.015000E-8	-5.627027E-3
1.020000E-8	-5.515686E-3
1.025000E-8	-5.404345E-3
1.030000E-8	-5.352956E-3
1.035000E-8	-5.335827E-3
1.040000E-8	-5.267309E-3
1.045000E-8	-5.190226E-3
1.050000E-8	-5.190226E-3
1.055000E-8	-5.207356E-3
1.060000E-8	-5.190226E-3
1.065000E-8	-5.164532E-3
1.070000E-8	-5.173097E-3
1.075000E-8	-5.164532E-3
1.080000E-8	-5.130273E-3
1.085000E-8	-5.113144E-3
1.090000E-8	-5.121708E-3
1.095000E-8	-5.130273E-3
1.100000E-8	-5.087449E-3
1.105000E-8	-5.018932E-3
1.110000E-8	-4.993237E-3
1.115000E-8	-5.010367E-3
1.120000E-8	-4.958979E-3
1.125000E-8	-4.847637E-3
1.130000E-8	-4.813378E-3
1.135000E-8	-4.847637E-3
1.140000E-8	-4.847637E-3
1.145000E-8	-4.856202E-3
1.150000E-8	-4.950414E-3
1.155000E-8	-5.061755E-3
1.160000E-8	-5.130273E-3
1.165000E-8	-5.250179E-3
1.170000E-8	-5.472862E-3
1.175000E-8	-5.678416E-3
1.180000E-8	-5.781193E-3
1.185000E-8	-5.841146E-3
1.190000E-8	-5.943922E-3
1.195000E-8	-6.021005E-3
1.200000E-8	-6.038135E-3
1.205000E-8	-6.072393E-3
1.210000E-8	-6.200864E-3
1.215000E-8	-6.492065E-3
1.220000E-8	-6.997384E-3
1.225000E-8	-7.870987E-3
1.230000E-8	-9.352685E-3
1.235000E-8	-1.165660E-2
1.240000E-8	-1.489407E-2
1.245000E-8	-1.921069E-2
1.250000E-8	-2.482915E-2
1.255000E-8	-3.180941E-2
1.260000E-8	-4.003155E-2
1.265000E-8	-4.940993E-2
1.270000E-8	-5.983320E-2
1.275000E-8	-7.088170E-2
1.280000E-8	-8.198159E-2
1.285000E-8	-9.276459E-2
1.290000E-8	-1.029823E-1
1.295000E-8	-1.123264E-1
1.300000E-8	-1.206599E-1
1.305000E-8	-1.280341E-1
1.310000E-8	-1.345176E-1
1.315000E-8	-1.402218E-1
1.320000E-8	-1.453520E-1
1.325000E-8	-1.500712E-1
1.330000E-8	-1.544649E-1
1.335000E-8	-1.587044E-1
1.340000E-8	-1.627984E-1
1.345000E-8	-1.665669E-1
1.350000E-8	-1.698729E-1
1.355000E-8	-1.725450E-1
1.360000E-8	-1.742409E-1
1.365000E-8	-1.746862E-1
1.370000E-8	-1.737784E-1
1.375000E-8	-1.714745E-1
1.380000E-8	-1.677745E-1
1.385000E-8	-1.628583E-1
1.390000E-8	-1.569829E-1
1.395000E-8	-1.504994E-1
1.400000E-8	-1.438532E-1
1.405000E-8	-1.373611E-1
1.410000E-8	-1.313230E-1
1.415000E-8	-1.260214E-1
1.420000E-8	-1.216620E-1
1.425000E-8	-1.182532E-1
1.430000E-8	-1.157609E-1
1.435000E-8	-1.141422E-1
1.440000E-8	-1.132429E-1
1.445000E-8	-1.128318E-1
1.450000E-8	-1.127461E-1
1.455000E-8	-1.129003E-1
1.460000E-8	-1.132257E-1
1.465000E-8	-1.136368E-1
1.470000E-8	-1.141165E-1
1.475000E-8	-1.148016E-1
1.480000E-8	-1.158037E-1
1.485000E-8	-1.171912E-1
1.490000E-8	-1.190412E-1
1.495000E-8	-1.214564E-1
1.500000E-8	-1.243941E-1
1.505000E-8	-1.277772E-1
1.510000E-8	-1.315457E-1
1.515000E-8	-1.355797E-1
1.520000E-8	-1.396394E-1
1.525000E-8	-1.434849E-1
1.530000E-8	-1.469879E-1
1.535000E-8	-1.499941E-1
1.540000E-8	-1.523323E-1
1.545000E-8	-1.539082E-1
1.550000E-8	-1.547133E-1
1.555000E-8	-1.547561E-1
1.560000E-8	-1.540281E-1
1.565000E-8	-1.526492E-1
1.570000E-8	-1.507136E-1
1.575000E-8	-1.482640E-1
1.580000E-8	-1.453520E-1
1.585000E-8	-1.420974E-1
1.590000E-8	-1.385431E-1
1.595000E-8	-1.347575E-1
1.600000E-8	-1.308262E-1
1.605000E-8	-1.267666E-1
1.610000E-8	-1.226127E-1
1.615000E-8	-1.184845E-1
1.620000E-8	-1.144933E-1
1.625000E-8	-1.106820E-1
1.630000E-8	-1.071790E-1
1.635000E-8	-1.041471E-1
1.640000E-8	-1.016890E-1
1.645000E-8	-9.992470E-2
1.650000E-8	-9.894832E-2
1.655000E-8	-9.878559E-2
1.660000E-8	-9.944508E-2
1.665000E-8	-1.009439E-1
1.670000E-8	-1.032136E-1
1.675000E-8	-1.061684E-1
1.680000E-8	-1.097142E-1
1.685000E-8	-1.137310E-1
1.690000E-8	-1.180905E-1
1.695000E-8	-1.226812E-1
1.700000E-8	-1.273318E-1
1.705000E-8	-1.318369E-1
1.710000E-8	-1.360936E-1
1.715000E-8	-1.400162E-1
1.720000E-8	-1.434078E-1
1.725000E-8	-1.461314E-1
1.730000E-8	-1.481099E-1
1.735000E-8	-1.492918E-1
1.740000E-8	-1.496430E-1
1.745000E-8	-1.491205E-1
1.750000E-8	-1.477245E-1
1.755000E-8	-1.454891E-1
1.760000E-8	-1.425771E-1
1.765000E-8	-1.390998E-1
1.770000E-8	-1.351429E-1
1.775000E-8	-1.308519E-1
1.780000E-8	-1.264582E-1
1.785000E-8	-1.220988E-1
1.790000E-8	-1.178935E-1
1.795000E-8	-1.139794E-1
1.800000E-8	-1.104336E-1
1.805000E-8	-1.072818E-1
1.810000E-8	-1.045839E-1
1.815000E-8	-1.023742E-1
1.820000E-8	-1.006099E-1
1.825000E-8	-9.927378E-2
1.830000E-8	-9.837449E-2
1.835000E-8	-9.791199E-2
1.840000E-8	-9.785204E-2
1.845000E-8	-9.821176E-2
1.850000E-8	-9.904254E-2
1.855000E-8	-1.003529E-1
1.860000E-8	-1.021430E-1
1.865000E-8	-1.043955E-1
1.870000E-8	-1.071362E-1
1.875000E-8	-1.103223E-1
1.880000E-8	-1.138253E-1
1.885000E-8	-1.174910E-1
1.890000E-8	-1.212423E-1
1.895000E-8	-1.249680E-1
1.900000E-8	-1.284709E-1
1.905000E-8	-1.315457E-1
1.910000E-8	-1.340637E-1
1.915000E-8	-1.359051E-1
1.920000E-8	-1.370185E-1
1.925000E-8	-1.373697E-1
1.930000E-8	-1.369243E-1
1.935000E-8	-1.358024E-1
1.940000E-8	-1.341751E-1
1.945000E-8	-1.321452E-1
1.950000E-8	-1.297814E-1
1.955000E-8	-1.272890E-1
1.960000E-8	-1.248823E-1
1.965000E-8	-1.225955E-1
1.970000E-8	-1.204030E-1
1.975000E-8	-1.183731E-1
1.980000E-8	-1.165231E-1
1.985000E-8	-1.147246E-1
1.990000E-8	-1.128831E-1
1.995000E-8	-1.109218E-1
2.000000E-8	-1.087549E-1
2.005000E-8	-1.063140E-1
2.010000E-8	-1.036332E-1
2.015000E-8	-1.007212E-1
2.020000E-8	-9.767218E-2
2.025000E-8	-9.464026E-2
2.030000E-8	-9.185673E-2
2.035000E-8	-8.955281E-2
2.040000E-8	-8.789982E-2
2.045000E-8	-8.708617E-2
2.050000E-8	-8.726603E-2
2.055000E-8	-8.860213E-2
2.060000E-8	-9.110303E-2
2.065000E-8	-9.459744E-2
2.070000E-8	-9.887124E-2
2.075000E-8	-1.038045E-1
2.080000E-8	-1.091746E-1
2.085000E-8	-1.146132E-1
2.090000E-8	-1.198291E-1
2.095000E-8	-1.246511E-1
2.100000E-8	-1.288649E-1
2.105000E-8	-1.321880E-1
2.110000E-8	-1.345262E-1
2.115000E-8	-1.359480E-1
2.120000E-8	-1.365132E-1
2.125000E-8	-1.362049E-1
2.130000E-8	-1.351257E-1
2.135000E-8	-1.334727E-1
2.140000E-8	-1.313573E-1
2.145000E-8	-1.288649E-1
2.150000E-8	-1.260728E-1
2.155000E-8	-1.230323E-1
2.160000E-8	-1.197435E-1
2.165000E-8	-1.162319E-1
2.170000E-8	-1.125063E-1
2.175000E-8	-1.085922E-1
2.180000E-8	-1.044983E-1
2.185000E-8	-1.002673E-1
2.190000E-8	-9.597636E-2
2.195000E-8	-9.179677E-2
2.200000E-8	-8.795978E-2
2.205000E-8	-8.460240E-2
2.210000E-8	-8.186169E-2
2.215000E-8	-7.996032E-2
2.220000E-8	-7.904389E-2
2.225000E-8	-7.917236E-2
2.230000E-8	-8.037999E-2
2.235000E-8	-8.259825E-2
2.240000E-8	-8.564730E-2
2.245000E-8	-8.935583E-2
2.250000E-8	-9.360393E-2
2.255000E-8	-9.813467E-2
2.260000E-8	-1.027168E-1
2.265000E-8	-1.071876E-1
2.270000E-8	-1.113929E-1
2.275000E-8	-1.151614E-1
2.280000E-8	-1.185016E-1
2.285000E-8	-1.213794E-1
2.290000E-8	-1.236833E-1
2.295000E-8	-1.254904E-1
2.300000E-8	-1.269807E-1
2.305000E-8	-1.280684E-1
2.310000E-8	-1.286508E-1
2.315000E-8	-1.288050E-1
2.320000E-8	-1.285652E-1
2.325000E-8	-1.278029E-1
2.330000E-8	-1.264411E-1
2.335000E-8	-1.244798E-1
2.340000E-8	-1.219104E-1
2.345000E-8	-1.186986E-1
2.350000E-8	-1.149130E-1
2.355000E-8	-1.106734E-1
2.360000E-8	-1.060999E-1
2.365000E-8	-1.013464E-1
2.370000E-8	-9.658446E-2
2.375000E-8	-9.206228E-2
2.380000E-8	-8.798547E-2
2.385000E-8	-8.449106E-2
2.390000E-8	-8.172465E-2
2.395000E-8	-7.976333E-2
2.400000E-8	-7.858140E-2
2.405000E-8	-7.813603E-2
2.410000E-8	-7.843580E-2
2.415000E-8	-7.936935E-2
2.420000E-8	-8.076540E-2
2.425000E-8	-8.256400E-2
2.430000E-8	-8.472231E-2
2.435000E-8	-8.707761E-2
2.440000E-8	-8.955281E-2
2.445000E-8	-9.219932E-2
2.450000E-8	-9.501711E-2
2.455000E-8	-9.794625E-2
2.460000E-8	-1.010210E-1
2.465000E-8	-1.042927E-1
2.470000E-8	-1.077015E-1
2.475000E-8	-1.111873E-1
2.480000E-8	-1.147417E-1
2.485000E-8	-1.182190E-1
2.490000E-8	-1.214479E-1
2.495000E-8	-1.242828E-1
2.500000E-8	-1.265696E-1
2.505000E-8	-1.281369E-1
2.510000E-8	-1.288135E-1
2.515000E-8	-1.285395E-1
2.520000E-8	-1.272462E-1
2.525000E-8	-1.249251E-1
2.530000E-8	-1.215935E-1
2.535000E-8	-1.173454E-1
2.540000E-8	-1.123521E-1
2.545000E-8	-1.068022E-1
2.550000E-8	-1.009096E-1
2.555000E-8	-9.494859E-2
2.560000E-8	-8.914171E-2
2.565000E-8	-8.365172E-2
2.570000E-8	-7.869274E-2
2.575000E-8	-7.453028E-2
2.580000E-8	-7.121573E-2
2.585000E-8	-6.876622E-2
2.590000E-8	-6.735304E-2
2.595000E-8	-6.704470E-2
2.600000E-8	-6.764424E-2
2.605000E-8	-6.911737E-2
2.610000E-8	-7.156688E-2
2.615000E-8	-7.483004E-2
2.620000E-8	-7.861565E-2
2.625000E-8	-8.291515E-2
2.630000E-8	-8.766857E-2
2.635000E-8	-9.259329E-2
2.640000E-8	-9.754371E-2
2.645000E-8	-1.024170E-1
2.650000E-8	-1.070163E-1
2.655000E-8	-1.111531E-1
2.660000E-8	-1.148016E-1
2.665000E-8	-1.178678E-1
2.670000E-8	-1.202145E-1
2.675000E-8	-1.218504E-1
2.680000E-8	-1.227583E-1
2.685000E-8	-1.229124E-1
2.690000E-8	-1.223814E-1
2.695000E-8	-1.212338E-1
2.700000E-8	-1.194865E-1
2.705000E-8	-1.171569E-1
