Study Name	Tungsten_Calibration
Sample Name	2024-10-03
Run Name	spot_02
Operator	Elena
Date	10/3/2024
Time	10:17
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	10:18:08 AM
	
Time	Amplitude
0.000000E+0	-6.252352E-4
1.000000E-10	-7.605582E-4
2.000000E-10	-9.027331E-4
3.000000E-10	-9.781029E-4
4.000000E-10	-9.609734E-4
5.000000E-10	-8.719000E-4
6.000000E-10	-7.451417E-4
7.000000E-10	-6.406517E-4
8.000000E-10	-5.361618E-4
9.000000E-10	-4.402366E-4
1.000000E-9	-3.494502E-4
1.100000E-9	-2.518121E-4
1.200000E-9	-2.072754E-4
1.300000E-9	-2.500991E-4
1.400000E-9	-3.871351E-4
1.500000E-9	-5.806985E-4
1.600000E-9	-7.845395E-4
1.700000E-9	-9.284273E-4
1.800000E-9	-1.000371E-3
1.900000E-9	-9.626863E-4
2.000000E-9	-8.616223E-4
2.100000E-9	-6.851884E-4
2.200000E-9	-4.830603E-4
2.300000E-9	-2.860711E-4
2.400000E-9	-1.593128E-4
2.500000E-9	-1.901459E-4
2.600000E-9	-2.894970E-4
2.700000E-9	-4.453754E-4
2.800000E-9	-6.337999E-4
2.900000E-9	-7.828266E-4
3.000000E-9	-8.530575E-4
3.100000E-9	-7.999561E-4
3.200000E-9	-7.125956E-4
3.300000E-9	-6.098186E-4
3.400000E-9	-5.584301E-4
3.500000E-9	-4.796344E-4
3.600000E-9	-4.248200E-4
3.700000E-9	-4.128294E-4
3.800000E-9	-3.974128E-4
3.900000E-9	-4.282459E-4
4.000000E-9	-4.813474E-4
4.100000E-9	-5.858373E-4
4.200000E-9	-6.577812E-4
4.300000E-9	-7.228733E-4
4.400000E-9	-7.348640E-4
4.500000E-9	-7.194474E-4
4.600000E-9	-6.526424E-4
4.700000E-9	-5.327359E-4
4.800000E-9	-4.642179E-4
4.900000E-9	-3.974128E-4
5.000000E-9	-3.545891E-4
5.100000E-9	-3.563020E-4
5.200000E-9	-4.025517E-4
5.300000E-9	-5.241711E-4
5.400000E-9	-6.663460E-4
5.500000E-9	-8.393539E-4
5.600000E-9	-9.421309E-4
5.700000E-9	-9.712511E-4
5.800000E-9	-9.044460E-4
5.900000E-9	-7.982431E-4
6.000000E-9	-6.697719E-4
6.100000E-9	-5.926891E-4
6.200000E-9	-5.892632E-4
6.300000E-9	-6.526424E-4
6.400000E-9	-7.708359E-4
6.500000E-9	-8.342151E-4
6.600000E-9	-8.393539E-4
6.700000E-9	-7.622712E-4
6.800000E-9	-6.200963E-4
6.900000E-9	-5.087546E-4
7.000000E-9	-4.453754E-4
7.100000E-9	-4.316718E-4
7.200000E-9	-4.710697E-4
7.300000E-9	-5.224582E-4
7.400000E-9	-5.635690E-4
7.500000E-9	-5.772726E-4
7.600000E-9	-6.337999E-4
7.700000E-9	-6.509294E-4
7.800000E-9	-6.937532E-4
7.900000E-9	-7.571323E-4
8.000000E-9	-8.068079E-4
8.100000E-9	-8.376410E-4
8.200000E-9	-8.753259E-4
8.300000E-9	-9.387050E-4
8.400000E-9	-9.746770E-4
8.500000E-9	-9.729640E-4
8.600000E-9	-9.301403E-4
8.700000E-9	-8.616223E-4
8.800000E-9	-8.068079E-4
8.900000E-9	-7.434287E-4
9.000000E-9	-7.468546E-4
9.100000E-9	-7.639841E-4
9.200000E-9	-7.828266E-4
9.300000E-9	-7.828266E-4
9.400000E-9	-8.616223E-4
9.500000E-9	-9.112978E-4
9.600000E-9	-9.712511E-4
9.700000E-9	-1.014075E-3
9.800000E-9	-1.005510E-3
9.900000E-9	-9.284273E-4
1.000000E-8	-8.205115E-4
1.010000E-8	-6.680589E-4
1.020000E-8	-5.755596E-4
1.030000E-8	-5.464395E-4
1.040000E-8	-5.892632E-4
1.050000E-8	-6.577812E-4
1.060000E-8	-7.125956E-4
1.070000E-8	-7.245863E-4
1.080000E-8	-7.091697E-4
1.090000E-8	-7.348640E-4
1.100000E-8	-7.845395E-4
1.110000E-8	-8.736129E-4
1.120000E-8	-9.558345E-4
1.130000E-8	-9.900935E-4
1.140000E-8	-9.438439E-4
1.150000E-8	-8.376410E-4
1.160000E-8	-7.194474E-4
1.170000E-8	-6.081057E-4
1.180000E-8	-5.173193E-4
1.190000E-8	-5.053287E-4
1.200000E-8	-5.224582E-4
1.210000E-8	-5.378747E-4
1.220000E-8	-5.532913E-4
1.230000E-8	-5.447265E-4
1.240000E-8	-5.824114E-4
1.250000E-8	-6.971791E-4
1.260000E-8	-8.085208E-4
1.270000E-8	-9.044460E-4
1.280000E-8	-9.489827E-4
1.290000E-8	-9.472698E-4
1.300000E-8	-8.856036E-4
1.310000E-8	-7.554194E-4
1.320000E-8	-6.612071E-4
1.330000E-8	-6.063927E-4
1.340000E-8	-6.200963E-4
1.350000E-8	-6.612071E-4
1.360000E-8	-7.177345E-4
1.370000E-8	-7.605582E-4
1.380000E-8	-8.599093E-4
1.390000E-8	-9.729640E-4
1.400000E-8	-1.032917E-3
1.410000E-8	-1.020927E-3
1.420000E-8	-9.232885E-4
1.430000E-8	-7.485676E-4
1.440000E-8	-5.909762E-4
1.450000E-8	-4.830603E-4
1.460000E-8	-4.916251E-4
1.470000E-8	-5.909762E-4
1.480000E-8	-7.280122E-4
1.490000E-8	-8.804647E-4
1.500000E-8	-9.695381E-4
1.510000E-8	-1.000371E-3
1.520000E-8	-9.746770E-4
1.530000E-8	-9.918065E-4
1.540000E-8	-1.055186E-3
1.550000E-8	-1.110000E-3
1.560000E-8	-1.139120E-3
1.570000E-8	-1.101435E-3
1.580000E-8	-1.017501E-3
1.590000E-8	-8.547705E-4
1.600000E-8	-7.091697E-4
1.610000E-8	-5.635690E-4
1.620000E-8	-4.933380E-4
1.630000E-8	-4.727826E-4
1.640000E-8	-5.173193E-4
1.650000E-8	-6.081057E-4
1.660000E-8	-7.057438E-4
1.670000E-8	-8.633352E-4
1.680000E-8	-1.043195E-3
1.690000E-8	-1.212777E-3
1.700000E-8	-1.320693E-3
1.710000E-8	-1.312128E-3
1.720000E-8	-1.145972E-3
1.730000E-8	-8.804647E-4
1.740000E-8	-5.704208E-4
1.750000E-8	-3.545891E-4
