run_name grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2] Time[hh:mm:ss]
031-0101W-2024-02-21-03.40um-spot00-1 3.5218 5.65209e+08 2.56792e+03 0.14754919 0.0022811895 4.5100251e-06 4.0982961e-08 2.3108261e-06 9.6181914e-07 0.029810386 0.00021287327 -0.89762624 0.0047086701 0 3.5810155e-10 -0.0049998927 0.0001061855 17:03:34
031-0101W-2024-02-21-03.40um-spot00-2 3.5218 5.65188e+08 2.55732e+03 0.14225555 0.00023819643 4.408998e-06 9.3180664e-09 2.6832725e-10 NaN 0.030222289 0.00021385924 -1.0793152 0.0046821486 0 3.5262389e-10 -0.005 NaN 17:04:36
031-0101W-2024-02-21-03.40um-spot00-3 3.5218 5.65138e+08 2.65074e+03 0.1474914 0.0023112613 4.4775251e-06 4.1307484e-08 2.3003579e-06 9.7949792e-07 0.0290568 0.00020982591 -1.0732067 0.0047698276 3.9001982e-08 3.756205e-10 -0.0049997792 0.00010830496 17:05:37
031-0101W-2024-02-21-03.40um-spot00-4 3.5218 5.65174e+08 2.55956e+03 0.14721515 0.0023728785 4.5142869e-06 4.2472292e-08 2.4564712e-06 1.0027023e-06 0.028900669 0.00021338924 -1.0767557 0.0048769984 0 3.8532269e-10 -0.00499981 0.00010903505 17:06:39
031-0101W-2024-02-21-03.40um-spot00-5 3.5218 5.65317e+08 2.52527e+03 0.13808553 0.00023628941 4.430273e-06 9.601252e-09 8.6035346e-10 NaN 0.028966062 0.00020996821 -0.5877321 0.0047955617 0 3.6839501e-10 -0.005 NaN 17:07:41
031-0101W-2024-02-21-03.40um-spot00-6 3.5218 5.65173e+08 2.65155e+03 0.14196532 0.00023421053 4.3869642e-06 9.1452792e-09 1.0386659e-10 NaN 0.030320901 0.00021129525 -1.0837942 0.0046104319 3.8787711e-08 3.4674376e-10 -0.005 NaN 17:08:41
031-0101W-2024-02-21-03.40um-spot00-7 3.5218 5.65184e+08 2.66267e+03 0.14661649 0.002332308 4.4802105e-06 4.191467e-08 2.2551072e-06 9.9486625e-07 0.029120231 0.00021303582 -1.0750116 0.0048317331 0 3.7641415e-10 -0.0049998059 0.00010913301 17:09:43
031-0101W-2024-02-21-03.40um-spot00-8 3.5218 5.65065e+08 2.54941e+03 0.14882784 0.0022868545 4.4534147e-06 4.0775503e-08 2.1386289e-06 9.6193872e-07 0.030264625 0.00021489906 -0.86864413 0.0046842879 0 3.5860767e-10 -0.0049998492 0.00010971532 17:10:45
031-0101W-2024-02-21-03.40um-spot00-9 3.5218 5.65144e+08 2.51767e+03 0.14186763 0.00023813541 4.4194593e-06 9.4002001e-09 3.8253899e-09 NaN 0.029992138 0.0002129861 -0.53971563 0.0047008432 4.0331954e-08 3.580153e-10 -0.005 NaN 17:11:46
031-0101W-2024-02-21-03.40um-spot00-10 3.5218 5.65044e+08 2.57611e+03 0.14688097 0.0023668478 4.5736555e-06 4.2650342e-08 2.4350056e-06 9.9657892e-07 0.029764932 0.00021736823 -0.8957657 0.0048153122 0 3.6809582e-10 -0.0049999373 0.00010654508 17:12:48
031-0101W-2024-02-21-03.40um-spot00-11 3.5218 5.65020e+08 2.58182e+03 0.14152199 0.00023650803 4.4154176e-06 9.3521501e-09 2.1732899e-09 NaN 0.030164481 0.00021240378 -0.5193874 0.0046621021 0 3.5298622e-10 -0.005 NaN 17:13:50
031-0101W-2024-02-21-03.40um-spot00-12 3.5218 5.65029e+08 2.62003e+03 0.14390622 0.002248976 4.4372182e-06 4.1213952e-08 2.1229342e-06 9.8207537e-07 0.028849178 0.00020584315 -1.0791274 0.0047120803 4.0449308e-08 3.7124682e-10 -0.0049996223 0.00010769657 17:14:51
031-0101W-2024-02-21-03.40um-spot00-13 3.5218 5.64925e+08 2.61334e+03 0.1409939 0.00023295327 4.3699809e-06 9.1720145e-09 2.6624263e-11 NaN 0.030139441 0.00021206198 -0.52443355 0.004657187 0 3.4954331e-10 -0.005 NaN 17:15:52
031-0101W-2024-02-21-03.40um-spot00-14 3.5218 5.64983e+08 2.51664e+03 0.14506178 0.00024603528 4.4728333e-06 9.5443625e-09 2.1140384e-10 NaN 0.030751404 0.00021880377 -1.2489977 0.0046921941 0 3.5447508e-10 -0.005 NaN 17:16:54
